frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2431.801346;2432.001211;2432.003056;784142;146318;146318;3658;3658;2341088;2341140;100.000;1270.586;1270.586;561.874;644.386;561.874;1.841;1.214;1.342;1.845;0.000;1.845;72.737;100.000;199.865;1.845;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2431.833824;2432.041334;2432.044880;783406;144182;144182;3605;3605;2306912;2306964;100.000;651.955;651.955;553.671;634.988;553.671;3.519;1.468;1.581;41.825;38.279;3.546;44.585;8.478;207.511;10.336;40.124;6.790;0.424;0;0;0;0;0;0;0;0
3;1;1;1;2431.867851;2432.103607;2432.105885;780200;141754;141754;3544;3544;2268064;2268116;100.000;999.436;999.436;544.348;624.288;544.348;2.272;1.520;1.615;61.005;58.727;2.278;70.914;3.734;235.756;38.008;62.273;28.939;2.207;0;0;0;0;0;0;0;0
4;1;0;1;2431.901236;2432.107524;2432.141541;778467;139430;130790;3486;3270;2230880;2230932;100.000;65.610;65.610;502.246;576.005;535.424;34.012;2.926;33.044;35.656;1.640;34.016;97.141;95.402;206.288;40.330;3.917;29.416;3.907;0;0;0;0;16851;1;16845;522648
5;1;1;1;2431.936084;2432.149201;2432.152617;776427;137802;137802;3446;3446;2204832;2204884;100.000;646.681;646.681;529.172;606.901;529.172;3.412;1.338;1.419;11.076;7.661;3.416;41.557;30.837;213.117;18.073;41.677;8.344;4.184;0;0;0;0;0;0;0;0
6;1;1;1;2431.968612;2432.207665;2432.209817;774893;137230;137230;3431;3431;2195680;2195732;100.000;1022.129;1022.129;526.976;604.367;526.976;2.147;1.394;1.485;57.200;55.048;2.152;68.999;3.763;239.053;41.940;58.464;25.130;5.494;0;0;0;0;0;0;0;0
7;1;1;1;2432.001769;2432.218610;2432.221957;775949;137590;137590;3440;3440;2201440;2201492;100.000;658.552;658.552;528.358;605.952;528.358;3.342;1.283;1.363;12.139;8.792;3.347;40.734;27.573;216.841;20.746;10.945;22.389;6.549;0;0;0;0;0;0;0;0
8;1;1;1;2432.036520;2432.258500;2432.260134;775463;137746;137746;3444;3444;2203936;2203988;100.000;1352.481;1352.481;528.957;606.641;528.957;1.631;0.884;1.024;38.178;36.543;1.635;62.646;4.282;221.980;25.591;39.890;6.557;6.550;0;0;0;0;0;0;0;0
9;1;1;1;2432.069281;2432.316102;2432.319186;775698;138024;138024;3451;3451;2208384;2208436;100.000;719.272;719.272;530.025;607.867;530.025;3.060;2.034;2.109;59.051;55.967;3.084;68.372;5.223;246.820;51.309;57.602;24.269;7.657;0;0;0;0;0;0;0;0
10;1;0;1;2432.104279;2432.320350;2432.330606;778020;138278;133358;3457;3334;2212448;2212500;100.000;215.992;215.992;512.107;587.310;531.000;10.251;2.273;9.416;11.420;1.164;10.255;91.816;89.805;216.071;29.395;4.248;29.085;8.997;0;0;0;0;11469;1;11466;355954
