frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2431.801346;2432.001242;2432.003069;784142;178911;159140;146318;146318;3658;2341088;100.000;1282.013;561.874;644.386;22.816;88.949;18.660;0.000;131.678;0.716;1.827;39.201;199.897;201.724;201.723;1.827;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2431.833824;2432.053075;2432.068764;783406;169393;156499;144182;144182;3605;2306912;100.000;147.062;553.671;634.988;21.623;92.388;18.405;0.000;0.000;6.018;15.688;38.361;219.251;234.940;234.938;34.188;51.833;18.500;1.156;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2431.867851;2432.109863;2432.123384;780200;164369;153953;141754;141754;3544;2268064;100.000;167.754;544.348;624.288;21.068;93.663;18.169;0.000;0.000;3.209;13.521;23.729;242.013;255.534;255.533;55.475;56.788;23.454;2.550;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;0;1;0.000000;0.000000;1.000000;2431.901236;2432.123534;2432.146317;778467;160176;150044;139430;130790;3270;2092640;93.803;91.852;502.246;576.005;20.576;93.674;17.911;0.000;0.000;6.071;22.783;26.646;222.297;245.081;245.081;45.075;13.671;19.663;3.619;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2431.936084;2432.153873;2432.162173;776427;157416;147596;137802;137802;3446;2204832;100.000;265.694;529.172;606.901;20.274;93.762;17.748;0.000;83.785;7.105;8.301;85.596;217.789;226.090;226.088;27.598;30.339;2.994;3.580;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2431.968612;2432.218818;2432.221447;774893;155704;146684;137230;137230;3431;2195680;100.000;835.571;526.976;604.367;20.094;94.207;17.710;0.000;0.000;1.466;2.629;55.745;250.206;252.835;252.834;53.538;64.945;31.612;5.332;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2432.001769;2432.221644;2432.246453;775949;155769;147285;137590;137590;3440;2201440;100.000;88.741;528.358;605.952;20.075;94.553;17.732;0.000;113.380;13.409;24.809;54.048;219.875;244.684;244.683;45.211;2.826;30.507;6.906;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2432.036520;2432.260606;2432.284983;775463;154945;147291;137746;137746;3444;2203936;100.000;90.416;528.957;606.641;19.981;95.060;17.763;0.000;0.000;1.269;24.377;5.205;224.086;248.462;248.462;50.407;38.962;5.629;6.826;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2432.069281;2432.320768;2432.331058;775698;154624;147515;138024;138024;3451;2208384;100.000;214.633;530.025;607.867;19.934;95.402;17.794;0.000;0.000;5.230;10.290;50.822;251.486;261.776;261.776;63.149;60.162;26.828;8.076;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;0;1;0.000000;0.000000;1.000000;2432.104279;2432.331206;2432.349228;778020;153992;146840;138278;133358;3334;2133728;96.442;118.403;512.107;587.310;19.793;95.356;17.773;0.000;0.000;16.802;18.021;93.232;226.927;244.948;244.948;47.986;10.439;22.894;9.002;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2432.135996;2432.365191;2432.372983;778554;154581;147771;139114;139114;3478;2225824;100.000;285.738;534.210;612.661;19.855;95.595;17.868;0.001;86.655;6.634;7.792;85.141;229.196;236.987;236.986;38.407;33.985;0.651;8.480;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2432.169534;2432.403579;2432.433027;779986;155588;149026;140496;140496;3513;2247936;100.000;76.341;539.517;618.758;19.948;95.782;18.013;0.000;0.000;1.231;29.447;4.182;234.045;263.493;263.492;65.118;38.388;5.055;8.266;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
