frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;4978.861623;4978.920428;4979.049834;784142;141940;146318;108;1742;141940;154468;100.000;5.212;5.669;561.874;601.161;37.072;178911;159140;146318;0.213;0.126;0.079;2.966;1.203;0.065;32.110;30.828;129.366;129.406;128.187;24.813;24.049;1.388;0.191;0.969;58.804;188.211;129.406;0.000;0.000;0.000;0.000;0.040;0.000;58;27.941;125.180;5;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;4978.895138;4978.947727;4979.086911;783406;29140;144182;23;1717;29140;31808;100.000;0.726;0.790;553.671;592.394;7.634;169393;156499;144182;0.219;0.129;0.083;2.301;1.122;0.059;41.235;40.030;115.401;139.183;138.036;29.626;28.999;1.465;0.287;0.118;52.589;191.773;133.150;27.300;6.034;0.377;0.000;23.782;0.000;80;37.812;111.952;2;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;4978.929720;4978.988034;4979.120776;780200;22936;141754;18;1688;22936;25024;100.000;0.734;0.798;544.348;582.417;6.006;164369;153953;141754;0.223;0.131;0.082;2.285;1.603;0.434;37.287;35.602;132.720;132.742;131.116;28.090;27.153;1.450;0.285;0.115;58.314;191.056;133.682;40.306;6.973;0.789;0.000;0.023;0.000;9;33.398;128.807;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;4978.964076;4979.019428;4979.147948;778467;22560;139430;18;1660;22560;24648;100.000;0.795;0.866;535.424;572.861;5.916;160176;150044;139430;0.212;0.123;0.077;2.281;1.492;0.077;31.057;29.488;128.505;128.520;127.005;24.165;23.218;1.574;0.205;0.091;55.352;183.872;127.520;31.394;1.939;0.861;0.000;0.015;0.000;12;27.284;124.707;3;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;4978.995437;4979.047941;4979.193740;776427;22184;137802;17;1641;22184;24156;100.000;0.548;0.594;529.172;566.181;5.797;157416;147596;137802;0.202;0.116;0.071;2.063;1.186;0.335;49.564;48.307;145.775;145.799;144.592;33.995;33.409;1.410;0.181;0.083;52.504;198.303;139.979;28.514;4.820;1.109;0.000;0.024;0.000;10;46.315;142.504;4;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;4979.031307;4979.088668;4979.226078;774893;24252;137230;19;1634;24252;26456;100.000;0.857;0.931;526.976;563.826;6.349;155704;146684;137230;0.207;0.119;0.072;4.464;1.333;0.069;35.586;34.182;137.384;137.410;136.059;25.898;25.123;1.435;1.200;1.431;57.361;194.771;138.983;40.726;7.393;1.501;0.000;0.026;0.000;9;29.789;131.567;4;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;4979.063014;4979.117122;4979.260404;775949;24816;137590;19;1638;24816;27020;100.000;0.624;0.676;528.358;565.299;6.485;155769;147285;137590;0.316;0.115;0.072;4.743;1.605;0.081;40.099;38.422;143.241;143.281;141.638;27.986;27.127;1.630;1.197;1.413;54.108;197.389;139.976;28.455;4.878;1.712;0.000;0.040;0.001;18;33.751;136.853;2;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;4979.095191;4979.157112;4979.293315;775463;26320;137746;20;1640;26320;28640;100.000;599.981;650.692;528.957;565.943;6.874;154945;147291;137746;0.210;0.119;0.072;2.606;1.604;0.523;39.268;37.592;136.182;136.203;134.572;28.830;27.934;1.603;0.187;0.415;61.921;198.124;139.554;39.989;6.656;2.021;0.000;0.020;0.000;14;35.058;131.945;2;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;4979.131132;4979.189686;4979.325389;775698;26320;138024;20;1644;26320;28640;100.000;0.744;0.807;530.025;567.101;6.874;154624;147515;138024;0.221;0.118;0.075;3.012;0.891;0.055;36.274;35.308;135.549;135.703;134.789;26.730;26.195;1.381;0.181;1.037;58.555;194.257;138.295;32.574;0.759;1.943;0.000;0.154;0.000;19;32.371;131.610;2;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;4979.162090;4979.225313;4979.357948;778020;25380;138278;20;1647;25380;27700;100.000;0.750;0.816;531.000;568.144;6.648;153992;146840;138278;0.194;0.113;0.069;2.617;1.439;0.430;36.456;34.948;132.609;132.634;131.169;27.486;26.643;1.899;0.220;0.124;63.223;195.858;137.520;35.627;2.294;1.964;0.000;0.026;0.000;10;32.400;128.525;4;0;0;0;0;0;0;0
