frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;4978.861623;4978.863925;4978.896762;4978.947666;784142;784142;784142;9336;108;12546272;12546312;100.000;935.244;935.244;34.087;37.435;3011.115;10.510;0.000;0.000;13.028;6.289;0.004;29.828;29.828;70.326;83.741;32.837;35.619;90.836;1.618;0.904;0.501;1.390;8.615;2.301;86.042;83.741;0.000;0.000;0.000;0.000;0.013;0.091;13.043;0.391;0;1;29.865;29.866;nan;nan;nan;141940;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;4978.895138;4978.898334;4978.927563;4978.987983;783406;783406;783406;9327;23;12534496;12534536;100.000;867.966;867.966;7.015;7.711;3008.289;2.816;0.000;0.000;4.290;10.027;0.001;17.133;17.133;75.207;89.648;29.229;19.111;58.617;1.465;0.901;0.507;1.391;0.026;3.196;92.845;90.725;34.410;1.076;0.067;1.076;0.011;0.459;10.857;0.326;0;2;30.125;30.127;nan;nan;nan;29140;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;4978.929720;4978.934083;4978.962181;4979.019381;780200;780200;780200;9289;18;12483200;12483240;100.000;808.643;808.643;5.526;6.066;2995.978;3.791;0.000;0.000;4.315;7.557;0.001;15.663;15.663;69.861;85.299;28.098;18.362;55.743;1.473;0.905;0.523;1.387;0.027;4.362;89.661;88.790;35.748;2.415;0.214;2.415;0.002;0.787;9.224;0.277;0;1;33.357;33.357;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;4978.964076;4978.968717;4978.995397;4979.047896;778467;778467;778467;9268;18;12455472;12455512;100.000;883.593;883.593;5.436;5.976;2989.323;3.229;0.000;0.000;5.151;6.693;0.002;15.072;15.072;65.082;79.178;26.680;19.036;56.493;2.301;0.886;0.500;1.437;0.028;4.642;83.820;83.971;34.635;1.301;0.282;1.301;0.002;0.737;8.208;0.246;0;2;30.674;30.675;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;4978.995437;4978.998880;4979.025753;4979.088611;776427;776427;776427;9244;17;12422832;12422872;100.000;800.856;800.856;5.345;5.855;2981.489;3.426;0.000;0.000;4.968;5.976;0.001;14.370;14.370;74.220;89.732;26.873;16.015;53.474;2.169;0.882;0.501;1.386;0.030;3.443;93.174;91.353;30.162;3.171;0.463;3.171;0.002;0.414;4.980;0.149;0;2;28.115;28.116;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;4979.031307;4979.035017;4979.061773;4979.117066;774893;774893;774893;9225;19;12398288;12398328;100.000;813.569;813.569;5.842;6.413;2975.599;3.757;0.000;0.000;4.312;6.914;0.002;14.983;14.983;66.809;82.049;26.755;18.261;55.999;1.482;0.897;0.516;1.391;0.026;3.710;85.759;86.475;36.138;2.804;0.609;2.804;0.002;0.288;4.816;0.144;0;1;33.748;33.749;nan;nan;nan;24252;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;4979.063014;4979.067532;4979.095173;4979.157060;775949;775949;775949;9238;19;12415184;12415224;100.000;825.719;825.719;5.977;6.549;2979.654;3.569;0.000;0.000;6.020;6.234;0.001;15.822;15.822;74.492;89.528;27.641;17.673;57.240;3.200;0.886;0.505;1.390;0.038;4.517;94.045;93.135;32.514;0.819;0.622;0.819;0.002;0.349;5.120;0.154;0;2;28.122;28.124;nan;nan;nan;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;4979.095191;4979.101274;4979.131039;4979.157100;775463;775463;775463;9232;20;12407408;12407448;100.000;774.302;774.302;6.338;6.941;2977.788;4.242;0.000;0.000;5.668;8.019;0.001;17.930;17.930;39.801;55.826;29.765;32.118;60.238;2.827;0.901;0.516;1.394;0.030;6.083;61.908;59.842;33.742;0.409;0.609;0.409;0.002;0.051;5.261;0.158;0;1;34.038;34.038;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;4979.131132;4979.137017;4979.164116;4979.225173;775698;775698;775698;9235;20;12411168;12411208;100.000;796.395;796.395;6.338;6.941;2978.690;3.706;0.000;0.000;4.442;7.019;0.002;15.166;15.166;72.571;88.156;27.099;17.204;55.965;1.627;0.880;0.499;1.409;0.027;5.885;94.041;94.581;35.743;2.409;0.721;2.409;0.002;0.052;5.058;0.152;0;2;32.521;32.522;nan;nan;nan;26320;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;4979.162090;4979.166659;4979.196878;4979.259245;778020;778020;778020;9263;20;12448320;12448360;100.000;703.289;703.289;6.112;6.715;2987.606;4.057;0.000;0.000;5.241;6.697;0.002;15.995;15.995;74.887;92.587;30.219;17.276;52.931;2.208;0.998;0.470;1.534;0.031;4.568;97.155;95.321;29.642;3.692;0.907;3.692;0.002;0.578;5.107;0.153;0;2;34.988;34.991;nan;nan;nan;25380;1;0;0;0;0;0;0
