frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;4978.861623;4979.048640;4979.049854;784142;146318;146318;0;0;1742;1742;2341088;2341140;100.000;1934.168;1934.168;561.874;604.505;561.874;1.211;0.519;0.558;1.214;0.000;1.214;46.000;100.000;187.017;1.214;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;4978.895138;4979.085800;4979.086920;783406;144182;144182;0;0;1717;1717;2306912;2306964;100.000;2069.096;2069.096;553.671;595.691;553.671;1.117;0.455;0.498;37.066;35.946;1.120;44.490;3.022;190.662;4.946;37.159;3.826;0.239;0;0;0;0;0;0;0;0
3;1;1;1;4978.929720;4979.119188;4979.120788;780200;141754;141754;0;0;1688;1688;2268064;2268116;100.000;1422.760;1422.760;544.348;585.658;544.348;1.596;0.555;0.598;33.868;32.268;1.600;37.377;4.723;189.468;5.481;33.388;0.055;0.228;0;0;0;0;0;0;0;0
4;1;1;1;4978.964076;4979.146462;4979.148294;778467;139430;139430;0;0;1660;1660;2230880;2230932;100.000;1222.615;1222.615;535.424;576.048;535.424;1.828;0.548;0.586;27.506;25.674;1.832;31.984;6.659;182.386;-0.347;27.274;6.059;0.592;0;0;0;0;0;0;0;0
5;1;1;1;4978.995437;4979.192568;4979.193757;776427;137802;137802;0;0;1641;1641;2204832;2204884;100.000;1857.896;1857.896;529.172;569.331;529.172;1.185;0.496;0.534;45.464;44.275;1.189;44.951;2.615;197.131;11.784;46.106;12.773;1.353;0;0;0;0;0;0;0;0
6;1;1;1;4979.031307;4979.224758;4979.226090;774893;137230;137230;0;0;1634;1634;2195680;2195732;100.000;1648.317;1648.317;526.976;566.964;526.976;1.329;0.542;0.585;32.333;31.000;1.333;43.922;4.122;193.451;10.783;32.189;1.144;1.340;0;0;0;0;0;0;0;0
7;1;1;1;4979.063014;4979.258818;4979.260417;775949;137590;137590;0;0;1638;1638;2201440;2201492;100.000;1378.145;1378.145;528.358;568.444;528.358;1.594;0.606;0.649;34.326;32.727;1.599;40.560;4.659;195.803;11.777;34.060;0.727;1.302;0;0;0;0;0;0;0;0
8;1;1;1;4979.095191;4979.291720;4979.293325;775463;137746;137746;0;0;1640;1640;2203936;2203988;100.000;1374.704;1374.704;528.957;569.092;528.957;1.597;0.458;0.496;32.909;31.303;1.605;30.929;4.878;196.529;11.352;32.903;0.431;1.248;0;0;0;0;0;0;0;0
9;1;1;1;4979.131132;4979.324509;4979.325400;775698;138024;138024;0;0;1644;1644;2208384;2208436;100.000;2485.193;2485.193;530.025;570.257;530.025;0.887;0.435;0.476;32.075;31.183;0.891;53.412;2.779;193.377;10.093;32.789;0.545;1.204;0;0;0;0;0;0;0;0
10;1;1;1;4979.162090;4979.356522;4979.357956;778020;138278;138278;0;0;1647;1647;2212448;2212500;100.000;1546.944;1546.944;531.000;571.306;531.000;1.429;0.549;0.600;32.556;31.122;1.435;41.810;4.407;194.432;9.316;32.013;1.320;1.211;0;0;0;0;0;0;0;0
