frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;4978.861623;4978.920409;4978.947675;784142;0;0;141940;141940;108;108;141940;142028;100.000;5.210;5.210;34.087;37.435;34.087;27.257;0.025;0.029;27.266;0.000;27.266;0.106;100.000;58.785;27.266;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;4978.895138;4978.947717;4978.987986;783406;0;0;29140;29140;23;23;29140;29228;100.000;0.726;0.726;7.015;7.711;7.015;40.267;0.006;0.008;40.311;0.042;40.270;0.019;99.897;52.578;34.244;27.308;6.026;0.377;0;0;0;0;0;0;0;0
3;1;1;1;4978.929720;4978.988017;4979.019387;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.734;0.734;5.526;6.066;5.526;31.367;0.007;0.008;31.401;0.031;31.370;0.026;99.902;58.297;32.311;40.300;6.967;0.789;0;0;0;0;0;0;0;0
4;1;1;1;4978.964076;4979.019419;4979.047902;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.795;0.795;5.436;5.976;5.436;28.480;0.005;0.007;28.515;0.032;28.482;0.025;99.887;55.344;27.493;31.402;1.931;0.860;0;0;0;0;0;0;0;0
5;1;1;1;4978.995437;4979.047931;4979.088616;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.547;0.547;5.345;5.855;5.345;40.682;0.007;0.008;40.714;0.029;40.685;0.020;99.928;52.494;34.874;28.512;4.822;1.108;0;0;0;0;0;0;0;0
6;1;1;1;4979.031307;4979.088661;4979.117076;774893;0;0;24252;24252;19;19;24252;24340;100.000;0.857;0.857;5.842;6.413;5.842;28.413;0.007;0.008;28.460;0.045;28.415;0.029;99.842;57.354;30.001;40.730;7.397;1.501;0;0;0;0;0;0;0;0
7;1;1;1;4979.063014;4979.117110;4979.157063;775949;0;0;24816;24816;19;19;24816;24904;100.000;0.623;0.623;5.977;6.549;5.977;39.949;0.008;0.009;39.987;0.034;39.953;0.021;99.915;54.096;36.654;28.449;4.884;1.712;0;0;0;0;0;0;0;0
8;1;1;1;4979.095191;4979.157105;4979.157110;775463;0;0;26320;26320;20;20;26320;26408;100.000;17161.162;17161.162;6.338;6.941;6.338;0.003;0.003;0.004;0.047;0.042;0.005;71.976;10.608;61.914;3.368;39.995;6.661;2.021;0;0;0;0;0;0;0;0
9;1;1;1;4979.131132;4979.189671;4979.225181;775698;0;0;26320;26320;20;20;26320;26408;100.000;0.744;0.744;6.338;6.941;6.338;35.505;0.009;0.011;68.071;32.561;35.510;0.031;52.166;58.539;38.105;32.566;0.767;1.943;0;0;0;0;0;0;0;0
10;1;1;1;4979.162090;4979.225240;4979.259258;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.749;0.749;6.112;6.715;6.112;33.955;0.007;0.008;34.077;0.059;34.018;0.024;99.826;63.150;38.849;35.569;2.236;1.961;0;0;0;0;0;0;0;0
11;1;1;1;4979.195519;4979.259345;4979.291482;778554;0;0;23876;23876;19;19;23876;23964;100.000;0.746;0.746;5.751;6.323;5.751;32.136;0.008;0.009;32.224;0.087;32.137;0.029;99.731;63.825;37.740;34.105;0.771;1.887;0;0;0;0;0;0;0;0
12;1;1;1;4979.228995;4979.291520;4979.324281;779986;0;0;25756;25756;20;20;25756;25844;100.000;0.789;0.789;6.203;6.805;6.203;32.746;0.010;0.011;32.799;0.038;32.761;0.034;99.884;62.525;37.205;32.175;1.158;1.841;0;0;0;0;0;0;0;0
13;1;1;1;4979.262436;4979.324317;4979.359142;780926;0;0;25944;25944;20;20;25944;26032;100.000;0.748;0.748;6.248;6.851;6.248;34.821;0.006;0.008;34.861;0.037;34.824;0.022;99.895;61.881;38.733;32.797;0.536;1.760;0;0;0;0;0;0;0;0
14;1;1;1;4979.295409;4979.359205;4979.390238;782770;0;0;26696;26696;21;21;26696;26784;100.000;0.863;0.863;6.428;7.062;6.428;31.031;0.005;0.006;31.096;0.063;31.033;0.019;99.797;63.796;36.496;34.888;1.554;1.747;0;0;0;0;0;0;0;0
