frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;4978.861623;4979.048664;4979.049868;784142;146318;146318;1742;1742;2341088;2341140;100.000;1950.801;1950.801;561.874;601.161;561.874;1.201;0.616;0.670;1.204;0.000;1.204;55.657;100.000;187.040;1.204;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;4978.895138;4979.085814;4979.086939;783406;144182;144182;1717;1717;2306912;2306964;100.000;2061.875;2061.875;553.671;592.394;553.671;1.120;0.529;0.585;37.071;35.947;1.124;52.077;3.033;190.676;4.942;37.151;3.818;0.239;0;0;0;0;0;0;0;0
3;1;1;1;4978.929720;4979.119212;4979.120801;780200;141754;141754;1688;1688;2268064;2268116;100.000;1433.070;1433.070;544.348;582.417;544.348;1.584;0.652;0.698;33.862;32.273;1.589;43.946;4.694;189.491;5.471;33.397;0.064;0.228;0;0;0;0;0;0;0;0
4;1;1;1;4978.964076;4979.146484;4979.148311;778467;139430;139430;1660;1660;2230880;2230932;100.000;1226.574;1226.574;535.424;572.861;535.424;1.822;0.920;0.962;27.510;25.683;1.828;52.645;6.644;182.408;-0.352;27.272;6.061;0.592;0;0;0;0;0;0;0;0
5;1;1;1;4978.995437;4979.203095;4979.206106;776427;137802;137802;1641;1641;2204832;2204884;100.000;734.478;734.478;529.172;566.181;529.172;2.997;2.239;2.277;57.794;54.783;3.011;75.610;5.210;207.658;24.109;56.611;23.278;2.010;0;0;0;0;0;0;0;0
6;1;1;1;4979.031307;4979.224779;4979.242124;774893;137230;137230;1634;1634;2195680;2195732;100.000;126.620;126.620;526.976;563.826;526.976;17.341;16.650;16.692;36.019;18.673;17.345;96.231;48.156;193.472;26.794;21.684;11.649;2.613;0;0;0;0;0;0;0;0
7;1;1;1;4979.063014;4979.258847;4979.276860;775949;137590;137590;1638;1638;2201440;2201492;100.000;122.269;122.269;528.358;565.299;528.358;18.008;1.702;1.743;34.735;16.722;18.013;9.676;51.858;195.832;28.196;34.067;0.734;2.495;0;0;0;0;0;0;0;0
8;1;1;1;4979.095191;4979.305705;4979.308332;775463;137746;137746;1640;1640;2203936;2203988;100.000;840.646;840.646;528.957;565.943;528.957;2.615;1.906;1.944;31.473;28.845;2.628;73.990;8.349;210.514;26.335;46.858;13.525;3.185;0;0;0;0;0;0;0;0
9;1;1;1;4979.131132;4979.339590;4979.341797;775698;138024;138024;1644;1644;2208384;2208436;100.000;1005.445;1005.445;530.025;567.101;530.025;2.162;1.622;1.658;33.465;31.258;2.207;75.109;6.595;208.459;26.467;33.885;0.552;3.020;0;0;0;0;0;0;0;0
10;1;1;1;4979.162090;4979.356545;4979.357971;778020;138278;138278;1647;1647;2212448;2212500;100.000;1556.087;1556.087;531.000;568.144;531.000;1.422;0.622;0.668;16.174;14.747;1.426;46.813;8.818;194.454;9.307;16.954;16.379;3.855;0;0;0;0;0;0;0;0
11;1;1;1;4979.195519;4979.403651;4979.406296;778554;139114;139114;1657;1657;2225824;2225876;100.000;848.782;848.782;534.210;571.580;534.210;2.634;1.939;1.979;48.325;45.680;2.645;74.808;5.473;208.131;24.299;47.106;13.773;4.475;0;0;0;0;0;0;0;0
12;1;1;1;4979.228995;4979.424866;4979.442289;779986;140496;140496;1673;1673;2247936;2247988;100.000;129.071;129.071;539.517;577.248;539.517;17.418;16.716;16.760;35.993;18.571;17.423;96.198;48.405;195.871;26.958;21.216;12.118;4.952;0;0;0;0;0;0;0;0
13;1;1;1;4979.262436;4979.474106;4979.476493;780926;142868;142868;1701;1701;2285888;2285940;100.000;959.103;959.103;548.626;586.988;548.626;2.380;1.766;1.806;34.204;31.817;2.387;75.640;6.980;211.669;27.830;49.240;15.906;5.637;0;0;0;0;0;0;0;0
14;1;1;1;4979.295409;4979.505065;4979.508199;782770;144928;144928;1726;1726;2318848;2318900;100.000;747.030;747.030;556.536;595.462;556.536;3.125;2.326;2.367;31.706;28.572;3.133;75.537;9.883;209.656;26.202;30.959;2.374;5.433;0;0;0;0;0;0;0;0
15;1;1;1;4979.328507;4979.521887;4979.523395;784474;146044;146044;1739;1739;2336704;2336756;100.000;1552.816;1552.816;560.821;600.041;560.821;1.501;0.722;0.770;15.197;13.689;1.508;51.090;9.922;193.380;8.065;16.822;16.511;6.126;0;0;0;0;0;0;0;0
16;1;1;1;4979.361840;4979.570309;4979.573078;785193;145822;145822;1736;1736;2333152;2333204;100.000;844.376;844.376;559.969;599.121;559.969;2.760;2.041;2.081;49.683;46.913;2.769;75.156;5.574;208.469;24.414;48.421;15.088;6.686;0;0;0;0;0;0;0;0
17;1;1;1;4979.395035;4979.587142;4979.588926;782720;144126;144126;1716;1716;2306016;2306068;100.000;1296.790;1296.790;553.456;592.157;553.456;1.779;0.669;0.718;15.848;14.064;1.784;40.233;11.255;192.107;6.929;16.833;16.500;7.299;0;0;0;0;0;0;0;0
18;1;1;1;4979.428895;4979.614635;4979.616503;781613;141930;141930;1690;1690;2270880;2270932;100.000;1220.510;1220.510;545.024;583.138;545.024;1.864;0.926;0.970;27.578;25.709;1.869;51.892;6.776;185.739;1.173;27.493;5.841;7.208;0;0;0;0;0;0;0;0
19;1;1;1;4979.462158;4979.650404;4979.651597;780006;139740;139740;1664;1664;2235840;2235892;100.000;1891.245;1891.245;536.614;574.141;536.614;1.189;0.705;0.756;35.094;33.901;1.192;63.392;3.398;188.246;2.933;35.770;2.436;6.910;0;0;0;0;0;0;0;0
20;1;1;1;4979.495152;4979.690803;4979.707524;780302;138346;138346;1647;1647;2213536;2213588;100.000;132.523;132.523;531.261;568.405;531.261;16.716;1.169;1.207;55.927;39.206;16.721;7.218;29.898;195.651;25.527;40.398;7.065;6.919;0;0;0;0;0;0;0;0
21;1;1;1;4979.528634;4979.738686;4979.740756;779066;137844;137844;1641;1641;2205504;2205556;100.000;1068.846;1068.846;529.333;566.342;529.333;2.064;1.530;1.564;33.232;31.163;2.069;75.587;6.227;210.052;25.426;47.884;14.550;7.396;0;0;0;0;0;0;0;0
22;1;1;1;4979.562105;4979.754589;4979.756311;778280;138092;138092;1644;1644;2209472;2209524;100.000;1285.449;1285.449;530.286;567.362;530.286;1.717;0.659;0.705;15.555;13.833;1.722;40.958;11.072;192.483;7.648;15.902;17.431;8.023;0;0;0;0;0;0;0;0
