frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2420.874088;2420.874088;0.000;784142;9802;12546272;12546272;2179.878;2179.878;3011.115;3204.009;3011.115;0.000;0.000;5.756;1.423;5.756;5.756;99.999;99.999;2541;0;2541;80520;0
2;1;1;1;0;0.000;2420.907422;2420.907422;33.334;783406;9793;12534496;12534496;1649.947;1649.947;3008.289;3201.005;3008.289;0.000;0.000;7.597;2.138;7.597;7.597;99.995;99.995;1771;0;1771;55928;0
3;1;1;1;0;0.000;2420.940755;2420.940755;33.333;780200;9753;12483200;12483200;1602.356;1602.356;2995.978;3187.907;2995.978;0.000;0.000;7.791;2.187;7.791;7.791;99.998;99.998;994;0;994;31535;0
4;1;1;1;0;0.000;2420.974089;2420.974089;33.334;778467;9731;12455472;12455472;1562.077;1562.077;2989.323;3180.819;2989.323;0.000;0.000;7.974;2.184;7.974;7.974;99.993;99.993;1179;0;1179;36626;0
5;1;1;1;0;0.000;2421.007423;2421.007423;33.334;776427;9706;12422832;12422832;1886.581;1886.581;2981.489;3172.494;2981.489;0.000;0.000;6.585;1.892;6.585;6.585;100.000;100.000;770;0;770;23914;0
6;1;1;1;0;0.000;2421.040755;2421.040755;33.333;774893;9687;12398288;12398288;2077.221;2077.221;2975.599;3166.229;2975.599;0.000;0.000;5.969;1.824;5.969;5.969;99.995;99.995;1974;0;1974;62943;0
7;1;1;1;0;0.000;2421.074089;2421.074089;33.333;775949;9700;12415184;12415184;2044.944;2044.944;2979.654;3170.540;2979.654;0.000;0.000;6.071;1.872;6.071;6.071;100.000;100.000;975;0;975;31200;0
8;1;1;1;0;0.000;2421.107422;2421.107423;33.334;775463;9694;12407408;12407408;1614.938;1614.938;2977.788;3168.556;2977.788;0.000;0.000;7.683;2.093;7.683;7.683;99.996;99.996;281;0;281;8944;0
9;1;1;1;0;0.000;2421.140755;2421.140755;33.333;775698;9697;12411168;12411168;1788.945;1788.945;2978.690;3169.517;2978.690;0.000;0.000;6.938;1.923;6.938;6.938;99.997;99.997;610;0;610;18466;0
10;1;1;1;0;0.000;2421.174088;2421.174088;33.333;778020;9726;12448320;12448320;2178.717;2178.717;2987.606;3179.004;2987.606;0.000;0.000;5.714;1.748;5.714;5.714;99.999;99.999;1800;0;1800;57550;0
11;1;1;1;0;0.000;2421.207422;2421.207422;33.334;778554;9732;12456864;12456864;1921.831;1921.831;2989.657;3181.173;2989.657;0.000;0.000;6.482;2.117;6.482;6.482;99.995;99.995;1757;0;1757;55300;0
12;1;1;1;0;0.000;2421.240755;2421.240755;33.333;779986;9750;12479776;12479776;1392.706;1392.706;2995.156;3187.026;2995.156;0.000;0.000;8.961;2.291;8.961;8.961;100.000;100.000;0;0;0;0;0
13;1;1;1;0;0.000;2421.274088;2421.274088;33.333;780926;9762;12494816;12494816;2030.776;2030.776;2998.765;3190.872;2998.765;0.000;0.000;6.153;1.830;6.153;6.153;99.996;99.996;1532;0;1532;47884;0
14;1;1;1;0;0.000;2421.307422;2421.307422;33.333;782770;9785;12524320;12524320;2006.477;2006.477;3005.846;3198.406;3005.846;0.000;0.000;6.242;1.895;6.242;6.242;99.999;99.999;2009;0;2009;64113;0
15;1;1;1;0;0.000;2421.340755;2421.340755;33.334;784474;9806;12551584;12551584;1666.951;1666.951;3012.390;3205.362;3012.390;0.000;0.000;7.530;2.007;7.530;7.530;99.995;99.995;220;0;220;6446;0
16;1;1;1;0;0.000;2421.374088;2421.374088;33.333;785193;9815;12563088;12563088;2033.692;2033.692;3015.151;3208.300;3015.151;0.000;0.000;6.177;1.846;6.177;6.178;99.995;99.995;1384;0;1384;44054;0
17;1;1;1;0;0.000;2421.407422;2421.407422;33.334;782720;9784;12523520;12523520;1651.601;1651.601;3005.654;3198.194;3005.654;0.000;0.000;7.583;2.090;7.583;7.583;99.996;99.996;872;0;872;27672;0
18;1;1;1;0;0.000;2421.440755;2421.440755;33.333;781613;9771;12505808;12505808;1927.512;1927.512;3001.404;3193.687;3001.404;0.000;0.000;6.488;2.108;6.488;6.488;99.997;99.997;1240;0;1240;39071;0
19;1;1;1;0;0.000;2421.474088;2421.474088;33.333;780006;9751;12480096;12480096;1906.544;1906.544;2995.233;3187.123;2995.233;0.000;0.000;6.546;1.939;6.546;6.546;100.000;100.000;1461;0;1461;46554;0
20;1;1;1;0;0.000;2421.507422;2421.507422;33.334;780302;9754;12484832;12484832;2022.977;2022.977;2996.369;3188.318;2996.369;0.000;0.000;6.172;1.951;6.172;6.172;99.999;99.999;1277;0;1277;40720;0
21;1;1;1;0;0.000;2421.540756;2421.540756;33.335;779066;9739;12465056;12465056;1831.285;1831.285;2991.623;3183.277;2991.623;0.000;0.000;6.807;2.097;6.807;6.807;99.997;99.997;1074;0;1074;33717;0
22;1;1;1;0;0.000;2421.574088;2421.574088;33.332;778280;9729;12452480;12452480;2000.151;2000.151;2988.605;3180.062;2988.605;0.000;0.000;6.226;1.899;6.226;6.226;99.998;99.998;1728;0;1728;53994;0
23;1;1;1;0;0.000;2421.607422;2421.607422;33.333;778907;9737;12462512;12462512;1984.710;1984.710;2991.012;3182.627;2991.012;0.000;0.000;6.279;1.886;6.279;6.279;99.998;99.998;1158;0;1158;36297;0
