frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2420.874088;2420.934556;2421.072660;784142;141940;146318;108;1829;141940;154468;100.000;3.408;3.707;561.874;603.123;37.072;178911;159140;146318;0.216;0.127;0.078;2.935;1.184;0.057;35.501;34.238;138.026;138.104;136.900;25.706;25.010;1.376;0.190;0.947;60.468;198.572;138.104;0.000;0.000;0.000;0.000;0.078;0.000;56;31.381;133.886;4;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2420.907422;2420.976323;2421.112660;783406;28764;144182;22;1803;28764;31316;100.000;0.774;0.840;553.671;594.335;7.516;169393;156499;144182;0.202;0.117;0.072;2.673;2.174;0.125;44.100;41.854;121.967;136.337;134.128;32.346;31.205;1.866;0.295;0.122;68.901;205.238;144.770;41.766;8.433;0.527;0.000;14.370;0.000;24;39.252;117.083;2;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2420.940755;2421.013654;2421.144327;780200;23124;141754;18;1772;23124;25212;100.000;0.715;0.777;544.348;584.312;6.051;164369;153953;141754;0.196;0.116;0.071;2.275;1.706;0.296;36.516;34.739;130.629;130.674;128.936;27.944;26.943;1.533;0.266;0.093;72.899;203.573;143.105;37.331;3.998;0.744;0.000;0.045;0.001;17;32.535;126.615;2;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2420.974089;2421.046213;2421.171569;778467;22560;139430;18;1743;22560;24648;100.000;0.597;0.650;535.424;574.733;5.916;160176;150044;139430;0.234;0.115;0.070;2.220;1.184;0.322;31.233;29.980;125.316;125.355;124.153;24.916;24.147;1.553;0.182;0.066;72.125;197.480;137.013;32.560;0.774;0.746;0.000;0.039;0.000;17;27.830;121.893;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2421.007423;2421.084195;2421.208213;776427;22184;137802;17;1723;22184;24156;100.000;0.674;0.731;529.172;568.031;5.797;157416;147596;137802;0.247;0.116;0.070;2.151;1.063;0.064;40.043;38.910;123.002;124.018;122.933;32.288;31.651;1.468;0.181;0.071;76.772;200.790;140.323;37.982;4.648;0.990;0.000;1.016;0.000;17;36.828;119.764;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2421.040755;2421.117322;2421.249670;774893;24628;137230;19;1716;24628;26832;100.000;0.880;0.956;526.976;565.676;6.440;155704;146684;137230;0.198;0.116;0.070;2.645;1.678;0.254;44.657;42.909;132.325;132.348;130.638;33.742;32.846;1.871;0.268;0.123;76.567;208.915;148.447;33.127;0.207;0.941;0.000;0.023;0.001;9;40.334;127.968;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2421.074089;2421.145965;2421.272447;775949;25004;137590;19;1720;25004;27208;100.000;425.331;461.199;528.358;567.149;6.530;155769;147285;137590;0.224;0.106;0.065;2.305;1.386;0.427;27.106;25.656;126.449;126.483;125.077;21.431;20.512;1.572;0.180;0.156;71.876;198.359;137.891;28.643;4.690;1.175;0.000;0.034;0.000;12;23.416;122.736;3;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;2421.107422;2421.182457;2421.307062;775463;26508;137746;21;1722;26508;28944;100.000;0.782;0.851;528.957;567.793;6.947;154945;147291;137746;0.230;0.106;0.066;2.017;0.926;0.058;38.301;37.309;124.559;124.605;123.659;30.738;30.171;1.369;0.179;0.067;75.035;199.640;139.173;36.493;3.159;1.299;0.000;0.046;0.000;20;35.358;121.595;2;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;2421.140755;2421.216496;2421.344694;775698;26132;138024;20;1726;26132;28452;100.000;0.963;1.045;530.025;568.951;6.828;154624;147515;138024;0.189;0.110;0.066;2.250;2.201;0.348;40.546;38.280;128.164;128.199;125.958;31.628;30.391;1.495;0.290;0.102;75.740;203.939;143.472;34.038;0.705;1.262;0.000;0.034;0.000;18;36.095;123.666;3;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;2421.174088;2421.243869;2421.371958;778020;25380;138278;20;1729;25380;27700;100.000;0.660;0.718;531.000;569.994;6.648;153992;146840;138278;0.184;0.108;0.066;2.002;1.313;0.421;31.729;30.350;127.875;128.088;126.752;24.771;23.944;1.379;0.181;0.084;69.781;197.870;137.401;27.374;5.960;1.556;0.000;0.214;0.000;19;28.414;124.536;2;0;0;0;0;0;0;0
11;1;1;1;0.000000;0.000000;1.000000;2421.207422;2421.282489;2421.411650;778554;23876;139114;19;1739;23876;26080;100.000;0.721;0.785;534.210;573.430;6.259;154581;147771;139114;0.187;0.109;0.066;2.345;1.867;0.123;42.993;41.061;129.107;129.161;127.259;33.286;32.265;1.594;0.292;0.098;75.067;204.228;143.761;38.620;5.286;1.789;0.000;0.054;0.000;18;38.781;124.858;2;0;0;0;0;0;0;0
12;1;1;1;0.000000;0.000000;1.000000;2421.240755;2421.315799;2421.441501;779986;25568;140496;20;1757;25568;27888;100.000;0.909;0.988;539.517;579.143;6.693;155588;149026;140496;0.224;0.104;0.063;2.081;1.325;0.375;34.073;32.685;125.667;125.702;124.355;27.106;26.284;1.380;0.187;0.122;75.044;200.745;140.278;33.310;0.023;1.678;0.000;0.035;0.000;13;30.667;122.237;3;0;0;0;0;0;0;0
13;1;1;1;0.000000;0.000000;1.000000;2421.274088;2421.345904;2421.470904;780926;26132;142868;20;1786;26132;28452;100.000;0.751;0.814;548.626;588.905;6.828;157785;151108;142868;0.215;0.104;0.065;3.255;0.967;0.063;32.811;31.780;124.957;124.999;124.016;26.249;25.626;2.605;0.185;0.081;71.816;196.815;136.347;30.105;3.228;1.775;0.000;0.043;0.000;19;28.589;120.716;2;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;2421.307422;2421.380891;2421.507933;782770;26508;144928;21;1812;26508;28944;100.000;0.781;0.850;556.536;597.402;6.947;159421;153009;144928;0.221;0.106;0.065;2.035;1.354;0.362;41.241;39.823;127.010;127.042;125.664;32.463;31.690;1.372;0.190;0.080;73.469;200.511;140.043;34.987;1.654;1.768;0.000;0.032;0.000;18;37.853;123.596;4;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;2421.340755;2421.415027;2421.541316;784474;27072;146044;21;1826;27072;29508;100.000;0.976;1.060;560.821;602.004;7.082;159965;153314;146044;0.182;0.106;0.067;1.991;1.099;0.065;36.773;35.607;126.216;126.289;125.169;29.118;28.447;1.374;0.190;0.071;74.271;200.560;140.093;34.136;0.802;1.707;0.000;0.073;0.000;20;33.682;123.103;2;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;2421.374088;2421.442985;2421.572008;785193;131788;145822;101;1823;131788;143504;100.000;3.412;3.712;559.969;601.083;34.441;177968;156948;145822;0.181;0.108;0.066;1.978;1.366;0.341;33.785;32.353;128.980;129.023;127.641;26.185;25.347;1.369;0.190;0.065;68.897;197.919;137.452;27.958;5.375;1.937;0.000;0.043;0.000;57;30.441;125.619;5;0;0;0;0;0;0;0
17;1;1;1;0.000000;0.000000;1.000000;2421.407422;2421.481730;2421.606220;782720;28764;144126;22;1802;28764;31316;100.000;0.867;0.941;553.456;594.097;7.516;169127;155796;144126;0.223;0.105;0.066;2.052;1.119;0.061;37.544;36.360;124.435;124.490;123.347;30.159;29.478;1.389;0.190;0.079;74.308;198.798;138.330;38.744;5.411;2.154;0.000;0.055;0.000;21;34.374;121.239;2;0;0;0;0;0;0;0
18;1;1;1;0.000000;0.000000;1.000000;2421.440755;2421.515098;2421.641103;781613;23312;141930;18;1775;23312;25400;100.000;0.862;0.936;545.024;585.055;6.096;164376;152343;141930;0.178;0.105;0.065;1.994;1.209;0.063;38.049;36.776;125.973;126.005;124.770;30.197;29.475;1.373;0.187;0.086;74.343;200.349;139.881;33.368;0.035;2.021;0.000;0.032;0.001;10;34.846;122.742;3;0;0;0;0;0;0;0
19;1;1;1;0.000000;0.000000;1.000000;2421.474088;2421.542317;2421.669520;780006;22372;139740;17;1747;22372;24344;100.000;314.880;341.293;536.614;576.014;5.843;160684;150225;139740;0.233;0.109;0.063;3.479;1.307;0.380;31.611;30.240;127.151;127.203;125.874;24.851;24.024;2.530;0.183;0.360;68.229;195.432;134.964;27.219;6.115;2.277;0.000;0.053;0.000;13;26.825;122.331;2;0;0;0;0;0;0;0
20;1;1;1;0.000000;0.000000;1.000000;2421.507422;2421.580384;2421.707549;780302;22936;138346;18;1730;22936;25024;100.000;0.697;0.758;531.261;570.277;6.006;157894;148300;138346;0.178;0.106;0.065;1.996;1.011;0.056;42.813;41.738;127.115;127.165;126.133;33.667;33.090;1.381;0.182;0.084;72.962;200.127;139.659;38.067;4.734;2.431;0.000;0.050;0.000;17;39.806;124.086;2;0;0;0;0;0;0;0
21;1;1;1;0.000000;0.000000;1.000000;2421.540756;2421.613481;2421.740051;779066;24816;137844;19;1724;24816;27020;100.000;0.924;1.002;529.333;568.214;6.485;156303;147479;137844;0.181;0.104;0.063;1.962;1.294;0.382;35.503;34.145;126.524;126.570;125.250;28.050;27.261;1.366;0.180;0.068;72.725;199.295;138.828;33.097;0.236;2.294;0.000;0.046;0.000;18;32.246;123.241;2;0;0;0;0;0;0;0
22;1;1;1;0.000000;0.000000;1.000000;2421.574088;2421.640510;2421.770820;778280;25004;138092;19;1727;25004;27208;100.000;444.171;481.628;530.286;569.234;6.530;156434;148303;138092;0.212;0.104;0.063;2.176;1.029;0.063;34.030;32.938;130.285;130.310;129.263;26.115;25.482;1.543;0.182;0.072;66.422;196.732;136.264;27.028;6.305;2.544;0.000;0.025;0.000;7;30.826;127.061;3;0;0;0;0;0;0;0
23;1;1;1;0.000000;0.000000;1.000000;2421.607422;2421.680159;2421.806111;778907;25756;138240;20;1728;25756;28076;100.000;0.766;0.832;530.854;569.825;6.738;155826;148511;138240;0.183;0.104;0.063;1.990;1.419;0.412;38.488;37.006;125.886;125.951;124.509;30.558;29.721;1.376;0.182;0.081;72.738;198.689;138.221;39.649;6.316;2.780;0.000;0.065;0.000;19;35.079;122.453;2;0;0;0;0;0;0;0
24;1;1;1;0.000000;0.000000;1.000000;2421.640755;2421.713969;2421.840804;779289;24064;138556;19;1732;24064;26268;100.000;0.871;0.947;532.068;571.129;6.304;155133;147900;138556;0.177;0.110;0.068;1.979;0.981;0.058;38.099;37.050;126.777;126.835;125.831;30.038;29.444;1.367;0.182;0.076;73.214;200.049;139.581;33.809;0.476;2.636;0.000;0.059;0.000;19;35.139;123.792;2;0;0;0;0;0;0;0
25;1;1;1;0.000000;0.000000;1.000000;2421.674088;2421.741807;2421.869756;779739;25004;138952;19;1737;25004;27208;100.000;380.548;412.640;533.588;572.762;6.530;154951;148061;138952;0.218;0.104;0.065;2.333;0.989;0.059;31.911;30.857;127.921;127.948;126.937;24.940;24.309;1.682;0.183;0.081;67.719;195.668;135.199;27.838;5.495;2.815;0.000;0.027;0.000;5;28.589;124.576;6;0;0;0;0;0;0;0
26;1;1;1;0.000000;0.000000;1.000000;2421.707422;2421.780348;2421.916976;779364;26508;139454;21;1744;26508;28944;100.000;0.809;0.880;535.516;574.848;6.947;155091;148214;139454;0.181;0.105;0.065;2.920;2.255;0.619;50.517;48.198;136.586;136.629;134.329;36.974;35.881;2.157;0.269;0.143;72.925;209.554;149.087;38.540;5.207;2.964;0.000;0.043;0.000;14;45.342;131.364;3;0;0;0;0;0;0;0
27;1;1;1;0.000000;0.000000;1.000000;2421.740755;2421.813312;2421.940943;780025;26508;140520;21;1757;26508;28944;100.000;0.964;1.049;539.609;579.235;6.947;155666;148911;140520;0.224;0.105;0.063;2.045;1.041;0.060;29.158;28.054;127.592;127.630;126.564;22.846;22.166;1.390;0.185;0.077;72.557;200.187;139.720;32.965;0.368;2.802;0.000;0.038;0.000;14;26.073;124.480;3;0;0;0;0;0;0;0
