frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;2420.874088;2420.874195;2420.909003;2420.976191;784142;784142;784142;9802;108;12546272;12546312;100.000;881.981;881.981;34.087;37.435;3011.115;10.717;0.000;0.000;12.157;8.316;0.003;31.191;31.191;87.771;101.996;34.808;30.580;89.607;1.597;0.920;0.496;1.394;7.750;0.107;102.103;101.996;0.000;0.000;0.000;0.000;0.012;0.097;12.172;0.365;0;1;33.778;33.780;nan;nan;nan;141940;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;2420.907422;2420.908016;2420.954341;2421.013595;783406;783406;783406;9793;22;12534496;12534536;100.000;809.096;809.096;6.924;7.590;3008.289;3.051;0.000;0.000;4.291;26.370;0.002;33.712;33.712;90.086;105.579;46.325;31.931;72.773;1.458;0.908;0.503;1.396;0.027;0.594;106.172;106.066;33.820;0.487;0.030;0.487;0.010;0.160;10.204;0.306;0;2;48.215;48.217;nan;nan;nan;28764;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;2420.940755;2420.941328;2420.992948;2421.046106;780200;780200;780200;9753;18;12483200;12483240;100.000;711.218;711.218;5.571;6.111;2995.978;3.391;0.000;0.000;5.958;27.447;0.001;36.796;36.796;87.226;104.778;51.621;35.118;71.281;3.101;0.910;0.506;1.407;0.035;0.573;105.351;105.244;33.312;0.021;0.030;0.021;0.002;0.661;9.146;0.274;0;2;48.090;48.091;nan;nan;nan;23124;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;2420.974089;2420.974790;2421.021751;2421.084155;778467;778467;778467;9731;18;12455472;12455512;100.000;756.711;756.711;5.436;5.976;2989.323;4.781;0.000;0.000;4.480;25.848;0.001;35.108;35.108;92.905;109.366;46.961;32.102;74.761;1.629;0.912;0.518;1.393;0.027;0.701;110.067;109.960;33.462;0.129;0.036;0.129;0.002;0.170;7.982;0.239;0;2;50.197;50.200;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;2421.007423;2421.008094;2421.063883;2421.117249;776427;776427;776427;9706;17;12422832;12422872;100.000;839.710;839.710;5.345;5.855;2981.489;3.286;0.000;0.000;6.795;33.903;0.001;43.985;43.985;94.360;109.155;55.789;40.296;78.841;3.349;0.891;0.496;2.020;0.039;0.671;109.826;109.720;33.304;0.029;0.036;0.029;0.003;0.292;6.807;0.204;0;2;54.173;54.174;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;2421.040755;2421.041328;2421.098115;2421.145313;774893;774893;774893;9687;19;12398288;12398328;100.000;912.775;912.775;5.932;6.504;2975.599;2.843;0.000;0.000;5.674;34.231;0.001;42.748;42.748;90.401;103.985;56.787;41.110;75.277;2.731;0.911;0.503;1.498;0.031;0.573;104.558;104.451;33.234;0.099;0.040;0.099;0.002;3.296;6.525;0.196;0;2;53.361;53.363;nan;nan;nan;24628;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;2421.074089;2421.074661;2421.123709;2421.145375;775949;775949;775949;9700;19;12415184;12415224;100.000;919.389;919.389;6.022;6.594;2979.654;2.988;0.000;0.000;4.454;25.592;0.001;33.034;33.034;57.210;70.714;49.048;46.715;67.350;1.677;0.845;0.507;1.397;0.028;0.572;71.286;71.179;33.333;0.001;0.037;0.001;0.002;5.495;6.009;0.180;0;2;47.191;47.194;nan;nan;nan;25004;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;2421.107422;2421.108104;2421.163653;2421.216443;775463;775463;775463;9694;21;12407408;12407448;100.000;797.248;797.248;6.383;7.017;2977.788;3.459;0.000;0.000;6.697;32.427;0.002;42.583;42.583;92.776;108.339;55.549;39.305;76.659;3.583;0.840;0.478;1.759;0.037;0.682;109.021;108.915;33.443;0.110;0.042;0.110;0.002;0.859;6.183;0.186;0;2;51.168;51.169;nan;nan;nan;26508;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;2421.140755;2421.141386;2421.196525;2421.243693;775698;775698;775698;9697;20;12411168;12411208;100.000;828.609;828.609;6.293;6.896;2978.690;3.561;0.000;0.000;5.555;32.871;0.002;41.986;41.986;87.329;102.307;55.139;41.039;76.145;2.708;0.823;0.470;1.521;0.032;0.630;102.938;102.831;33.281;0.052;0.042;0.052;0.003;1.732;6.028;0.181;0;2;52.784;52.787;nan;nan;nan;26132;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;2421.174088;2421.174632;2421.222842;2421.282437;778020;778020;778020;9726;20;12448320;12448360;100.000;927.694;927.694;6.112;6.715;2987.606;2.823;0.000;0.000;4.521;26.316;0.002;33.660;33.660;94.386;107.805;48.210;31.223;69.820;1.773;0.827;0.496;1.398;0.027;0.544;108.349;108.242;33.246;0.087;0.045;0.087;0.002;3.952;5.653;0.170;0;2;47.156;47.160;nan;nan;nan;25380;1;0;0;0;0;0;0
