frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2420.874088;2420.874126;2420.888405;784142;784142;784142;9802;9802;12546272;12546312;100.000;1304.774;1304.774;3011.115;3382.797;3011.115;14.261;0.779;9.984;6.085;2.636;14.279;0.000;14.279;69.920;100.000;0.038;14.279;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2420.907422;2420.907967;2420.923505;783406;783406;783406;9793;9793;12534496;12534536;100.000;1149.700;1149.700;3008.289;3379.630;3008.289;15.523;0.959;9.779;5.662;2.602;35.100;19.562;15.538;62.937;44.268;0.545;16.046;33.841;0.508;0.032;0;0;0;0;0;0;0;0
3;1;1;1;2420.940755;2420.941288;2420.958837;780200;780200;780200;9753;9753;12483200;12483240;100.000;1062.465;1062.465;2995.978;3365.802;2995.978;17.534;1.397;11.441;6.309;3.106;35.332;17.783;17.549;65.196;49.670;0.533;18.045;33.321;0.013;0.031;0;0;0;0;0;0;0;0
4;1;1;1;2420.974089;2420.974726;2420.991238;778467;778467;778467;9731;9731;12455472;12455512;100.000;1047.046;1047.046;2989.323;3358.313;2989.323;16.495;1.181;10.084;5.694;2.537;32.401;15.889;16.512;61.069;50.962;0.637;17.112;33.438;0.105;0.035;0;0;0;0;0;0;0;0
5;1;1;1;2421.007423;2421.008025;2421.022857;776427;776427;776427;9706;9706;12422832;12422872;100.000;1247.516;1247.516;2981.489;3349.531;2981.489;14.815;0.985;9.840;5.955;2.393;31.618;16.787;14.832;66.341;46.909;0.602;15.397;33.299;0.034;0.035;0;0;0;0;0;0;0;0
6;1;1;1;2421.040755;2421.041279;2421.054876;774893;774893;774893;9687;9687;12398288;12398328;100.000;1365.964;1365.964;2975.599;3342.920;2975.599;13.581;1.075;9.519;5.576;2.391;32.019;18.422;13.597;70.007;42.465;0.524;14.083;33.254;0.079;0.038;0;0;0;0;0;0;0;0
7;1;1;1;2421.074089;2421.074619;2421.088155;775949;775949;775949;9700;9700;12415184;12415224;100.000;1365.499;1365.499;2979.654;3347.468;2979.654;13.520;0.839;9.304;5.546;2.436;33.279;19.743;13.536;68.737;40.675;0.530;14.029;33.340;0.007;0.036;0;0;0;0;0;0;0;0
8;1;1;1;2421.107422;2421.108026;2421.123636;775463;775463;775463;9694;9694;12407408;12407448;100.000;1129.024;1129.024;2977.788;3345.374;2977.788;15.583;1.201;9.957;5.699;2.492;35.481;19.870;15.611;63.785;43.998;0.603;16.177;33.407;0.073;0.038;0;0;0;0;0;0;0;0
9;1;1;1;2421.140755;2421.141324;2421.156354;775698;775698;775698;9697;9697;12411168;12411208;100.000;1230.097;1230.097;2978.690;3346.391;2978.690;15.014;0.965;9.883;5.828;2.527;32.718;17.687;15.030;65.756;45.940;0.568;15.562;33.298;0.035;0.038;0;0;0;0;0;0;0;0
10;1;1;1;2421.174088;2421.174593;2421.188023;778020;778020;778020;9726;9726;12448320;12448360;100.000;1383.654;1383.654;2987.606;3356.407;2987.606;13.414;0.820;9.257;5.553;2.416;31.669;18.239;13.430;68.932;42.407;0.505;13.897;33.269;0.064;0.040;0;0;0;0;0;0;0;0
11;1;1;1;2421.207422;2421.208241;2421.222464;778554;778554;778554;9732;9732;12456864;12456904;100.000;1299.546;1299.546;2989.657;3358.685;2989.657;14.207;1.194;9.864;5.692;2.493;34.441;20.218;14.223;69.349;41.298;0.819;15.005;33.648;0.314;0.057;0;0;0;0;0;0;0;0
12;1;1;1;2421.240755;2421.241373;2421.258580;779986;779986;779986;9750;9750;12479776;12479816;100.000;1046.307;1046.307;2995.156;3364.866;2995.156;17.191;1.129;10.570;5.883;2.881;36.116;18.908;17.208;61.423;47.646;0.617;17.788;33.132;0.202;0.066;0;0;0;0;0;0;0;0
13;1;1;1;2421.274088;2421.274616;2421.288513;780926;780926;780926;9762;9762;12494816;12494856;100.000;1320.635;1320.635;2998.765;3368.931;2998.765;13.881;0.912;9.401;5.583;2.416;29.933;16.036;13.897;67.648;46.428;0.528;14.387;33.243;0.090;0.067;0;0;0;0;0;0;0;0
14;1;1;1;2421.307422;2421.307946;2421.322375;782770;782770;782770;9785;9785;12524320;12524360;100.000;1288.833;1288.833;3005.846;3376.884;3005.846;14.413;1.218;9.991;5.713;2.561;33.862;19.433;14.429;69.243;42.612;0.524;14.916;33.330;0.003;0.063;0;0;0;0;0;0;0;0
15;1;1;1;2421.340755;2421.341381;2421.357405;784474;784474;784474;9806;9806;12551584;12551624;100.000;1168.331;1168.331;3012.390;3384.224;3012.390;16.007;1.100;10.433;5.941;2.789;35.030;19.006;16.024;65.109;45.744;0.625;16.613;33.435;0.102;0.066;0;0;0;0;0;0;0;0
16;1;1;1;2421.374088;2421.374631;2421.388984;785193;785193;785193;9815;9815;12563088;12563128;100.000;1317.767;1317.767;3015.151;3387.326;3015.151;14.336;0.920;9.825;5.951;2.441;31.579;17.226;14.353;68.450;45.452;0.543;14.859;33.250;0.083;0.067;0;0;0;0;0;0;0;0
17;1;1;1;2421.407422;2421.408059;2421.425830;782720;782720;782720;9784;9784;12523520;12523560;100.000;1126.082;1126.082;3005.654;3376.654;3005.654;17.755;1.433;12.252;7.722;2.513;36.845;19.074;17.771;68.940;48.232;0.636;18.371;33.428;0.094;0.069;0;0;0;0;0;0;0;0
18;1;1;1;2421.440755;2421.441467;2421.457164;781613;781613;781613;9771;9771;12505808;12505848;100.000;1190.139;1190.139;3001.404;3371.910;3001.404;15.680;0.979;10.234;5.857;2.822;31.334;15.637;15.697;65.199;50.096;0.712;16.371;33.408;0.075;0.069;0;0;0;0;0;0;0;0
19;1;1;1;2421.474088;2421.474646;2421.489481;780006;780006;780006;9751;9751;12480096;12480136;100.000;1234.356;1234.356;2995.233;3364.981;2995.233;14.819;1.286;10.092;5.809;2.477;32.317;17.482;14.835;68.029;45.905;0.558;15.355;33.179;0.155;0.074;0;0;0;0;0;0;0;0
20;1;1;1;2421.507422;2421.508039;2421.523050;780302;780302;780302;9754;9754;12484832;12484872;100.000;1282.855;1282.855;2996.369;3366.231;2996.369;14.994;1.057;10.410;6.328;2.507;33.569;18.559;15.011;69.349;44.716;0.618;15.591;33.394;0.060;0.073;0;0;0;0;0;0;0;0
