frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2420.874088;2421.071488;2421.072675;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1973.735;1973.735;561.874;606.635;561.874;1.184;0.450;0.490;1.187;0.000;1.187;41.250;100.000;197.400;1.187;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2420.907422;2421.110502;2421.112830;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;992.164;992.164;553.671;597.796;553.671;2.325;0.746;0.786;40.155;37.827;2.329;33.746;5.799;203.079;8.009;39.014;5.681;0.355;0;0;0;0;0;0;0;0
3;1;1;1;2420.940755;2421.142628;2421.145146;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;902.179;902.179;544.348;587.714;544.348;2.516;0.639;0.678;32.316;29.797;2.519;26.905;7.794;201.873;6.992;32.126;1.207;0.408;0;0;0;0;0;0;0;0
4;1;1;1;2420.974089;2421.170665;2421.171580;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;2447.809;2447.809;535.424;578.080;535.424;0.911;0.404;0.441;26.433;25.519;0.914;48.243;3.459;196.576;0.092;28.038;5.296;0.714;0;0;0;0;0;0;0;0
5;1;1;1;2421.007423;2421.207160;2421.208224;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;2084.882;2084.882;529.172;571.339;529.172;1.061;0.443;0.480;36.645;35.580;1.064;45.059;2.904;199.737;3.403;36.495;3.161;0.867;0;0;0;0;0;0;0;0
6;1;1;1;2421.040755;2421.248003;2421.250322;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;949.777;949.777;526.976;568.971;526.976;2.314;0.640;0.679;42.098;39.779;2.319;29.299;5.508;207.248;12.168;40.843;7.510;1.282;0;0;0;0;0;0;0;0
7;1;1;1;2421.074089;2421.271443;2421.272458;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;2182.358;2182.358;528.358;570.451;528.358;1.011;0.387;0.424;22.135;21.121;1.015;41.778;4.584;197.354;0.970;23.440;9.894;1.820;0;0;0;0;0;0;0;0
8;1;1;1;2421.107422;2421.306146;2421.307072;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;2393.605;2393.605;528.957;571.099;528.957;0.915;0.419;0.455;34.615;33.689;0.926;49.176;2.676;198.724;2.251;34.703;1.370;1.792;0;0;0;0;0;0;0;0
9;1;1;1;2421.140755;2421.342502;2421.345160;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;834.173;834.173;530.025;572.265;530.025;2.654;0.773;0.812;38.087;35.430;2.657;30.565;6.977;201.747;7.005;36.356;3.023;1.869;0;0;0;0;0;0;0;0
10;1;1;1;2421.174088;2421.371026;2421.371972;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;2340.607;2340.607;531.000;573.313;531.000;0.942;0.469;0.509;26.812;25.866;0.946;53.779;3.529;196.937;0.484;28.523;4.810;2.053;0;0;0;0;0;0;0;0
11;1;1;1;2421.207422;2421.409804;2421.412099;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;971.190;971.190;534.210;576.768;534.210;2.293;0.714;0.753;40.128;37.832;2.296;32.795;5.721;202.381;7.278;38.778;5.445;2.265;0;0;0;0;0;0;0;0
12;1;1;1;2421.240755;2421.440186;2421.441525;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1690.557;1690.557;539.517;582.516;539.517;1.336;0.432;0.470;29.426;28.087;1.339;35.106;4.551;199.431;3.371;30.383;2.951;2.308;0;0;0;0;0;0;0;0
13;1;1;1;2421.274088;2421.469948;2421.470914;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;2380.114;2380.114;548.626;592.334;548.626;0.963;0.509;0.548;29.389;28.422;0.966;56.690;3.289;195.859;-0.574;29.761;3.572;2.387;0;0;0;0;0;0;0;0
14;1;1;1;2421.307422;2421.506592;2421.507941;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;1725.824;1725.824;556.536;600.881;556.536;1.344;0.428;0.469;37.027;35.678;1.349;34.769;3.642;199.171;3.120;36.645;3.312;2.444;0;0;0;0;0;0;0;0
15;1;1;1;2421.340755;2421.540228;2421.541326;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;2128.045;2128.045;560.821;605.509;560.821;1.095;0.451;0.494;33.385;32.287;1.099;44.979;3.291;199.472;3.172;33.635;0.302;2.311;0;0;0;0;0;0;0;0
16;1;1;1;2421.374088;2421.570652;2421.572019;785193;145822;145822;0;0;1823;1823;2333152;2333204;100.000;1714.466;1714.466;559.969;604.584;559.969;1.363;0.459;0.498;30.693;29.326;1.367;36.473;4.453;196.564;0.531;30.425;2.909;2.348;0;0;0;0;0;0;0;0
17;1;1;1;2421.407422;2421.605113;2421.606229;782720;144126;144126;0;0;1802;1802;2306016;2306068;100.000;2070.239;2070.239;553.456;597.557;553.456;1.112;0.400;0.439;34.210;33.094;1.116;39.349;3.263;197.691;1.408;34.461;1.127;2.272;0;0;0;0;0;0;0;0
18;1;1;1;2421.440755;2421.639905;2421.641112;781613;141930;141930;0;0;1775;1775;2270880;2270932;100.000;1886.633;1886.633;545.024;588.463;545.024;1.203;0.429;0.472;34.883;33.676;1.207;39.157;3.459;199.150;2.958;34.792;1.459;2.221;0;0;0;0;0;0;0;0
19;1;1;1;2421.474088;2421.668224;2421.669529;780006;139740;139740;0;0;1747;1747;2235840;2235892;100.000;1718.411;1718.411;536.614;579.368;536.614;1.301;0.397;0.436;28.417;27.112;1.305;33.384;4.593;194.135;-1.959;28.318;5.015;2.395;0;0;0;0;0;0;0;0
20;1;1;1;2421.507422;2421.706550;2421.707559;780302;138346;138346;0;0;1730;1730;2213536;2213588;100.000;2194.332;2194.332;531.261;573.599;531.261;1.006;0.437;0.476;38.030;37.021;1.009;47.133;2.654;199.128;2.738;38.326;4.993;2.558;0;0;0;0;0;0;0;0
21;1;1;1;2421.540756;2421.738768;2421.740061;779066;137844;137844;0;0;1724;1724;2205504;2205556;100.000;1711.957;1711.957;529.333;571.524;529.333;1.290;0.384;0.421;32.502;31.209;1.294;32.540;3.980;198.012;1.907;32.218;1.115;2.468;0;0;0;0;0;0;0;0
