frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2420.874088;2420.934540;2420.976225;784142;0;0;141940;141940;108;108;141940;142028;100.000;3.410;3.410;34.087;37.435;34.087;41.677;0.024;0.028;41.685;0.000;41.685;0.066;100.000;60.452;41.685;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2420.907422;2420.976302;2421.013611;783406;0;0;28764;28764;22;22;28764;28852;100.000;0.773;0.773;6.924;7.590;6.924;37.305;0.014;0.016;37.386;0.077;37.309;0.042;99.793;68.880;45.738;41.763;8.429;0.527;0;0;0;0;0;0;0;0
3;1;1;1;2420.940755;2421.013640;2421.046109;780200;0;0;23124;23124;18;18;23124;23212;100.000;0.715;0.715;5.571;6.111;5.571;32.465;0.009;0.010;32.498;0.029;32.469;0.032;99.912;72.885;44.902;37.337;4.004;0.744;0;0;0;0;0;0;0;0
4;1;1;1;2420.974089;2421.046176;2421.084159;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.596;0.596;5.436;5.976;5.436;37.953;0.007;0.008;38.050;0.068;37.982;0.021;99.822;72.087;49.619;32.537;0.797;0.747;0;0;0;0;0;0;0;0
5;1;1;1;2421.007423;2421.084187;2421.117251;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.674;0.674;5.345;5.855;5.345;33.062;0.005;0.006;33.093;0.028;33.064;0.019;99.914;76.764;49.378;38.011;4.677;0.993;0;0;0;0;0;0;0;0
6;1;1;1;2421.040755;2421.117309;2421.145397;774893;0;0;24628;24628;19;19;24628;24716;100.000;0.882;0.882;5.932;6.504;5.932;28.085;0.008;0.009;28.146;0.058;28.088;0.032;99.794;76.554;44.191;33.122;0.211;0.944;0;0;0;0;0;0;0;0
7;1;1;1;2421.074089;2421.145396;2421.145962;775949;0;0;25004;25004;19;19;25004;25092;100.000;6819.568;6819.568;6.022;6.594;6.022;0.009;0.009;0.009;0.564;0.000;0.566;1.628;100.291;71.307;11.422;28.087;5.247;1.213;0;0;0;0;0;0;0;0
8;1;1;1;2421.107422;2421.182444;2421.216448;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.782;0.782;6.383;7.017;6.383;34.001;0.007;0.008;70.487;36.482;34.004;0.023;48.242;75.022;48.576;37.048;3.715;1.369;0;0;0;0;0;0;0;0
9;1;1;1;2421.140755;2421.216482;2421.243707;775698;0;0;26132;26132;20;20;26132;26220;100.000;0.963;0.963;6.293;6.896;6.293;27.223;0.010;0.012;27.259;0.033;27.226;0.044;99.879;75.726;42.501;34.037;0.704;1.328;0;0;0;0;0;0;0;0
10;1;1;1;2421.174088;2421.243778;2421.282440;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.659;0.659;6.112;6.715;6.112;38.586;0.013;0.014;38.732;0.071;38.661;0.036;99.817;69.690;47.900;27.297;6.036;1.622;0;0;0;0;0;0;0;0
