frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2420.874088;2420.874163;2420.888411;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;880.687;880.687;3011.115;3354.567;3011.115;14.236;2.793;3.004;14.248;0.000;14.248;21.084;100.000;0.075;14.248;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2420.907422;2420.907993;2420.923508;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;808.004;808.004;3008.289;3351.426;3008.289;15.511;3.032;3.234;35.097;19.582;15.514;20.843;44.205;0.571;16.011;33.830;0.497;0.031;0;0;0;0;0;0;0;0
3;1;1;1;2420.940755;2420.941311;2420.958870;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;711.497;711.497;2995.978;3337.713;2995.978;17.556;4.367;4.660;35.362;17.804;17.559;26.537;49.654;0.556;18.041;33.318;0.015;0.030;0;0;0;0;0;0;0;0
4;1;1;1;2420.974089;2420.974761;2420.991247;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;755.684;755.684;2989.323;3330.288;2989.323;16.481;5.089;5.392;32.377;15.891;16.486;32.705;50.919;0.672;17.084;33.450;0.117;0.035;0;0;0;0;0;0;0;0
5;1;1;1;2421.007423;2421.008061;2421.022882;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;838.785;838.785;2981.489;3321.578;2981.489;14.814;3.506;3.751;31.634;16.814;14.821;25.312;46.850;0.638;15.386;33.300;0.033;0.035;0;0;0;0;0;0;0;0
6;1;1;1;2421.040755;2421.041307;2421.054903;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;912.528;912.528;2975.599;3315.022;2975.599;13.593;2.687;2.890;32.022;18.425;13.597;21.252;42.461;0.552;14.074;33.246;0.088;0.039;0;0;0;0;0;0;0;0
7;1;1;1;2421.074089;2421.074644;2421.088162;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;918.592;918.592;2979.654;3319.532;2979.654;13.515;3.596;3.937;33.259;19.741;13.518;29.122;40.645;0.556;13.999;33.337;0.004;0.036;0;0;0;0;0;0;0;0
8;1;1;1;2421.107422;2421.108073;2421.123658;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;796.576;796.576;2977.788;3317.456;2977.788;15.580;3.331;3.542;35.495;19.910;15.585;22.727;43.907;0.650;16.161;33.428;0.095;0.040;0;0;0;0;0;0;0;0
9;1;1;1;2421.140755;2421.141358;2421.156363;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;827.391;827.391;2978.690;3318.463;2978.690;15.001;3.046;3.244;32.705;17.701;15.004;21.620;45.878;0.603;15.533;33.286;0.048;0.041;0;0;0;0;0;0;0;0
10;1;1;1;2421.174088;2421.174617;2421.188041;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;927.869;927.869;2987.606;3328.396;2987.606;13.422;2.722;2.922;31.678;18.254;13.424;21.769;42.376;0.529;13.878;33.259;0.075;0.043;0;0;0;0;0;0;0;0
11;1;1;1;2421.207422;2421.208263;2421.222472;778554;778554;778554;0;0;9732;9732;12456864;12456904;100.000;876.862;876.862;2989.657;3330.657;2989.657;14.206;2.810;3.010;34.431;20.222;14.209;21.185;41.268;0.841;14.975;33.646;0.312;0.060;0;0;0;0;0;0;0;0
12;1;1;1;2421.240755;2421.241409;2421.258611;779986;779986;779986;0;0;9750;9750;12479776;12479816;100.000;725.955;725.955;2995.156;3336.786;2995.156;17.195;4.497;4.745;36.139;18.937;17.202;27.582;47.600;0.653;17.781;33.146;0.188;0.068;0;0;0;0;0;0;0;0
13;1;1;1;2421.274088;2421.274641;2421.288518;780926;780926;780926;0;0;9762;9762;12494816;12494856;100.000;900.516;900.516;2998.765;3340.816;2998.765;13.874;2.909;3.112;29.907;16.030;13.877;22.425;46.401;0.553;14.355;33.232;0.101;0.070;0;0;0;0;0;0;0;0
14;1;1;1;2421.307422;2421.307970;2421.322396;782770;782770;782770;0;0;9785;9785;12524320;12524360;100.000;868.719;868.719;3005.846;3348.703;3005.846;14.424;2.790;3.001;33.878;19.451;14.427;20.798;42.585;0.548;14.900;33.329;0.005;0.066;0;0;0;0;0;0;0;0
15;1;1;1;2421.340755;2421.341419;2421.357428;784474;784474;784474;0;0;9806;9806;12551584;12551624;100.000;784.476;784.476;3012.390;3355.982;3012.390;16.005;3.332;3.538;35.032;19.022;16.010;22.097;45.700;0.663;16.599;33.449;0.116;0.069;0;0;0;0;0;0;0;0
16;1;1;1;2421.374088;2421.374657;2421.389021;785193;785193;785193;0;0;9815;9815;12563088;12563128;100.000;875.653;875.653;3015.151;3359.059;3015.151;14.353;2.927;3.132;31.593;17.228;14.364;21.806;45.467;0.568;14.858;33.238;0.095;0.070;0;0;0;0;0;0;0;0
17;1;1;1;2421.407422;2421.408093;2421.425887;782720;782720;782720;0;0;9784;9784;12523520;12523560;100.000;704.872;704.872;3005.654;3348.476;3005.654;17.789;3.243;3.446;36.866;19.072;17.794;19.368;48.267;0.671;18.390;33.436;0.102;0.072;0;0;0;0;0;0;0;0
18;1;1;1;2421.440755;2421.441497;2421.457185;781613;781613;781613;0;0;9771;9771;12505808;12505848;100.000;797.573;797.573;3001.404;3343.770;3001.404;15.685;3.636;3.859;31.298;15.610;15.688;24.601;50.125;0.742;16.355;33.404;0.071;0.072;0;0;0;0;0;0;0;0
19;1;1;1;2421.474088;2421.474673;2421.489509;780006;780006;780006;0;0;9751;9751;12480096;12480136;100.000;841.868;841.868;2995.233;3336.898;2995.233;14.832;3.176;3.417;32.324;17.489;14.835;23.032;45.896;0.585;15.346;33.177;0.157;0.078;0;0;0;0;0;0;0;0
20;1;1;1;2421.507422;2421.508067;2421.523109;780302;780302;780302;0;0;9754;9754;12484832;12484872;100.000;831.475;831.475;2996.369;3338.140;2996.369;15.039;2.962;3.170;33.601;18.559;15.042;21.073;44.767;0.646;15.613;33.394;0.061;0.076;0;0;0;0;0;0;0;0
21;1;1;1;2421.540756;2421.541491;2421.558216;779066;779066;779066;0;0;9739;9739;12465056;12465096;100.000;745.687;745.687;2991.623;3332.868;2991.623;16.722;3.960;4.190;35.107;18.382;16.725;25.052;47.641;0.735;17.387;33.424;0.091;0.077;0;0;0;0;0;0;0;0
22;1;1;1;2421.574088;2421.574662;2421.589287;778280;778280;778280;0;0;9729;9729;12452480;12452520;100.000;851.731;851.731;2988.605;3329.499;2988.605;14.622;2.833;3.036;31.071;16.445;14.625;20.760;47.071;0.574;15.124;33.171;0.163;0.083;0;0;0;0;0;0;0;0
23;1;1;1;2421.607422;2421.608017;2421.625014;778907;778907;778907;0;0;9737;9737;12462512;12462552;100.000;733.600;733.600;2991.012;3332.187;2991.012;16.993;3.061;3.271;35.727;18.730;16.997;19.246;47.574;0.596;17.518;33.356;0.022;0.079;0;0;0;0;0;0;0;0
24;1;1;1;2421.640755;2421.641412;2421.657961;779289;779289;779289;0;0;9742;9742;12468624;12468664;100.000;753.818;753.818;2992.479;3333.829;2992.479;16.546;4.088;4.332;32.946;16.398;16.549;26.174;50.230;0.657;17.131;33.394;0.061;0.078;0;0;0;0;0;0;0;0
25;1;1;1;2421.674088;2421.674660;2421.689945;779739;779739;779739;0;0;9747;9747;12475824;12475864;100.000;816.827;816.827;2994.207;3335.733;2994.207;15.282;2.977;3.182;31.985;16.700;15.285;20.816;47.788;0.572;15.782;33.249;0.085;0.078;0;0;0;0;0;0;0;0
26;1;1;1;2421.707422;2421.708032;2421.724384;779364;779364;779364;0;0;9743;9743;12469824;12469864;100.000;763.156;763.156;2992.767;3334.152;2992.767;16.349;3.063;3.274;34.438;18.086;16.352;20.025;47.482;0.609;16.887;33.371;0.038;0.076;0;0;0;0;0;0;0;0
27;1;1;1;2421.740755;2421.741333;2421.758251;780025;780025;780025;0;0;9751;9751;12480400;12480440;100.000;738.256;738.256;2995.306;3336.971;2995.306;16.916;4.004;4.236;33.867;16.949;16.918;25.037;49.955;0.577;17.422;33.301;0.032;0.073;0;0;0;0;0;0;0;0
28;1;1;1;2421.774089;2421.774695;2421.789430;780373;780373;780373;0;0;9755;9755;12485968;12486008;100.000;848.120;848.120;2996.642;3338.448;2996.642;14.732;3.052;3.260;31.179;16.444;14.735;22.123;47.259;0.606;15.267;33.362;0.029;0.070;0;0;0;0;0;0;0;0
29;1;1;1;2421.807422;2421.808020;2421.824597;781651;781651;781651;0;0;9771;9771;12506416;12506456;100.000;754.876;754.876;3001.549;3343.916;3001.549;16.574;2.959;3.180;35.167;18.590;16.578;19.184;47.139;0.597;17.101;33.325;0.009;0.066;0;0;0;0;0;0;0;0
30;1;1;1;2421.840755;2421.841449;2421.858588;781375;781375;781375;0;0;9768;9768;12502000;12502040;100.000;729.620;729.620;3000.490;3342.751;3000.490;17.135;4.212;4.450;33.991;16.851;17.139;25.961;50.423;0.693;17.758;33.429;0.096;0.068;0;0;0;0;0;0;0;0
31;1;1;1;2421.874089;2421.874708;2421.889172;784392;784392;784392;0;0;9805;9805;12550272;12550312;100.000;867.882;867.882;3012.075;3355.632;3012.075;14.459;3.101;3.302;30.585;16.120;14.464;22.827;47.292;0.619;15.010;33.260;0.074;0.069;0;0;0;0;0;0;0;0
32;1;1;1;2421.907422;2421.908084;2421.928822;782671;782671;782671;0;0;9784;9784;12522736;12522776;100.000;604.505;604.505;3005.466;3348.288;3005.466;20.721;4.298;4.543;39.649;18.912;20.738;21.906;52.302;0.662;21.326;33.376;0.043;0.067;0;0;0;0;0;0;0;0
