frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2420.874088;2421.071515;2421.072690;784142;146318;146318;1829;1829;2341088;2341140;100.000;1994.966;1994.966;561.874;603.123;561.874;1.171;0.554;0.604;1.175;0.000;1.175;51.441;100.000;197.427;1.175;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2420.907422;2421.110526;2421.112837;783406;144182;144182;1803;1803;2306912;2306964;100.000;1000.515;1000.515;553.671;594.335;553.671;2.304;1.194;1.239;40.147;37.836;2.311;53.594;5.756;203.104;7.989;39.011;5.678;0.355;0;0;0;0;0;0;0;0
3;1;1;1;2420.940755;2421.142653;2421.145156;780200;141754;141754;1772;1772;2268064;2268116;100.000;908.761;908.761;544.348;584.312;544.348;2.499;1.116;1.159;32.319;29.816;2.503;46.300;7.744;201.898;6.974;32.127;1.206;0.408;0;0;0;0;0;0;0;0
4;1;1;1;2420.974089;2421.170680;2421.171594;778467;139430;139430;1743;1743;2230880;2230932;100.000;2451.482;2451.482;535.424;574.733;535.424;0.910;0.555;0.602;26.439;25.525;0.914;65.880;3.458;196.591;0.080;28.027;5.306;0.714;0;0;0;0;0;0;0;0
5;1;1;1;2421.007423;2421.207176;2421.208240;776427;137802;137802;1723;1723;2204832;2204884;100.000;2095.241;2095.241;529.172;568.031;529.172;1.060;0.571;0.619;36.645;35.581;1.064;58.133;2.905;199.753;3.392;36.495;3.162;0.867;0;0;0;0;0;0;0;0
6;1;1;1;2421.040755;2421.267508;2421.268764;774893;137230;137230;1716;1716;2195680;2195732;100.000;1763.447;1763.447;526.976;565.676;526.976;1.244;0.921;0.968;60.524;59.268;1.256;77.043;2.075;226.753;30.582;60.332;26.999;2.500;0;0;0;0;0;0;0;0
7;1;1;1;2421.074089;2421.271456;2421.272468;775949;137590;137590;1720;1720;2201440;2201492;100.000;2188.898;2188.898;528.358;567.149;528.358;1.008;0.477;0.524;3.704;2.692;1.012;51.822;27.320;197.367;0.953;3.948;29.385;4.181;0;0;0;0;0;0;0;0
8;1;1;1;2421.107422;2421.306171;2421.307085;775463;137746;137746;1722;1722;2203936;2203988;100.000;2429.755;2429.755;528.957;567.793;528.957;0.910;0.551;0.597;34.617;33.703;0.914;65.326;2.641;198.748;2.237;34.715;1.382;4.006;0;0;0;0;0;0;0;0
9;1;1;1;2421.140755;2421.342530;2421.367077;775698;138024;138024;1726;1726;2208384;2208436;100.000;90.031;90.031;530.025;568.951;530.025;24.523;1.274;1.319;59.992;35.445;24.547;5.372;40.917;201.775;28.895;36.359;3.026;3.945;0;0;0;0;0;0;0;0
10;1;1;1;2421.174088;2421.371043;2421.371982;778020;138278;138278;1729;1729;2212448;2212500;100.000;2356.624;2356.624;531.000;569.994;531.000;0.934;0.587;0.635;4.905;3.966;0.939;67.613;19.147;196.955;0.467;28.513;4.820;3.999;0;0;0;0;0;0;0;0
