frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2420.874088;2421.071551;2421.072708;784142;178911;159140;146318;146318;1829;2341088;100.000;2024.831;561.874;603.123;22.816;88.949;18.660;0.000;162.470;0.661;1.157;57.105;197.463;198.620;198.619;1.157;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2420.907422;2421.113195;2421.121800;783406;169393;156499;144182;144182;1803;2306912;100.000;268.140;553.671;594.335;21.623;92.388;18.405;0.000;0.000;1.392;8.604;16.179;205.773;214.378;214.377;16.916;41.645;8.311;0.519;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2420.940755;2421.152273;2421.157435;780200;164369;153953;141754;141754;1772;2268064;100.000;439.691;544.348;584.312;21.068;93.663;18.169;0.000;0.000;4.481;5.162;86.802;211.518;216.680;216.676;19.217;39.077;5.744;0.846;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;2420.974089;2421.180343;2421.182055;778467;160176;150044;139430;139430;1743;2230880;100.000;1304.472;535.424;574.733;20.576;93.674;17.911;0.000;0.000;1.139;1.712;66.507;206.254;207.966;207.964;10.504;28.070;5.263;1.122;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2421.007423;2421.209428;2421.218040;776427;157416;147596;137802;137802;1723;2204832;100.000;256.040;529.172;568.031;20.274;93.762;17.748;0.000;112.997;7.936;8.612;92.143;202.005;210.617;210.617;13.156;29.085;4.248;1.317;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2421.040755;2421.275564;2421.280533;774893;155704;146684;137230;137230;1716;2195680;100.000;442.013;526.976;565.676;20.094;94.207;17.710;0.000;0.000;1.272;4.968;25.597;234.809;239.777;239.777;42.315;66.137;32.803;3.285;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2421.074089;2421.280715;2421.288866;775949;155769;147285;137590;137590;1720;2201440;100.000;270.134;528.358;567.149;20.075;94.553;17.732;0.000;0.000;1.069;8.151;13.110;206.626;214.777;214.776;17.315;5.150;28.183;4.841;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2421.107422;2421.316534;2421.323170;775463;154945;147291;137746;137746;1722;2203936;100.000;332.354;528.957;567.793;19.981;95.060;17.763;0.001;78.428;4.284;6.635;64.565;209.112;215.747;215.743;18.286;35.820;2.486;4.694;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2421.140755;2421.342713;2421.372762;775698;154624;147515;138024;138024;1726;2208384;100.000;73.497;530.025;568.951;19.934;95.402;17.794;0.000;0.000;1.118;30.049;3.722;201.958;232.006;232.006;34.544;26.179;7.155;4.848;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;2421.174088;2421.372909;2421.378527;778020;153992;146840;138278;138278;1729;2212448;100.000;393.908;531.000;569.994;19.793;95.356;17.773;0.000;104.005;5.122;5.618;91.174;198.821;204.439;204.438;6.976;30.196;3.137;4.741;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2421.207422;2421.419506;2421.420893;778554;154581;147771;139114;139114;1739;2225824;100.000;1606.306;534.210;573.430;19.855;95.595;17.868;0.000;0.000;0.884;1.387;63.729;212.084;213.470;213.469;16.009;46.597;13.263;5.274;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2421.240755;2421.447970;2421.449802;779986;155588;149026;140496;140496;1757;2247936;100.000;1227.939;539.517;579.143;19.948;95.782;18.013;0.000;0.000;1.202;1.832;65.593;207.215;209.047;209.046;11.585;28.464;4.869;5.248;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;0.000000;0.000000;1.000000;2421.274088;2421.473612;2421.478377;780926;157785;151108;142868;142868;1786;2285888;100.000;479.875;548.626;588.905;20.205;95.768;18.295;0.000;74.207;4.186;4.765;87.856;199.524;204.289;204.288;6.827;25.642;7.691;5.401;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.000000;0.000000;1.000000;2421.307422;2421.511102;2421.516094;782770;159421;153009;144928;144928;1812;2318848;100.000;464.562;556.536;597.402;20.366;95.978;18.515;0.000;0.000;4.278;4.993;85.681;203.680;208.673;208.672;11.210;37.490;4.156;5.323;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.000000;0.000000;1.000000;2421.340755;2421.546179;2421.552350;784474;159965;153314;146044;146044;1826;2336704;100.000;378.773;560.821;602.004;20.391;95.842;18.617;0.000;77.330;2.130;6.171;34.527;205.424;211.594;211.593;14.132;35.077;1.744;5.100;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.000000;0.000000;1.000000;2421.374088;2421.570688;2421.572049;785193;177968;156948;145822;145822;1823;2333152;100.000;1714.573;559.969;601.083;22.666;88.189;18.571;0.000;0.000;1.003;1.361;73.685;196.600;197.961;197.960;0.499;24.509;8.825;5.332;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.000000;0.000000;1.000000;2421.407422;2421.607304;2421.612204;782720;169127;155796;144126;144126;1802;2306016;100.000;470.692;553.456;594.097;21.608;92.118;18.413;0.000;87.339;4.305;4.900;87.850;199.882;204.782;204.781;7.320;36.616;3.282;5.204;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.000000;0.000000;1.000000;2421.440755;2421.643426;2421.672181;781613;164376;152343;141930;141930;1775;2270880;100.000;78.978;545.024;585.055;21.030;92.680;18.159;0.000;0.000;1.214;28.754;4.221;202.671;231.426;231.425;33.963;36.123;2.789;5.053;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.000000;0.000000;1.000000;2421.474088;2421.672330;2421.684567;780006;160684;150225;139740;139740;1747;2235840;100.000;182.730;536.614;576.014;20.600;93.491;17.915;0.000;81.791;11.600;12.237;94.797;198.242;210.479;210.478;13.016;28.903;4.430;5.014;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.000000;0.000000;1.000000;2421.507422;2421.709566;2421.711486;780302;157894;148300;138346;138346;1730;2213536;100.000;1153.174;531.261;570.277;20.235;93.924;17.730;0.000;0.000;1.255;1.921;65.356;202.144;204.065;204.064;6.602;37.236;3.903;4.945;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.000000;0.000000;1.000000;2421.540756;2421.754513;2421.761093;779066;156303;147479;137844;137844;1724;2205504;100.000;335.214;529.333;568.214;20.063;94.355;17.693;0.000;68.864;6.013;6.580;91.383;213.757;220.337;220.336;22.875;44.947;11.614;5.362;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.000000;0.000000;1.000000;2421.574088;2421.772219;2421.774522;778280;156434;148303;138092;138092;1727;2209472;100.000;959.584;530.286;569.234;20.100;94.802;17.743;0.000;0.000;0.868;2.303;37.687;198.131;200.434;200.434;2.971;17.706;15.627;6.003;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
