frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2892.439588;2892.441813;0.000;784142;9802;12546272;12546272;2296.295;2296.295;3011.115;3204.009;3011.115;9.705;2.224;5.464;1.314;17.393;17.394;99.996;87.207;2003;0;2003;63348;0
2;1;1;1;0;0.000;2892.470944;2892.473203;31.390;783406;9793;12534496;12534496;1625.519;1625.519;3008.289;3201.005;3008.289;7.728;2.258;7.711;2.125;17.697;17.698;99.995;87.239;2207;0;2207;69570;0
3;1;1;1;0;0.000;2892.499343;2892.501367;28.164;780200;9753;12483200;12483200;2008.429;2008.429;2995.978;3187.907;2995.978;2.794;2.023;6.215;1.801;11.033;11.033;99.995;81.656;1859;0;1859;59313;0
4;1;1;1;0;0.000;2892.532596;2892.535222;33.855;778467;9731;12455472;12455472;1483.893;1483.893;2989.323;3180.819;2989.323;2.714;2.626;8.394;2.499;13.733;13.734;99.996;80.879;0;0;0;0;0
5;1;1;1;0;0.000;2892.567212;2892.569766;34.544;776427;9706;12422832;12422832;1871.415;1871.415;2981.489;3172.494;2981.489;3.996;2.553;6.638;1.889;13.187;13.188;99.996;80.637;693;0;693;21538;0
6;1;1;1;0;0.000;2892.599960;2892.602045;32.279;774893;9687;12398288;12398288;2075.006;2075.006;2975.599;3166.229;2975.599;3.411;2.085;5.975;1.817;11.470;11.471;99.996;81.824;1958;0;1958;62440;0
7;1;1;1;0;0.000;2892.633388;2892.635507;33.462;775949;9700;12415184;12415184;2133.291;2133.291;2979.654;3170.540;2979.654;3.505;2.119;5.820;1.850;11.443;11.444;99.995;81.482;1369;0;1369;42940;0
8;1;1;1;0;0.000;2892.667055;2892.669267;33.760;775463;9694;12407408;12407408;1807.733;1807.733;2977.788;3168.556;2977.788;3.838;2.211;6.864;1.946;12.912;12.913;99.994;82.875;197;0;197;6258;0
9;1;1;1;0;0.000;2892.700185;2892.702767;33.500;775698;9697;12411168;12411168;1611.980;1611.980;2978.690;3169.517;2978.690;3.634;2.581;7.699;2.112;13.915;13.916;99.992;81.443;339;0;339;9732;0
10;1;1;1;0;0.000;2892.733762;2892.736267;33.500;778020;9726;12448320;12448320;1974.066;1974.066;2987.606;3179.004;2987.606;3.877;2.504;6.306;2.120;12.687;12.688;99.991;80.257;1315;0;1315;42034;0
11;1;1;1;0;0.000;2892.767011;2892.769511;33.244;778554;9732;12456864;12456864;1844.693;1844.693;2989.657;3181.173;2989.657;3.793;2.498;6.753;1.855;13.045;13.046;99.992;80.841;713;0;713;21864;0
12;1;1;1;0;0.000;2892.799823;2892.802449;32.938;779986;9750;12479776;12479776;1645.381;1645.381;2995.156;3187.026;2995.156;3.273;2.626;7.585;2.190;13.483;13.484;99.994;80.523;498;0;498;15646;0
13;1;1;1;0;0.000;2892.833170;2892.835318;32.869;780926;9762;12494816;12494816;1675.777;1675.777;2998.765;3190.872;2998.765;3.284;2.147;7.456;2.038;12.888;12.889;99.994;83.333;855;0;855;26130;0
14;1;1;1;0;0.000;2892.867412;2892.869976;34.658;782770;9785;12524320;12524320;1540.108;1540.108;3005.846;3198.406;3005.846;4.195;2.563;8.132;2.279;14.890;14.891;99.995;82.781;0;0;0;0;0
15;1;1;1;0;0.000;2892.899745;2892.902490;32.514;784474;9806;12551584;12551584;1537.181;1537.181;3012.390;3205.362;3012.390;3.195;2.744;8.165;2.506;14.105;14.105;99.995;80.541;450;0;450;13824;0
16;1;1;1;0;0.000;2892.933568;2892.936223;33.734;785193;9815;12563088;12563088;1969.725;1969.725;3015.151;3208.300;3015.151;3.685;2.654;6.378;1.905;12.717;12.718;99.992;79.123;1237;0;1237;39359;0
17;1;1;1;0;0.000;2892.967637;2892.970216;33.993;782720;9784;12523520;12523520;1581.846;1581.846;3005.654;3198.194;3005.654;4.420;2.578;7.917;2.352;14.915;14.916;99.996;82.710;0;0;0;0;0
18;1;1;1;0;0.000;2892.999797;2893.002430;32.214;781613;9771;12505808;12505808;1518.901;1518.901;3001.404;3193.687;3001.404;3.247;2.633;8.233;2.387;14.114;14.115;99.994;81.340;384;0;384;11700;0
19;1;1;1;0;0.000;2893.033775;2893.036608;34.178;780006;9751;12480096;12480096;1995.322;1995.322;2995.233;3187.123;2995.233;3.892;2.832;6.255;1.984;12.979;12.980;99.994;78.173;1329;0;1329;42312;0
20;1;1;1;0;0.000;2893.067336;2893.070287;33.679;780302;9754;12484832;12484832;1655.411;1655.411;2996.369;3188.318;2996.369;4.120;2.950;7.542;2.099;14.612;14.612;99.995;79.806;224;0;224;7030;0
21;1;1;1;0;0.000;2893.099844;2893.102494;32.207;779066;9739;12465056;12465056;1589.255;1589.255;2991.623;3183.277;2991.623;3.295;2.649;7.843;2.162;13.787;13.788;99.993;80.782;0;0;0;0;0
22;1;1;1;0;0.000;2893.133097;2893.136150;33.657;778280;9729;12452480;12452480;1882.336;1882.336;2988.605;3180.062;2988.605;3.211;3.052;6.615;2.037;12.879;12.880;99.994;76.296;1011;0;1011;31236;0
23;1;1;1;0;0.000;2893.166444;2893.169099;32.949;778907;9737;12462512;12462512;1999.349;1999.349;2991.012;3182.627;2991.012;3.227;2.654;6.233;1.923;12.114;12.115;99.992;78.087;1310;0;1310;41207;0
24;1;1;1;0;0.000;2893.200568;2893.202956;33.857;779289;9742;12468624;12468624;1703.966;1703.966;2992.479;3184.192;2992.479;4.019;2.386;7.317;2.343;13.723;13.724;99.995;82.605;90;0;90;2340;0
25;1;1;1;0;0.000;2893.233366;2893.235550;32.594;779739;9747;12475824;12475824;1969.261;1969.261;2994.207;3186.019;2994.207;3.483;2.183;6.335;1.977;12.001;12.002;99.992;81.801;1918;0;1918;61051;0
26;1;1;1;0;0.000;2893.267215;2893.270260;34.710;779364;9743;12469824;12469824;1845.332;1845.332;2992.767;3184.500;2992.767;3.998;3.044;6.758;2.070;13.800;13.801;99.995;77.936;1315;0;1315;42080;0
27;1;1;1;0;0.000;2893.299590;2893.302304;32.044;780025;9751;12480400;12480400;1840.227;1840.227;2995.306;3187.196;2995.306;3.032;2.713;6.782;1.989;12.527;12.528;99.994;78.338;1537;0;1537;48950;0
28;1;1;1;0;0.000;2893.333230;2893.335366;33.063;780373;9755;12485968;12485968;2011.127;2011.127;2996.642;3188.611;2996.642;3.347;2.136;6.208;1.915;11.691;11.692;99.995;81.729;1312;0;1312;41864;0
29;1;1;1;0;0.000;2893.366653;2893.369145;33.779;781651;9771;12506416;12506416;2016.575;2016.575;3001.549;3193.833;3001.549;3.437;2.492;6.202;1.944;12.130;12.131;99.992;79.453;1423;0;1423;44864;0
30;1;1;1;0;0.000;2893.399639;2893.402592;33.446;781375;9768;12502000;12502000;1650.254;1650.254;3000.490;3192.714;3000.490;3.089;2.952;7.576;2.240;13.617;13.617;99.996;78.319;1705;0;1705;53624;0
31;1;1;1;0;0.000;2893.432957;2893.435068;32.476;784392;9805;12550272;12550272;1991.377;1991.377;3012.075;3205.028;3012.075;3.074;2.111;6.302;1.923;11.487;11.488;99.993;81.621;1281;0;1281;40346;0
