frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2892.439588;2892.501984;2892.632910;784142;142316;146318;109;1829;142316;154960;100.000;3.555;3.868;561.874;603.123;37.190;178911;159140;146318;0.208;0.126;0.078;2.992;1.177;0.070;33.095;31.840;130.876;130.925;129.726;25.278;24.544;1.412;0.191;0.978;62.397;193.322;130.925;0.000;0.000;0.000;0.000;0.049;0.000;52;28.925;126.684;5;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2892.470944;2892.546004;2892.683314;783406;28952;144182;22;1803;28952;31504;100.000;1246.509;1352.274;553.671;594.335;7.561;169393;156499;144182;0.208;0.124;0.071;2.214;1.057;0.063;54.571;53.443;131.440;137.311;136.231;39.742;39.229;1.524;0.191;0.097;75.059;212.370;147.997;44.019;10.686;0.668;0.000;5.870;0.000;26;51.299;128.145;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2892.499343;2892.576878;2892.708590;780200;22748;141754;18;1772;22748;24836;100.000;0.782;0.851;544.348;584.312;5.961;164369;153953;141754;0.199;0.116;0.071;2.633;2.096;0.438;28.531;26.365;131.669;131.712;129.582;21.662;20.346;1.821;0.284;0.142;77.535;209.247;139.939;30.874;2.459;0.780;0.000;0.043;0.000;12;23.802;126.903;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2892.532596;2892.606139;2892.736962;778467;22560;139430;18;1743;22560;24648;100.000;0.589;0.641;535.424;574.733;5.916;160176;150044;139430;0.198;0.116;0.071;2.075;1.542;0.408;33.107;31.494;130.770;130.823;129.256;25.307;24.366;1.415;0.188;0.088;73.543;204.365;134.977;29.261;4.072;0.986;0.000;0.053;0.000;17;29.490;127.127;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2892.567212;2892.644637;2892.772461;776427;22184;137802;17;1723;22184;24156;100.000;0.644;0.698;529.172;568.031;5.797;157416;147596;137802;0.198;0.116;0.070;2.117;2.153;0.125;39.097;36.874;127.783;127.823;125.631;30.587;29.351;1.413;0.233;0.087;77.425;205.248;137.143;38.498;5.165;1.247;0.000;0.040;0.000;16;34.827;123.472;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2892.599960;2892.679280;2892.806165;774893;24440;137230;19;1716;24440;26644;100.000;0.890;0.967;526.976;565.676;6.395;155670;146710;137230;0.197;0.115;0.071;2.280;1.813;0.280;37.977;36.094;126.063;126.885;125.039;29.930;28.866;1.541;0.264;0.093;79.320;206.205;137.514;34.642;1.309;1.251;0.000;0.822;0.000;19;33.884;121.935;2;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2892.633388;2892.709754;2892.841180;775949;24628;137590;19;1720;24628;26832;100.000;0.695;0.755;528.358;567.149;6.440;155681;147307;137590;0.200;0.115;0.071;2.752;2.525;0.785;39.103;36.507;131.391;131.426;128.865;29.753;28.330;1.982;0.259;0.126;76.366;207.792;139.195;30.474;2.859;1.351;0.000;0.035;0.000;18;33.826;126.077;2;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;2892.667055;2892.745373;2892.877605;775463;26508;137746;21;1722;26508;28944;100.000;0.780;0.849;528.957;567.793;6.947;154865;147231;137746;0.183;0.106;0.066;2.640;1.818;0.103;41.707;39.824;132.203;132.232;130.387;31.541;30.543;1.912;0.257;0.115;78.318;210.550;142.287;35.619;2.286;1.410;0.000;0.029;0.000;13;37.250;127.717;3;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;2892.700185;2892.779519;2892.911226;775698;25944;138024;20;1726;25944;28264;100.000;0.959;1.042;530.025;568.951;6.783;154536;147397;138024;0.186;0.109;0.066;2.848;1.891;0.647;38.054;36.098;131.654;131.707;129.784;28.893;27.814;2.120;0.215;0.153;79.335;211.041;142.575;34.146;0.813;1.372;0.000;0.053;0.001;16;33.315;126.866;3;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;2892.733762;2892.808681;2892.934644;778020;25380;138278;20;1729;25380;27700;100.000;0.618;0.673;531.000;569.994;6.648;154048;146829;138278;0.219;0.108;0.066;3.380;1.184;0.070;28.159;26.910;125.915;125.964;124.755;22.355;21.570;2.671;0.185;0.133;74.919;200.883;132.660;29.161;4.172;1.547;0.000;0.049;0.001;12;23.595;121.323;3;0;0;0;0;0;0;0
