frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;2892.439588;2892.441928;2892.476674;2892.541933;784142;784142;784142;9802;109;12546272;12546312;100.000;920.889;920.889;34.177;37.557;3011.115;10.550;0.000;0.000;12.121;8.021;0.012;30.692;30.692;86.380;100.005;34.746;30.691;88.333;1.746;0.913;0.500;1.395;7.568;2.340;102.345;100.005;0.000;0.000;0.000;0.000;0.012;0.967;12.143;0.364;0;1;33.192;33.193;nan;nan;nan;142316;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;2892.470944;2892.473799;2892.521326;2892.542002;783406;783406;783406;9793;22;12534496;12534536;100.000;816.027;816.027;6.970;7.635;3008.289;2.792;0.000;0.000;4.308;27.618;0.001;34.717;34.717;52.842;68.203;47.527;50.903;73.047;1.466;0.909;0.516;1.392;0.024;2.855;71.057;66.740;31.871;1.462;0.091;1.462;0.011;0.230;10.187;0.306;0;2;48.217;48.221;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;2892.499343;2892.502039;2892.557291;2892.606053;780200;780200;780200;9753;18;12483200;12483240;100.000;845.920;845.920;5.481;6.021;2995.978;2.820;0.000;0.000;5.655;34.512;0.002;42.987;42.987;89.257;104.014;55.252;41.328;77.802;2.570;0.902;0.496;1.652;0.035;2.695;106.709;97.458;28.240;5.094;0.404;5.094;0.002;0.325;9.058;0.272;0;2;54.034;54.035;nan;nan;nan;22748;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;2892.532596;2892.536089;2892.583648;2892.644558;778467;778467;778467;9731;18;12455472;12455512;100.000;764.285;764.285;5.436;5.976;2989.323;3.957;0.000;0.000;4.469;26.356;0.002;34.782;34.782;92.172;108.469;47.558;32.066;73.136;1.615;0.913;0.514;1.397;0.030;3.493;111.962;102.630;34.051;0.717;0.424;0.717;0.002;0.434;7.912;0.237;0;2;48.756;48.758;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;2892.567212;2892.570454;2892.624066;2892.679225;776427;776427;776427;9706;17;12422832;12422872;100.000;816.886;816.886;5.345;5.855;2981.489;3.244;0.000;0.000;7.618;30.127;0.001;40.989;40.989;93.563;108.771;53.612;37.684;76.455;4.686;0.904;0.513;1.476;0.038;3.242;112.013;103.964;34.365;1.032;0.462;1.032;0.003;0.655;7.630;0.229;0;2;50.614;50.616;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;2892.599960;2892.602606;2892.658552;2892.706724;774893;774893;774893;9687;19;12398288;12398328;100.000;885.686;885.686;5.887;6.458;2975.599;2.643;0.000;0.000;5.538;34.485;0.002;42.665;42.665;90.120;104.118;55.946;40.978;76.261;2.569;0.896;0.502;1.540;0.031;2.646;106.764;98.129;32.152;1.182;0.507;1.182;0.002;1.922;7.108;0.213;0;2;55.152;55.154;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;2892.633388;2892.636073;2892.687157;2892.745287;775949;775949;775949;9700;19;12415184;12415224;100.000;933.251;933.251;5.932;6.504;2979.654;2.659;0.000;0.000;4.758;28.604;0.001;36.021;36.021;95.910;109.214;51.084;32.982;70.513;1.722;0.909;0.499;1.599;0.029;2.686;111.899;103.359;33.467;0.134;0.483;0.134;0.002;4.416;6.522;0.196;0;2;48.164;48.168;nan;nan;nan;24628;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;2892.667055;2892.669965;2892.725520;2892.779450;775463;775463;775463;9694;21;12407408;12407448;100.000;811.545;811.545;6.383;7.017;2977.788;3.380;0.000;0.000;5.251;34.865;0.001;43.495;43.495;94.196;109.485;55.555;39.727;78.292;2.104;1.047;0.470;1.598;0.031;2.910;112.395;104.189;33.892;0.559;0.488;0.559;0.002;0.148;6.207;0.186;0;2;54.620;54.622;nan;nan;nan;26508;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;2892.700185;2892.703463;2892.759566;2892.806537;775698;775698;775698;9697;20;12411168;12411208;100.000;790.808;790.808;6.248;6.851;2978.690;3.322;0.000;0.000;5.807;34.045;0.001;43.174;43.174;87.378;103.073;56.103;41.887;76.955;2.842;0.824;0.468;1.617;0.056;3.279;106.352;97.942;33.498;0.165;0.468;0.165;0.003;0.552;6.109;0.183;0;2;53.925;53.926;nan;nan;nan;25944;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;2892.733762;2892.737117;2892.786173;2892.849862;778020;778020;778020;9726;20;12448320;12448360;100.000;911.912;911.912;6.112;6.715;2987.606;2.771;0.000;0.000;4.675;26.605;0.001;34.051;34.051;99.094;112.745;49.055;30.202;69.414;1.745;0.907;0.495;1.501;0.028;3.356;116.100;107.934;33.654;0.321;0.459;0.321;0.002;4.122;5.752;0.173;0;2;46.963;46.966;nan;nan;nan;25380;1;0;0;0;0;0;0
11;1;1;1;IDLE;0.000;0.000;1.000;2892.767011;2892.770154;2892.825688;2892.878648;778554;778554;778554;9732;19;12456864;12456904;100.000;851.413;851.413;5.751;6.323;2989.657;3.070;0.000;0.000;5.055;35.277;0.001;43.402;43.402;93.863;108.494;55.533;40.004;78.156;2.128;0.828;0.478;1.591;0.030;3.143;111.637;103.387;33.037;0.296;0.448;0.296;0.007;0.562;5.581;0.167;0;2;59.448;59.450;nan;nan;nan;23876;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;2892.799823;2892.803099;2892.860555;2892.906810;779986;779986;779986;9750;20;12479776;12479816;100.000;773.539;773.539;6.157;6.760;2995.156;3.368;0.000;0.000;5.931;34.866;0.003;44.165;44.165;87.577;103.711;57.455;42.585;76.869;2.789;0.827;0.471;1.808;0.035;3.277;106.987;98.215;32.945;0.389;0.445;0.389;0.003;0.521;5.670;0.170;0;2;52.957;52.958;nan;nan;nan;25568;1;0;0;0;0;0;0
