frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2892.439588;2892.441853;2892.455535;784142;784142;784142;9802;9802;12546272;12546312;100.000;1389.514;1389.514;3011.115;3382.797;3011.115;13.666;0.737;9.451;5.630;2.611;13.682;0.000;13.682;69.078;100.000;2.266;13.682;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2892.470944;2892.473747;2892.489156;783406;783406;783406;9793;9793;12534496;12534536;100.000;1162.808;1162.808;3008.289;3379.630;3008.289;15.392;1.014;9.981;5.812;2.610;33.620;18.212;15.409;64.776;45.831;2.803;13.969;31.894;1.439;0.090;0;0;0;0;0;0;0;0
3;1;1;1;2892.499343;2892.501885;2892.516750;780200;780200;780200;9753;9753;12483200;12483240;100.000;1268.590;1268.590;2995.978;3365.802;2995.978;14.849;1.351;10.325;5.722;2.753;27.594;12.730;14.865;69.461;53.869;2.542;8.230;28.138;5.195;0.409;0;0;0;0;0;0;0;0
4;1;1;1;2892.532596;2892.536016;2892.552376;778467;778467;778467;9731;9731;12455472;12455512;100.000;1058.780;1058.780;2989.323;3358.313;2989.323;16.342;1.155;9.971;5.652;2.509;35.626;19.266;16.360;60.951;45.921;3.420;10.522;34.131;0.797;0.433;0;0;0;0;0;0;0;0
5;1;1;1;2892.567212;2892.570383;2892.585634;776427;776427;776427;9706;9706;12422832;12422872;100.000;1241.444;1241.444;2981.489;3349.531;2981.489;15.235;0.977;10.256;6.303;2.472;33.258;18.007;15.251;67.248;45.856;3.171;10.447;34.367;1.034;0.471;0;0;0;0;0;0;0;0
6;1;1;1;2892.599960;2892.602558;2892.616568;774893;774893;774893;9687;9687;12398288;12398328;100.000;1353.119;1353.119;2975.599;3342.920;2975.599;13.994;1.120;9.884;5.879;2.398;30.934;16.924;14.010;70.549;45.291;2.598;8.049;32.175;1.158;0.514;0;0;0;0;0;0;0;0
7;1;1;1;2892.633388;2892.636023;2892.649369;775949;775949;775949;9700;9700;12415184;12415224;100.000;1393.150;1393.150;2979.654;3347.468;2979.654;13.325;0.787;9.241;5.556;2.413;32.801;19.455;13.346;69.239;40.688;2.636;7.516;33.465;0.132;0.490;0;0;0;0;0;0;0;0
8;1;1;1;2892.667055;2892.669885;2892.685225;775463;775463;775463;9694;9694;12407408;12407448;100.000;1175.358;1175.358;2977.788;3345.374;2977.788;15.312;0.940;9.880;5.770;2.619;35.856;20.516;15.340;64.408;42.782;2.830;10.039;33.862;0.529;0.492;0;0;0;0;0;0;0;0
9;1;1;1;2892.700185;2892.703388;2892.719146;775698;775698;775698;9697;9697;12411168;12411208;100.000;1136.085;1136.085;2978.690;3346.391;2978.690;15.740;1.416;10.285;5.866;2.401;33.921;18.163;15.758;65.269;46.454;3.204;10.626;33.503;0.170;0.472;0;0;0;0;0;0;0;0
10;1;1;1;2892.733762;2892.737075;2892.750741;778020;778020;778020;9726;9726;12448320;12448360;100.000;1345.199;1345.199;2987.606;3356.407;2987.606;13.650;0.825;9.287;5.545;2.409;31.595;17.929;13.666;67.954;43.254;3.313;8.888;33.686;0.353;0.465;0;0;0;0;0;0;0;0
11;1;1;1;2892.767011;2892.770091;2892.784776;778554;778554;778554;9732;9732;12456864;12456904;100.000;1241.138;1241.138;2989.657;3358.685;2989.657;14.668;0.870;9.631;5.713;2.493;34.035;19.350;14.685;65.580;43.147;3.080;9.589;33.016;0.317;0.456;0;0;0;0;0;0;0;0
12;1;1;1;2892.799823;2892.803041;2892.819192;779986;779986;779986;9750;9750;12479776;12479816;100.000;1135.440;1135.440;2995.156;3364.866;2995.156;16.135;1.240;10.452;6.038;2.564;34.416;18.265;16.151;64.710;46.930;3.218;10.672;32.950;0.383;0.451;0;0;0;0;0;0;0;0
13;1;1;1;2892.833170;2892.835955;2892.850911;780926;780926;780926;9762;9762;12494816;12494856;100.000;1190.340;1190.340;2998.765;3368.931;2998.765;14.937;1.052;9.616;5.587;2.435;31.718;16.763;14.955;64.298;47.150;2.785;9.057;32.915;0.419;0.449;0;0;0;0;0;0;0;0
14;1;1;1;2892.867412;2892.870623;2892.888514;782770;782770;782770;9785;9785;12524320;12524360;100.000;1073.043;1073.043;3005.846;3376.884;3005.846;17.874;1.163;11.636;7.325;2.503;37.603;19.712;17.891;65.039;47.578;3.211;13.327;34.668;1.334;0.504;0;0;0;0;0;0;0;0
15;1;1;1;2892.899745;2892.903176;2892.920266;784474;784474;784474;9806;9806;12551584;12551624;100.000;1060.347;1060.347;3012.390;3384.224;3012.390;17.072;1.514;10.878;5.951;2.807;31.752;14.663;17.089;63.657;53.821;3.431;11.746;32.553;0.780;0.522;0;0;0;0;0;0;0;0
16;1;1;1;2892.933568;2892.936768;2892.950827;785193;785193;785193;9815;9815;12563088;12563128;100.000;1309.273;1309.273;3015.151;3387.326;3015.151;14.043;0.869;9.404;5.580;2.440;30.562;16.502;14.059;66.885;46.004;3.199;8.974;33.591;0.258;0.505;0;0;0;0;0;0;0;0
17;1;1;1;2892.967637;2892.971017;2892.987372;782720;782720;782720;9784;9784;12523520;12523560;100.000;1146.196;1146.196;3005.654;3376.654;3005.654;16.338;1.236;10.842;6.455;2.504;36.545;20.190;16.355;66.292;44.752;3.380;12.185;34.250;0.916;0.531;0;0;0;0;0;0;0;0
18;1;1;1;2892.999797;2893.003062;2893.019853;781613;781613;781613;9771;9771;12505808;12505848;100.000;1091.271;1091.271;3001.404;3371.910;3001.404;16.774;1.564;11.015;6.012;2.828;32.481;15.690;16.791;65.601;51.694;3.266;11.333;32.045;1.288;0.578;0;0;0;0;0;0;0;0
19;1;1;1;2893.033775;2893.037228;2893.051157;780006;780006;780006;9751;9751;12480096;12480136;100.000;1320.257;1320.257;2995.233;3364.981;2995.233;13.914;0.950;9.478;5.595;2.433;31.304;17.375;13.929;68.044;44.497;3.453;9.304;34.165;0.832;0.594;0;0;0;0;0;0;0;0
20;1;1;1;2893.067336;2893.070973;2893.087999;780302;780302;780302;9754;9754;12484832;12484872;100.000;1133.262;1133.262;2996.369;3366.231;2996.369;17.009;1.335;11.505;7.060;2.514;36.842;19.816;17.026;67.570;46.214;3.637;12.813;33.745;0.412;0.583;0;0;0;0;0;0;0;0
21;1;1;1;2893.099844;2893.103080;2893.119622;779066;779066;779066;9739;9739;12465056;12465096;100.000;1116.663;1116.663;2991.623;3360.916;2991.623;16.524;1.114;10.595;5.992;2.857;31.622;15.081;16.541;64.052;52.309;3.236;11.102;32.107;1.226;0.623;0;0;0;0;0;0;0;0
22;1;1;1;2893.133097;2893.136799;2893.151376;778280;778280;778280;9729;9729;12452480;12452520;100.000;1265.212;1265.212;2988.605;3357.519;2988.605;14.560;1.215;9.989;5.846;2.408;31.754;17.178;14.577;68.531;45.904;3.702;9.523;33.719;0.386;0.608;0;0;0;0;0;0;0;0
23;1;1;1;2893.166444;2893.169694;2893.185219;778907;778907;778907;9737;9737;12462512;12462552;100.000;1273.132;1273.132;2991.012;3360.230;2991.012;15.509;0.974;10.773;6.802;2.478;33.843;18.318;15.525;69.393;45.874;3.250;10.032;32.894;0.439;0.597;0;0;0;0;0;0;0;0
