frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2892.439588;2892.631749;2892.632927;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1990.456;1990.456;561.874;606.635;561.874;1.174;0.566;0.607;1.177;0.000;1.177;51.538;100.000;192.162;1.177;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2892.470944;2892.682267;2892.683325;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;2184.826;2184.826;553.671;597.796;553.671;1.055;0.490;0.529;50.398;49.340;1.058;49.958;2.100;211.322;18.242;50.518;17.184;1.074;0;0;0;0;0;0;0;0
3;1;1;1;2892.499343;2892.706511;2892.709020;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;905.502;905.502;544.348;587.714;544.348;2.505;0.695;0.733;25.695;23.186;2.509;29.204;9.764;207.168;10.604;24.244;9.089;1.575;0;0;0;0;0;0;0;0
4;1;1;1;2892.532596;2892.735780;2892.736971;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;1878.433;1878.433;535.424;578.080;535.424;1.187;0.514;0.554;27.951;26.760;1.191;46.525;4.261;203.184;5.222;29.269;4.065;1.731;0;0;0;0;0;0;0;0
5;1;1;1;2892.567212;2892.770316;2892.772498;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1015.516;1015.516;529.172;571.339;529.172;2.179;0.740;0.778;35.527;33.345;2.182;35.665;6.141;203.103;7.415;34.536;1.203;1.698;0;0;0;0;0;0;0;0
6;1;1;1;2892.599960;2892.804361;2892.807160;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;786.674;786.674;526.976;568.971;526.976;2.796;0.702;0.743;34.663;31.864;2.799;26.538;8.075;204.401;8.744;34.045;0.712;1.636;0;0;0;0;0;0;0;0
7;1;1;1;2892.633388;2892.839341;2892.841399;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1074.524;1074.524;528.358;570.451;528.358;2.052;0.609;0.648;34.238;32.181;2.057;31.507;6.009;205.954;9.649;34.980;1.647;1.637;0;0;0;0;0;0;0;0
8;1;1;1;2892.667055;2892.875800;2892.878326;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;875.097;875.097;528.957;571.099;528.957;2.509;0.625;0.670;36.927;34.402;2.525;26.514;6.838;208.745;13.243;36.459;3.126;1.730;0;0;0;0;0;0;0;0
9;1;1;1;2892.700185;2892.909343;2892.911655;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;957.877;957.877;530.025;572.265;530.025;2.309;0.564;0.604;33.330;31.017;2.313;26.102;6.939;209.158;13.239;33.542;0.209;1.635;0;0;0;0;0;0;0;0
10;1;1;1;2892.733762;2892.933474;2892.934656;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1872.450;1872.450;531.000;573.313;531.000;1.178;0.511;0.549;23.001;21.819;1.182;46.472;5.139;199.713;2.907;24.132;9.202;2.108;0;0;0;0;0;0;0;0
11;1;1;1;2892.767011;2892.971086;2892.975051;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;562.000;562.000;534.210;576.768;534.210;3.960;0.885;0.956;40.395;36.430;3.965;24.111;9.815;204.075;9.969;37.612;4.279;2.243;0;0;0;0;0;0;0;0
