frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2892.439588;2892.501958;2892.542038;784142;0;0;142316;142316;109;109;142316;142404;100.000;3.561;3.561;34.177;37.557;34.177;40.067;0.034;0.038;40.080;0.000;40.080;0.094;100.000;62.371;40.080;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2892.470944;2892.542035;2892.545991;783406;0;0;28952;28952;22;22;28952;29040;100.000;3301.103;3301.103;6.970;7.635;6.970;0.016;0.016;0.017;3.952;0.000;3.956;0.428;100.095;71.090;10.699;40.076;6.743;0.421;0;0;0;0;0;0;0;0
3;1;1;1;2892.499343;2892.576865;2892.606061;780200;0;0;22748;22748;18;18;22748;22836;100.000;0.782;0.782;5.481;6.021;5.481;29.194;0.007;0.008;60.070;30.874;29.197;0.029;48.604;77.522;37.436;34.830;1.497;0.489;0;0;0;0;0;0;0;0
4;1;1;1;2892.532596;2892.606097;2892.644565;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.589;0.589;5.436;5.976;5.436;38.437;0.010;0.011;38.504;0.036;38.468;0.028;99.907;73.501;42.607;29.233;4.101;0.714;0;0;0;0;0;0;0;0
5;1;1;1;2892.567212;2892.644600;2892.679234;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.643;0.643;5.345;5.855;5.345;34.606;0.009;0.010;34.669;0.034;34.635;0.028;99.901;77.387;43.943;38.503;5.169;0.993;0;0;0;0;0;0;0;0
6;1;1;1;2892.599960;2892.679264;2892.706825;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.891;0.891;5.887;6.458;5.887;27.558;0.011;0.012;27.591;0.030;27.561;0.043;99.892;79.304;38.201;34.664;1.331;1.014;0;0;0;0;0;0;0;0
7;1;1;1;2892.633388;2892.706824;2892.745295;775949;0;0;24628;24628;19;19;24628;24716;100.000;0.642;0.642;5.932;6.504;5.932;35.556;0.012;0.013;38.470;0.000;38.472;0.033;100.004;73.436;43.337;27.560;5.774;1.311;0;0;0;0;0;0;0;0
8;1;1;1;2892.667055;2892.745333;2892.779464;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.779;0.779;6.383;7.017;6.383;34.101;0.008;0.009;34.168;0.038;34.131;0.027;99.889;78.278;44.172;38.509;5.176;1.553;0;0;0;0;0;0;0;0
9;1;1;1;2892.700185;2892.779503;2892.806650;775698;0;0;25944;25944;20;20;25944;26032;100.000;0.961;0.961;6.248;6.851;6.248;27.144;0.011;0.013;27.186;0.039;27.147;0.047;99.857;79.318;38.025;34.169;0.836;1.508;0;0;0;0;0;0;0;0
10;1;1;1;2892.733762;2892.806648;2892.849868;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.589;0.589;6.112;6.715;6.112;41.204;0.014;0.016;43.218;0.000;43.220;0.036;100.006;72.886;47.909;27.145;6.189;1.801;0;0;0;0;0;0;0;0
11;1;1;1;2892.767011;2892.849899;2892.878651;778554;0;0;23876;23876;19;19;23876;23964;100.000;0.834;0.834;5.751;6.323;5.751;28.749;0.005;0.006;28.783;0.032;28.752;0.022;99.890;82.888;43.360;43.252;9.918;2.308;0;0;0;0;0;0;0;0
12;1;1;1;2892.799823;2892.878686;2892.906824;779986;0;0;25568;25568;20;20;25568;25656;100.000;0.912;0.912;6.157;6.760;6.157;28.127;0.008;0.010;28.173;0.035;28.137;0.034;99.875;78.864;38.199;28.787;4.546;2.448;0;0;0;0;0;0;0;0
13;1;1;1;2892.833170;2892.906886;2892.945859;780926;0;0;26132;26132;20;20;26132;26220;100.000;0.673;0.673;6.293;6.896;6.293;38.928;0.010;0.012;39.036;0.062;38.973;0.030;99.840;73.716;43.901;28.200;5.134;2.616;0;0;0;0;0;0;0;0
14;1;1;1;2892.867412;2892.945897;2892.978915;782770;0;0;26696;26696;21;21;26696;26784;100.000;0.811;0.811;6.428;7.062;6.428;32.993;0.007;0.009;33.056;0.037;33.018;0.026;99.887;78.484;43.623;39.011;5.677;2.807;0;0;0;0;0;0;0;0
15;1;1;1;2892.899745;2892.978948;2893.008243;784474;0;0;27072;27072;21;21;27072;27160;100.000;0.932;0.932;6.518;7.152;6.518;29.291;0.008;0.010;29.328;0.033;29.295;0.033;99.886;79.203;39.618;33.052;0.282;2.649;0;0;0;0;0;0;0;0
16;1;1;1;2892.933568;2893.008241;2893.009840;785193;0;0;131600;131600;100;100;131600;131688;100.000;157.916;157.916;31.605;34.704;31.605;1.594;0.043;0.045;1.597;0.000;1.598;2.807;100.109;74.673;7.882;29.293;4.040;2.736;0;0;0;0;0;0;0;0
17;1;1;1;2892.967637;2893.045298;2893.078390;782720;0;0;28764;28764;22;22;28764;28852;100.000;0.872;0.872;6.924;7.590;6.924;33.090;0.007;0.009;68.551;35.458;33.092;0.026;48.274;77.661;43.099;37.057;3.723;2.798;0;0;0;0;0;0;0;0
18;1;1;1;2892.999797;2893.078424;2893.106253;781613;0;0;23124;23124;18;18;23124;23212;100.000;0.834;0.834;5.571;6.111;5.571;27.800;0.007;0.008;27.863;0.034;27.829;0.029;99.879;78.627;37.628;33.126;0.207;2.636;0;0;0;0;0;0;0;0
19;1;1;1;2893.033775;2893.106320;2893.106328;780006;0;0;22372;22372;17;17;22372;22460;100.000;12960.625;12960.625;5.390;5.900;5.390;0.006;0.006;0.006;0.075;0.067;0.008;77.512;10.344;72.545;4.369;27.896;5.437;2.811;0;0;0;0;0;0;0;0
20;1;1;1;2893.067336;2893.143336;2893.176076;780302;0;0;22936;22936;18;18;22936;23024;100.000;0.703;0.703;5.526;6.066;5.526;32.736;0.008;0.010;69.748;37.008;32.740;0.030;46.940;76.000;40.784;37.016;3.683;2.866;0;0;0;0;0;0;0;0
21;1;1;1;2893.099844;2893.176113;2893.204220;779066;0;0;24816;24816;19;19;24816;24904;100.000;0.889;0.889;5.977;6.549;5.977;28.103;0.009;0.009;28.144;0.037;28.107;0.034;99.867;76.269;35.595;32.778;0.556;2.721;0;0;0;0;0;0;0;0
22;1;1;1;2893.133097;2893.204218;2893.205691;778280;0;0;25004;25004;19;19;25004;25092;100.000;8881.199;8881.199;6.022;6.594;6.022;0.011;0.011;0.012;1.471;0.000;1.473;0.840;100.115;71.121;3.733;28.105;5.228;2.878;0;0;0;0;0;0;0;0
23;1;1;1;2893.166444;2893.242240;2893.275179;778907;0;0;26132;26132;20;20;26132;26220;100.000;0.796;0.796;6.293;6.896;6.293;32.936;0.008;0.010;69.488;36.549;32.939;0.030;47.402;75.796;39.887;38.022;4.689;2.991;0;0;0;0;0;0;0;0
24;1;1;1;2893.200568;2893.275219;2893.302625;779289;0;0;24064;24064;19;19;24064;24152;100.000;0.881;0.881;5.796;6.368;5.796;27.401;0.012;0.014;27.446;0.040;27.406;0.050;99.854;74.650;34.000;32.979;0.355;2.826;0;0;0;0;0;0;0;0
25;1;1;1;2893.233366;2893.302665;2893.302679;779739;0;0;25004;25004;19;19;25004;25092;100.000;14513.916;14513.916;6.022;6.594;6.022;0.012;0.012;0.013;0.054;0.040;0.014;89.027;26.119;69.299;0.721;27.446;5.887;3.018;0;0;0;0;0;0;0;0
26;1;1;1;2893.267215;2893.340784;2893.340795;779364;0;0;26320;26320;20;20;26320;26408;100.000;11397.207;11397.207;6.338;6.941;6.338;0.008;0.008;0.009;38.115;38.105;0.011;81.728;0.028;73.569;5.503;38.119;4.786;3.128;0;0;0;0;0;0;0;0
27;1;1;1;2893.299590;2893.374885;2893.401873;780025;0;0;26508;26508;21;21;26508;26596;100.000;0.986;0.986;6.383;7.017;6.383;26.985;0.008;0.009;61.078;34.090;26.988;0.035;44.187;75.294;33.248;34.100;0.767;2.981;0;0;0;0;0;0;0;0
28;1;1;1;2893.333230;2893.401924;2893.440644;780373;0;0;26508;26508;21;21;26508;26596;100.000;0.687;0.687;6.383;7.017;6.383;38.710;0.007;0.008;38.771;0.051;38.720;0.020;99.868;68.694;38.686;27.039;6.294;3.188;0;0;0;0;0;0;0;0
29;1;1;1;2893.366653;2893.440694;2893.473834;781651;0;0;28012;28012;22;22;28012;28100;100.000;0.848;0.848;6.744;7.409;6.744;33.110;0.010;0.011;33.190;0.050;33.140;0.034;99.850;74.041;38.542;38.770;5.436;3.328;0;0;0;0;0;0;0;0
30;1;1;1;2893.399639;2893.473904;2893.502186;781375;0;0;26696;26696;21;21;26696;26784;100.000;0.948;0.948;6.428;7.062;6.428;28.278;0.010;0.012;28.352;0.070;28.282;0.041;99.752;74.265;33.561;33.210;0.123;3.128;0;0;0;0;0;0;0;0
