frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2892.439588;2892.441892;2892.455543;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;919.274;919.274;3011.115;3354.567;3011.115;13.637;2.780;2.984;13.651;0.000;13.651;21.857;100.000;2.304;13.651;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2892.470944;2892.473777;2892.489158;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;814.977;814.977;3008.289;3351.426;3008.289;15.378;2.830;3.037;33.615;18.234;15.382;19.746;45.759;2.832;13.933;31.885;1.449;0.091;0;0;0;0;0;0;0;0
3;1;1;1;2892.499343;2892.501916;2892.516786;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;840.254;840.254;2995.978;3337.713;2995.978;14.867;3.013;3.243;27.628;12.757;14.870;21.807;53.824;2.573;8.228;28.139;5.194;0.410;0;0;0;0;0;0;0;0
4;1;1;1;2892.532596;2892.536056;2892.552384;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;762.987;762.987;2989.323;3330.288;2989.323;16.323;5.399;5.710;35.598;19.269;16.328;34.973;45.869;3.459;10.492;34.140;0.806;0.434;0;0;0;0;0;0;0;0
5;1;1;1;2892.567212;2892.570419;2892.585655;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;815.798;815.798;2981.489;3321.578;2981.489;15.229;3.584;3.829;33.271;18.035;15.236;25.129;45.794;3.207;10.430;34.363;1.030;0.472;0;0;0;0;0;0;0;0
6;1;1;1;2892.599960;2892.602587;2892.616595;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;885.812;885.812;2975.599;3315.022;2975.599;14.004;2.665;2.866;30.940;16.932;14.008;20.458;45.275;2.627;8.036;32.168;1.165;0.515;0;0;0;0;0;0;0;0
7;1;1;1;2892.633388;2892.636055;2892.649374;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;932.308;932.308;2979.654;3319.532;2979.654;13.316;2.702;2.902;32.780;19.461;13.319;21.791;40.632;2.668;7.482;33.469;0.135;0.491;0;0;0;0;0;0;0;0
8;1;1;1;2892.667055;2892.669933;2892.685243;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;810.756;810.756;2977.788;3317.456;2977.788;15.304;4.351;4.679;35.869;20.558;15.311;30.557;42.685;2.877;10.018;33.877;0.544;0.494;0;0;0;0;0;0;0;0
9;1;1;1;2892.700185;2892.703427;2892.719156;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;789.334;789.334;2978.690;3318.463;2978.690;15.723;3.277;3.491;33.913;18.184;15.729;22.197;46.382;3.242;10.598;33.494;0.161;0.474;0;0;0;0;0;0;0;0
10;1;1;1;2892.733762;2892.737098;2892.750758;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;911.772;911.772;2987.606;3328.396;2987.606;13.657;2.867;3.070;31.602;17.942;13.660;22.477;43.226;3.336;8.866;33.671;0.338;0.465;0;0;0;0;0;0;0;0
