frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2892.439588;2892.631782;2892.632944;784142;146318;146318;1829;1829;2341088;2341140;100.000;2018.058;2018.058;561.874;603.123;561.874;1.158;0.671;0.722;1.162;0.000;1.162;62.140;100.000;192.195;1.162;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2892.470944;2892.690692;2892.692259;783406;144182;144182;1803;1803;2306912;2306964;100.000;1478.008;1478.008;553.671;594.335;553.671;1.563;1.169;1.219;59.315;57.748;1.567;77.750;2.642;219.747;27.143;58.909;25.576;1.599;0;0;0;0;0;0;0;0
3;1;1;1;2892.499343;2892.706536;2892.730747;780200;141754;141754;1772;1772;2268064;2268116;100.000;93.720;93.720;544.348;584.312;544.348;24.205;1.172;1.220;38.488;14.277;24.211;5.038;62.905;207.193;32.298;15.844;17.489;2.592;0;0;0;0;0;0;0;0
4;1;1;1;2892.532596;2892.735798;2892.736986;778467;139430;139430;1743;1743;2230880;2230932;100.000;1885.464;1885.464;535.424;574.733;535.424;1.183;0.694;0.742;6.239;5.051;1.188;62.464;19.036;203.202;5.203;29.262;4.071;2.684;0;0;0;0;0;0;0;0
5;1;1;1;2892.567212;2892.770345;2892.772522;776427;137802;137802;1723;1723;2204832;2204884;100.000;1021.715;1021.715;529.172;568.031;529.172;2.172;1.186;1.228;35.536;33.360;2.177;56.437;6.125;203.133;7.406;34.548;1.214;2.592;0;0;0;0;0;0;0;0
6;1;1;1;2892.599960;2892.804385;2892.829784;774893;137230;137230;1716;1716;2195680;2195732;100.000;86.479;86.479;526.976;565.676;526.976;25.395;24.092;24.143;57.262;31.863;25.399;95.055;44.356;204.425;31.335;34.040;0.706;2.474;0;0;0;0;0;0;0;0
7;1;1;1;2892.633388;2892.839366;2892.841415;775949;137590;137590;1720;1720;2201440;2201492;100.000;1081.217;1081.217;528.358;567.149;528.358;2.045;0.998;1.038;11.631;9.582;2.049;50.661;17.619;205.979;9.633;34.981;1.648;2.423;0;0;0;0;0;0;0;0
8;1;1;1;2892.667055;2892.875838;2892.878338;775463;137746;137746;1722;1722;2203936;2203988;100.000;884.820;884.820;528.957;567.793;528.957;2.496;1.227;1.269;36.923;34.422;2.501;50.740;6.773;208.782;13.223;36.472;3.138;2.467;0;0;0;0;0;0;0;0
9;1;1;1;2892.700185;2892.929865;2892.931283;775698;138024;138024;1726;1726;2208384;2208436;100.000;1574.239;1574.239;530.025;568.951;530.025;1.399;1.020;1.090;52.944;51.527;1.417;76.877;2.677;229.681;32.834;54.028;20.694;3.607;0;0;0;0;0;0;0;0
10;1;1;1;2892.733762;2892.933492;2892.934668;778020;138278;138278;1729;1729;2212448;2212500;100.000;1882.592;1882.592;531.000;569.994;531.000;1.171;0.627;0.674;3.385;2.209;1.176;57.359;34.729;199.731;2.885;3.627;29.707;5.238;0;0;0;0;0;0;0;0
