frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2892.439588;2892.648088;2892.655713;784142;178911;159140;146318;146318;1829;2341088;100.000;307.077;561.874;603.123;22.816;88.949;18.660;0.000;152.402;7.093;7.625;93.016;208.500;216.125;216.124;7.625;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2892.470944;2892.690773;2892.698633;783406;169393;156499;144182;144182;1803;2306912;100.000;293.530;553.671;594.335;21.623;92.388;18.405;0.000;0.000;2.456;7.860;31.243;219.829;227.689;227.688;17.212;42.686;9.352;0.585;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2892.499343;2892.708224;2892.736553;780200;164369;153953;141754;141754;1772;2268064;100.000;80.064;544.348;584.312;21.068;93.663;18.169;0.000;0.000;0.968;28.329;3.417;208.881;237.210;237.209;21.799;17.450;15.883;1.541;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;2892.532596;2892.736657;2892.749462;778467;160176;150044;139430;139430;1743;2230880;100.000;174.236;535.424;574.733;20.576;93.674;17.911;0.000;0.000;12.286;12.805;95.946;204.061;216.866;216.865;1.375;28.433;4.900;1.751;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2892.567212;2892.778390;2892.780225;776427;157416;147596;137802;137802;1723;2204832;100.000;1202.309;529.172;568.031;20.274;93.762;17.748;0.000;0.000;1.207;1.835;65.791;211.177;213.012;213.011;-1.196;41.733;8.399;2.166;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2892.599960;2892.806732;2892.829793;774893;155670;146710;137230;137230;1716;2195680;100.000;95.217;526.976;565.676;20.089;94.244;17.710;0.000;68.655;1.543;23.061;6.692;206.772;229.833;229.832;15.039;28.343;4.991;2.343;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2892.633388;2892.851488;2892.853270;775949;155681;147307;137590;137590;1720;2201440;100.000;1235.936;528.358;567.149;20.063;94.621;17.732;0.000;0.000;1.163;1.782;65.236;218.101;219.883;219.882;5.183;44.756;11.423;2.910;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2892.667055;2892.875873;2892.881419;775463;154865;147231;137746;137746;1722;2203936;100.000;397.486;528.957;567.793;19.971;95.071;17.763;0.000;89.260;1.143;5.546;20.618;208.818;214.364;214.362;-0.002;24.385;8.948;3.288;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2892.700185;2892.929916;2892.942097;775698;154536;147397;138024;138024;1726;2208384;100.000;181.311;530.025;568.951;19.922;95.380;17.794;0.000;0.000;1.505;12.181;12.353;229.731;241.912;241.912;27.343;54.043;20.709;4.376;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;2892.733762;2892.942280;2892.949930;778020;154048;146829;138278;138278;1729;2212448;100.000;289.244;531.000;569.994;19.800;95.314;17.773;0.000;98.101;7.143;7.650;93.367;208.519;216.168;216.168;1.842;12.364;20.969;5.413;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2892.767011;2892.971149;2892.983577;778554;154631;147856;139114;139114;1739;2225824;100.000;179.106;534.210;573.430;19.861;95.619;17.868;0.000;0.000;1.457;12.429;11.720;204.137;216.566;216.565;2.156;28.868;4.465;5.354;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2892.799823;2893.011591;2893.031996;779986;155390;148887;140496;140496;1757;2247936;100.000;110.172;539.517;579.143;19.922;95.815;18.013;0.000;0.000;9.284;20.405;45.498;211.768;232.173;232.173;17.241;40.442;7.109;5.464;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;0.000000;0.000000;1.000000;2892.833170;2893.034743;2893.048730;780926;157628;151036;142868;142868;1786;2285888;100.000;163.442;548.626;588.905;20.185;95.818;18.295;0.000;64.765;5.071;13.987;36.257;201.573;215.560;215.559;0.642;23.152;10.182;5.759;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.000000;0.000000;1.000000;2892.867412;2893.072935;2893.082853;782770;159237;152878;144928;144928;1812;2318848;100.000;233.851;556.536;597.402;20.343;96.007;18.515;0.000;0.000;3.034;9.917;30.589;205.523;215.440;215.439;1.432;38.193;4.859;5.703;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.000000;0.000000;1.000000;2892.899745;2893.109285;2893.130303;784474;159802;153172;146044;146044;1826;2336704;100.000;111.182;560.821;602.004;20.371;95.851;18.617;0.000;0.000;1.114;21.018;5.302;209.540;230.558;230.557;15.549;36.349;3.016;5.535;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.000000;0.000000;1.000000;2892.933568;2893.132908;2893.134262;785193;177968;156948;145822;145822;1823;2333152;100.000;1724.735;559.969;601.083;22.666;88.189;18.571;0.000;65.386;0.703;1.354;51.923;199.340;200.693;200.692;-13.826;23.623;9.710;5.796;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.000000;0.000000;1.000000;2892.967637;2893.170291;2893.178466;782720;169048;155711;144126;144126;1802;2306016;100.000;282.146;553.456;594.097;21.598;92.111;18.413;0.001;87.967;1.377;8.175;16.850;202.654;210.828;210.827;-2.955;37.383;4.050;5.686;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.000000;0.000000;1.000000;2892.999797;2893.203230;2893.231025;781613;164438;152319;141930;141930;1775;2270880;100.000;81.704;545.024;585.055;21.038;92.630;18.159;0.000;0.000;0.949;27.795;3.415;203.433;231.229;231.228;16.271;32.939;0.394;5.356;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.000000;0.000000;1.000000;2893.033775;2893.231766;2893.241107;780006;160724;150232;139740;139740;1747;2235840;100.000;239.382;536.614;576.014;20.605;93.472;17.915;0.001;102.667;0.835;9.342;8.936;197.990;207.332;207.331;-6.980;28.535;4.798;5.321;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.000000;0.000000;1.000000;2893.067336;2893.267168;2893.273520;780302;158111;148368;138346;138346;1730;2213536;100.000;348.567;531.261;570.277;20.263;93.838;17.730;0.000;0.000;5.794;6.351;91.225;199.832;206.183;206.183;-7.901;35.403;2.070;5.118;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.000000;0.000000;1.000000;2893.099844;2893.313698;2893.315705;779066;156169;147318;137844;137844;1724;2205504;100.000;1099.550;529.333;568.214;20.046;94.332;17.693;0.000;0.000;1.322;2.006;65.905;213.854;215.860;215.860;0.950;46.530;13.196;5.623;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.000000;0.000000;1.000000;2893.133097;2893.330222;2893.331487;778280;156257;148169;138092;138092;1727;2209472;100.000;1746.943;530.286;569.234;20.077;94.824;17.743;0.000;82.720;0.719;1.265;56.836;197.125;198.390;198.389;-16.601;16.523;16.810;6.322;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
23;1;1;0.000000;0.000000;1.000000;2893.166444;2893.367620;2893.374086;778907;155625;148274;138240;138240;1728;2211840;100.000;342.106;530.854;569.825;19.980;95.276;17.748;0.000;0.000;0.999;6.467;15.442;201.176;207.642;207.641;-7.335;37.398;4.065;6.181;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
24;1;1;0.000000;0.000000;1.000000;2893.200568;2893.399864;2893.404319;779289;155068;147825;138556;138556;1732;2216896;100.000;497.758;532.068;571.129;19.899;95.329;17.780;0.000;88.764;3.649;4.456;81.887;199.295;203.751;203.749;-10.435;32.244;1.089;5.862;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
25;1;1;0.087266;0.000000;1.000000;2893.233366;2893.435633;2893.437894;779739;154886;148003;138952;138952;1737;2223232;100.000;983.922;533.588;572.762;19.864;95.556;17.820;0.000;0.000;1.481;2.261;65.511;202.267;204.528;204.526;-10.194;35.769;2.436;5.648;1;16.034;16.034;136.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
26;1;1;0.087266;0.000000;1.000000;2893.267215;2893.469141;2893.477498;779364;155037;148137;139454;139454;1744;2231264;100.000;267.031;535.516;574.848;19.893;95.549;17.893;0.000;82.700;7.757;8.357;92.827;201.926;210.283;210.282;-3.923;33.508;0.175;5.306;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
27;1;1;0.087266;0.000000;1.000000;2893.299590;2893.505289;2893.510892;780025;155674;148906;140520;140520;1757;2248320;100.000;401.393;539.609;579.235;19.958;95.652;18.015;0.000;0.000;4.621;5.603;82.468;205.699;211.302;211.300;-3.862;36.148;2.815;5.151;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
28;1;1;0.087266;0.000000;1.000000;2893.333230;2893.529311;2893.540009;780373;156436;150018;141820;141820;1773;2269120;100.000;212.138;544.601;584.588;20.046;95.897;18.173;0.000;89.538;10.083;10.698;94.253;196.081;206.778;206.777;-8.079;24.022;9.312;5.411;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
29;1;1;0.087266;0.000000;1.000000;2893.366653;2893.578648;2893.580458;781651;158103;151744;143812;143812;1798;2300992;100.000;1271.791;552.251;592.801;20.227;95.978;18.398;0.000;0.000;1.196;1.810;66.065;211.995;213.805;213.804;-0.963;49.337;16.004;6.073;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
30;1;1;0.087266;0.000000;1.000000;2893.399639;2893.604317;2893.609431;781375;158909;152425;144756;144756;1810;2316096;100.000;452.995;555.876;596.697;20.337;95.920;18.526;0.000;94.115;1.327;5.114;25.945;204.677;209.791;209.790;-5.324;25.669;7.664;6.172;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
31;1;1;0.087266;0.000000;1.000000;2893.432957;2893.633658;2893.635176;784392;176776;155937;143948;143948;1800;2303168;100.000;1518.047;552.773;593.368;22.537;88.212;18.352;0.000;0.000;0.945;1.518;62.264;200.702;202.219;202.219;-12.911;29.342;3.992;6.036;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
32;1;1;0.087266;0.000000;1.000000;2893.466772;2893.674451;2893.676346;782671;167823;154032;141972;141972;1775;2271552;100.000;1199.452;545.185;585.216;21.442;91.782;18.139;0.000;143.864;1.246;1.895;65.759;207.679;209.574;209.573;-5.075;40.793;7.460;6.125;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
33;1;1;0.087266;0.000000;1.000000;2893.499640;2893.703556;2893.732334;776999;162493;151172;139814;139814;1748;2237024;100.000;77.740;536.898;576.321;20.913;93.033;17.994;0.000;0.000;1.165;28.778;4.050;203.916;232.694;232.692;17.579;29.105;4.229;6.006;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
34;1;1;0.087266;0.000000;1.000000;2893.533246;2893.734200;2893.747783;778650;158009;147496;137648;137648;1721;2202368;100.000;162.160;528.581;567.394;20.293;93.347;17.678;0.000;0.000;13.118;13.583;96.577;200.954;214.536;214.536;-0.305;30.644;2.689;5.799;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
35;1;1;0.087266;0.000000;1.000000;2893.566661;2893.768662;2893.771848;778007;156436;146459;137154;137154;1715;2194464;100.000;688.960;526.684;565.362;20.107;93.622;17.629;0.001;0.000;2.634;3.186;82.650;202.000;205.187;205.186;-9.573;34.462;1.128;5.507;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
36;1;1;0.087266;0.000000;1.000000;2893.599756;2893.807757;2893.816061;776483;155955;147025;138046;138046;1726;2208736;100.000;266.039;530.109;569.035;20.085;94.274;17.778;0.000;115.329;4.737;8.304;57.041;208.001;216.305;216.304;1.307;39.095;5.762;5.523;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
37;1;1;0.087266;0.000000;1.000000;2893.634009;2893.830980;2893.835946;781287;157465;149465;139346;139346;1742;2229536;100.000;449.078;535.101;574.388;20.155;94.920;17.835;0.000;0.000;1.783;4.966;35.903;196.971;201.937;201.936;-12.142;23.223;10.110;5.810;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
38;1;1;0.087266;0.000000;1.000000;2893.666955;2893.872858;2893.875101;780329;157640;150117;141098;141098;1764;2257568;100.000;1006.940;541.829;581.612;20.202;95.228;18.082;0.000;0.000;1.475;2.243;65.760;205.903;208.146;208.145;-6.320;41.878;8.545;5.981;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
39;1;1;0.087266;0.000000;1.000000;2893.699948;2893.904642;2893.931769;780785;158183;150821;142238;142238;1778;2275808;100.000;83.902;546.206;586.306;20.259;95.346;18.217;0.000;0.000;0.887;27.126;3.270;204.695;231.821;231.820;17.015;31.785;1.549;5.704;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
40;1;1;0.087266;0.000000;1.000000;2893.733229;2893.933869;2893.935986;785430;159338;152086;143844;143844;1799;2301504;100.000;1087.578;552.373;592.946;20.287;95.449;18.314;0.000;71.614;0.777;2.117;36.698;200.640;202.757;202.756;-12.102;29.227;4.106;5.604;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
41;1;1;0.087266;0.000000;1.000000;2893.766510;2893.976139;2893.981906;789479;161451;154261;146416;146416;1831;2342656;100.000;406.322;562.250;603.545;20.450;95.547;18.546;0.000;0.000;5.155;5.767;89.399;209.629;215.396;215.395;0.485;42.270;8.936;5.812;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
42;1;1;0.087266;0.000000;1.000000;2893.799779;2894.007228;2894.012104;789348;163175;156456;148106;148106;1852;2369696;100.000;486.076;568.740;610.508;20.672;95.882;18.763;0.000;65.670;1.438;4.876;29.487;207.449;212.324;212.324;-2.651;31.089;2.245;5.589;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
43;1;1;0.087266;0.000000;1.000000;2893.839699;2894.033334;2894.035151;792714;164202;157630;149298;149298;1867;2388768;100.000;1315.284;573.317;615.424;20.714;95.998;18.834;0.000;0.000;0.723;1.817;39.783;193.634;195.452;195.451;-12.937;26.106;7.227;5.692;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
44;1;1;0.087266;0.000000;1.000000;2893.867252;2894.073085;2894.079229;790865;165443;158450;150365;150365;1880;2405840;100.000;391.646;577.414;619.814;20.919;95.773;19.013;0.000;72.716;1.477;6.144;24.044;205.833;211.977;211.976;-2.192;39.751;6.418;5.737;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
45;1;1;0.087266;0.000000;1.000000;2893.899961;2894.110466;2894.142700;787976;166156;159454;151606;151606;1896;2425696;100.000;75.254;582.180;624.941;21.086;95.966;19.240;0.000;0.000;4.600;32.235;14.270;210.505;242.740;242.739;27.946;37.381;4.047;5.631;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
46;1;1;0.087266;0.000000;1.000000;2893.933516;2894.142882;2894.151781;789717;188890;165163;151650;151650;1896;2426400;100.000;272.684;582.348;625.110;23.919;87.439;19.203;0.000;75.474;1.197;8.900;13.447;209.365;218.265;218.264;3.694;32.416;0.917;5.337;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
47;1;1;0.087266;0.000000;1.000000;2893.966771;2894.181626;2894.197896;784950;179115;163191;150558;150558;1882;2408928;100.000;148.071;578.155;620.601;22.819;91.110;19.181;0.000;0.000;1.186;16.270;7.289;214.855;231.125;231.124;16.475;38.744;5.410;5.341;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
48;1;1;0.087266;0.000000;1.000000;2893.999949;2894.211802;2894.235221;781130;174491;161518;148538;148538;1857;2376608;100.000;101.488;570.398;612.280;22.338;92.565;19.016;0.000;0.000;6.591;23.419;28.144;211.853;235.272;235.271;20.467;30.177;3.157;5.205;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
49;1;1;0.087266;0.000000;1.000000;2894.034506;2894.235373;2894.236919;780468;169683;158314;147276;147276;1841;2356416;100.000;1524.733;565.552;607.073;21.741;93.300;18.870;0.000;76.100;1.112;1.546;71.956;200.867;202.413;202.413;-11.168;23.571;9.762;5.490;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
50;1;1;0.087266;0.000000;1.000000;2894.067996;2894.271621;2894.281910;783376;166714;156688;146748;146748;1835;2347968;100.000;228.235;563.525;604.910;21.281;93.986;18.733;0.000;134.032;9.543;10.288;92.754;203.625;213.913;213.913;0.489;36.248;2.915;5.329;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
51;1;1;0.087266;0.000000;1.000000;2894.100033;2894.313035;2894.334161;787237;163927;154647;145970;145970;1825;2335520;100.000;110.560;560.537;601.697;20.823;94.339;18.542;0.000;0.000;9.027;21.126;42.728;213.002;234.129;234.127;19.407;41.414;8.080;5.501;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
52;1;1;0.087266;0.087266;1.000000;2894.134089;2894.338916;2894.341533;787734;163921;154970;147302;147302;1842;2356832;100.000;901.139;565.652;607.195;20.809;94.539;18.699;0.001;0.000;1.001;2.617;38.246;204.827;207.444;207.443;-6.554;25.881;7.452;5.623;2;21.143;28.515;173.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
53;1;1;0.087266;0.087266;1.000000;2894.167782;2894.379069;2894.384804;787059;163880;155377;148046;148046;1851;2368736;100.000;413.092;568.509;610.255;20.822;94.811;18.810;0.000;99.824;5.121;5.736;89.289;211.287;217.023;217.021;3.383;40.153;6.819;5.697;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
