frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;3093.682430;3093.684532;0.000;784142;9802;12546272;12546272;2291.174;2291.174;3011.115;3204.009;3011.115;130.076;2.102;5.476;1.293;137.654;137.655;100.000;98.473;1896;0;1896;59946;0
2;1;1;1;0;0.000;3093.817741;3093.819949;135.417;783406;9793;12534496;12534496;2088.023;2088.023;3008.289;3201.005;3008.289;126.739;2.207;6.003;1.880;134.949;134.950;100.000;98.364;1896;0;1896;59587;0
3;1;1;1;0;0.000;3093.947705;3093.949753;129.805;780200;9753;12483200;12483200;2114.028;2114.028;2995.978;3187.907;2995.978;121.750;2.047;5.905;1.800;129.702;129.703;99.999;98.421;1949;0;1949;62193;0
4;1;1;1;0;0.000;3094.072564;3094.074601;124.848;778467;9731;12455472;12455472;2167.511;2167.511;2989.323;3180.819;2989.323;116.903;2.037;5.746;1.787;124.687;124.687;99.999;98.366;1651;0;1651;51875;0
5;1;1;1;0;0.000;3094.205648;3094.207744;133.142;776427;9706;12422832;12422832;2117.568;2117.568;2981.489;3172.494;2981.489;125.298;2.095;5.867;1.806;133.259;133.260;99.999;98.427;1706;0;1706;53910;0
6;1;1;1;0;0.000;3094.333056;3094.335195;127.451;774893;9687;12398288;12398288;2080.669;2080.669;2975.599;3166.229;2975.599;119.444;2.139;5.959;1.818;127.541;127.542;99.999;98.323;1940;0;1940;61855;0
7;1;1;1;0;0.000;3094.455150;3094.457541;122.346;775949;9700;12415184;12415184;2100.096;2100.096;2979.654;3170.540;2979.654;113.995;2.390;5.912;1.840;122.296;122.297;99.999;98.045;1421;0;1421;44576;0
8;1;1;1;0;0.000;3094.579945;3094.582221;124.680;775463;9694;12407408;12407408;2044.288;2044.288;2977.788;3168.556;2977.788;116.490;2.275;6.069;1.868;124.835;124.835;99.999;98.177;1876;0;1876;59986;0
9;1;1;1;0;0.000;3094.699974;3094.702141;119.920;775698;9697;12411168;12411168;2092.854;2092.854;2978.690;3169.517;2978.690;111.681;2.167;5.930;1.933;119.779;119.780;99.999;98.190;1315;0;1315;41088;0
10;1;1;1;0;0.000;3094.821850;3094.824209;122.067;778020;9726;12448320;12448320;2187.010;2187.010;2987.606;3179.004;2987.606;113.764;2.358;5.692;1.850;121.813;121.814;99.999;98.064;1958;0;1958;62610;0
11;1;1;1;0;0.000;3094.942096;3094.944273;120.065;778554;9732;12456864;12456864;2013.530;2013.530;2989.657;3181.173;2989.657;112.193;2.177;6.187;1.881;120.557;120.557;99.999;98.193;1830;0;1830;57636;0
12;1;1;1;0;0.000;3095.065208;3095.067344;123.070;779986;9750;12479776;12479776;2117.640;2117.640;2995.156;3187.026;2995.156;114.746;2.135;5.893;1.872;122.774;122.775;99.999;98.261;1607;0;1607;51174;0
