frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;3093.682430;3093.742199;3094.142368;784142;142128;146318;108;1829;142128;154656;100.000;193.531;210.460;561.874;603.123;37.117;178911;159140;146318;0.211;0.124;0.077;2.931;1.151;0.062;128.974;127.746;400.123;400.170;399.001;32.230;32.016;1.375;0.192;0.953;59.769;459.938;400.170;0.000;0.000;0.000;0.000;0.046;0.000;55;124.891;396.023;5;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;3093.817741;3093.864197;3094.275104;783406;28952;144182;22;1803;28952;31504;100.000;791.065;858.186;553.671;594.335;7.561;169393;156499;144182;0.210;0.123;0.076;2.043;1.156;0.058;136.816;135.585;410.863;410.907;409.734;33.296;33.091;1.381;0.190;0.063;46.456;457.363;499.572;121.999;88.666;5.542;0.000;0.043;0.000;22;133.617;407.646;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;3093.947705;3093.993480;3094.402294;780200;22936;141754;18;1772;22936;25024;100.000;0.184;0.200;544.348;584.312;6.006;164369;153953;141754;0.210;0.123;0.077;2.027;1.294;0.306;130.386;129.016;408.795;408.815;407.504;31.894;31.660;1.368;0.187;0.063;45.774;454.589;593.429;129.282;95.949;11.192;0.000;0.020;0.000;11;127.065;405.455;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;3094.072564;3094.118763;3094.524510;778467;22560;139430;18;1743;22560;24648;100.000;0.169;0.184;535.424;574.733;5.916;160176;150044;139430;0.212;0.124;0.076;2.029;1.085;0.057;125.535;124.374;405.715;405.747;404.645;30.939;30.737;1.369;0.185;0.063;46.199;451.946;682.312;125.283;91.950;16.239;0.000;0.032;0.000;17;122.421;402.583;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;3094.205648;3094.252577;3094.649423;776427;22184;137802;17;1723;22184;24156;100.000;0.176;0.191;529.172;568.031;5.797;157416;147596;137802;0.208;0.121;0.076;2.019;1.264;0.311;128.025;126.685;396.820;396.846;395.565;32.261;32.026;1.368;0.182;0.065;46.929;443.775;773.892;133.814;100.481;21.505;0.000;0.026;0.000;8;124.741;393.518;4;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;3094.333056;3094.379362;3094.768655;774893;24440;137230;19;1716;24440;26644;100.000;0.200;0.217;526.976;565.676;6.395;155704;146684;137230;0.210;0.121;0.075;2.021;1.058;0.056;122.513;121.380;389.269;389.293;388.219;31.471;31.266;1.370;0.181;0.064;46.306;435.599;859.789;126.784;93.451;26.001;0.000;0.024;0.000;14;119.434;386.173;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;3094.455150;3094.502083;3094.891701;775949;25004;137590;19;1720;25004;27208;100.000;748.936;812.094;528.358;567.149;6.530;155769;147285;137590;0.213;0.122;0.075;2.025;1.296;0.316;126.122;124.752;389.581;389.618;388.306;32.371;32.127;1.367;0.181;0.067;46.933;436.551;949.503;122.721;89.388;29.963;0.000;0.038;0.000;18;122.801;386.242;2;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;3094.579945;3094.626928;3095.012134;775463;26508;137746;21;1722;26508;28944;100.000;0.223;0.243;528.957;567.793;6.947;154945;147291;137746;0.310;0.121;0.075;2.200;0.907;0.057;123.751;122.769;385.185;385.206;384.281;32.126;31.948;1.381;0.179;0.133;46.983;432.189;1036.603;124.845;91.512;33.810;0.000;0.022;0.000;9;120.644;382.059;5;0;0;0;0;0;0;0
9;1;1;1;0.087266;0.000000;1.000000;3094.699974;3094.746195;3095.136888;775698;26320;138024;20;1726;26320;28640;100.000;0.216;0.234;530.025;568.951;6.874;154624;147515;138024;0.209;0.122;0.076;2.065;0.926;0.060;127.845;126.843;390.674;390.693;389.748;32.723;32.545;1.397;0.182;0.080;46.221;436.915;1128.023;119.266;85.933;37.067;69.576;0.019;0.000;10;124.855;387.652;3;0;0;0;0;0;0;0
10;1;1;1;0.087266;0.000000;1.000000;3094.821850;3094.868477;3095.266726;778020;25380;138278;20;1729;25380;27700;100.000;0.211;0.230;531.000;569.994;6.648;153992;146840;138278;0.212;0.122;0.075;2.043;1.235;0.309;132.828;131.519;398.230;398.249;396.998;33.353;33.128;1.386;0.182;0.067;46.627;444.876;1224.528;122.282;88.949;40.310;0.000;0.019;0.000;7;129.550;394.934;4;0;0;0;0;0;0;0
11;1;1;1;0.087266;0.000000;1.000000;3094.942096;3094.989199;3095.396946;778554;24064;139114;19;1739;24064;26268;100.000;0.196;0.213;534.210;573.430;6.304;154581;147771;139114;0.206;0.124;0.076;2.048;0.889;0.058;133.493;132.529;407.731;407.747;406.841;32.739;32.575;1.386;0.184;0.072;47.103;454.850;1321.414;120.722;87.388;43.252;0.000;0.016;0.000;8;130.557;404.775;4;0;0;0;0;0;0;0
12;1;1;1;0.087266;0.000000;1.000000;3095.065208;3095.112512;3095.529020;779986;25568;140496;20;1757;25568;27888;100.000;0.197;0.214;539.517;579.143;6.693;155588;149026;140496;0.213;0.122;0.076;2.039;1.246;0.354;135.006;133.684;416.479;416.508;415.241;32.414;32.194;1.369;0.186;0.074;47.304;463.811;1420.155;123.314;89.980;46.173;0.000;0.029;0.000;10;131.721;413.172;3;0;0;0;0;0;0;0
13;1;1;1;0.087266;0.000000;1.000000;3095.196317;3095.242748;3095.656089;780926;26132;142868;20;1786;26132;28452;100.000;0.200;0.217;548.626;588.905;6.828;157785;151108;142868;0.215;0.123;0.076;2.063;1.081;0.058;130.354;129.198;413.270;413.342;412.243;31.537;31.340;1.388;0.193;0.068;46.431;459.773;1513.891;130.235;96.902;49.343;0.000;0.072;0.000;20;127.210;410.107;2;0;0;0;0;0;0;0
14;1;1;1;0.087266;0.000000;1.000000;3095.325903;3095.374085;3095.773581;782770;26884;144928;21;1812;26884;29320;100.000;0.205;0.223;556.536;597.402;7.037;159421;153009;144928;0.212;0.124;0.077;2.043;1.344;0.328;120.634;119.214;399.488;399.496;398.135;30.197;29.943;1.373;0.191;0.068;48.183;447.679;1598.049;131.337;98.004;52.385;0.000;0.009;0.000;17;117.247;396.082;3;0;0;0;0;0;0;0
15;1;1;1;0.087266;0.000000;1.000000;3095.458688;3095.505498;3095.901499;784474;27260;146044;21;1826;27260;29696;100.000;0.215;0.233;560.821;602.004;7.127;159965;153314;146044;0.211;0.124;0.078;2.036;1.119;0.061;131.303;130.106;395.959;396.000;394.864;33.157;32.949;1.368;0.192;0.064;46.810;442.811;1692.634;131.413;98.080;55.241;0.000;0.042;0.000;20;128.147;392.786;2;0;0;0;0;0;0;0
16;1;1;1;0.087266;0.000000;1.000000;3095.584268;3095.632749;3096.025539;785193;131788;145822;101;1823;131788;143504;100.000;1.120;1.219;559.969;601.083;34.441;177968;156948;145822;0.211;0.125;0.077;2.038;1.107;0.059;127.193;126.010;392.775;392.790;391.667;32.382;32.173;1.369;0.192;0.065;48.481;441.271;1783.340;127.250;93.917;57.658;0.000;0.016;0.000;60;124.048;389.611;5;0;0;0;0;0;0;0
17;1;1;1;0.087266;0.000000;1.000000;3095.703480;3095.750505;3096.148046;782720;28764;144126;22;1802;28764;31316;100.000;0.225;0.244;553.456;594.097;7.516;169127;155796;144126;0.213;0.124;0.076;2.034;1.299;0.310;125.650;124.275;397.519;397.541;396.225;31.607;31.365;1.371;0.187;0.064;47.025;444.567;1872.514;117.756;84.423;59.331;0.000;0.023;0.000;14;122.316;394.167;3;0;0;0;0;0;0;0
18;1;1;1;0.087266;0.000000;1.000000;3095.832099;3095.878775;3096.270534;781613;23124;141930;18;1775;23124;25212;100.000;0.187;0.203;545.024;585.055;6.051;164376;152343;141930;0.210;0.123;0.076;2.027;1.088;0.060;125.819;124.656;391.732;391.759;390.655;32.117;31.909;1.369;0.187;0.064;46.676;438.435;1961.669;128.270;94.937;61.556;0.000;0.027;0.001;12;122.704;388.599;5;0;0;0;0;0;0;0
19;1;1;1;0.087266;0.087266;1.000000;3095.956371;3096.003065;3096.395584;780006;22372;139740;17;1747;22372;24344;100.000;783.831;849.581;536.614;576.014;5.843;160684;150225;139740;0.262;0.122;0.077;2.110;1.247;0.305;128.150;126.826;392.485;392.519;391.254;32.648;32.415;1.390;0.185;0.075;46.694;439.213;2053.386;124.290;90.957;63.394;44.777;0.034;0.000;17;124.792;389.095;1;0;0;0;0;0;0;0
20;1;1;1;0.087266;0.087266;1.000000;3096.078957;3096.125339;3096.516837;780302;22936;138346;18;1730;22936;25024;100.000;0.187;0.204;531.261;570.277;6.006;157894;148300;138346;0.207;0.122;0.076;2.018;1.045;0.056;124.608;123.487;391.474;391.499;390.436;31.828;31.628;1.370;0.180;0.064;46.381;437.880;2141.305;122.273;88.940;64.990;0.000;0.024;0.000;10;121.545;388.393;3;0;0;0;0;0;0;0
21;1;1;1;0.087266;0.087266;1.000000;3096.200258;3096.248230;3096.645846;779066;24816;137844;19;1724;24816;27020;100.000;0.200;0.217;529.333;568.214;6.485;156303;147479;137844;0.210;0.123;0.074;2.025;1.257;0.288;132.070;130.739;397.580;397.615;396.341;33.215;32.986;1.367;0.182;0.069;47.972;445.587;2236.980;122.892;89.559;66.526;0.000;0.036;0.000;18;128.788;394.279;2;0;0;0;0;0;0;0
22;1;1;1;0.087266;0.087266;1.000000;3096.326465;3096.372912;3096.759649;778280;25192;138092;20;1727;25192;27512;100.000;0.209;0.227;530.286;569.234;6.603;156434;148303;138092;0.212;0.121;0.075;2.025;1.055;0.056;117.083;115.954;386.718;386.737;385.666;30.275;30.066;1.369;0.182;0.065;46.447;433.184;2317.451;124.682;91.348;68.077;0.000;0.019;0.000;12;114.004;383.621;3;0;0;0;0;0;0;0
