frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;3093.682430;3093.684645;3093.720733;3093.742909;784142;784142;784142;9802;108;12546272;12546312;100.000;904.243;904.243;34.132;37.480;3011.115;10.656;0.000;0.000;15.941;5.971;0.002;32.567;32.567;44.390;58.265;36.089;55.895;90.241;1.456;0.910;0.500;1.401;11.674;2.215;60.480;58.265;0.000;0.000;0.000;0.000;0.011;0.291;15.954;0.479;0;1;27.342;27.344;nan;nan;nan;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;3093.817741;3093.820564;3093.844958;3093.864180;783406;783406;783406;9793;22;12534496;12534536;100.000;903.452;903.452;6.970;7.635;3008.289;2.890;0.000;0.000;4.225;5.912;0.001;13.026;13.026;29.742;43.616;24.394;29.865;53.399;1.416;0.901;0.493;1.388;0.027;2.823;46.439;146.203;135.920;102.586;6.412;102.586;0.007;0.375;13.024;0.391;0;1;25.096;25.097;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;3093.947705;3093.950316;3093.974209;3094.118723;780200;780200;780200;9753;18;12483200;12483240;100.000;910.204;910.204;5.526;6.066;2995.978;2.893;0.000;0.000;4.230;5.867;0.002;12.990;12.990;154.692;168.407;23.893;7.714;54.368;1.413;0.897;0.501;1.393;0.027;2.611;171.017;367.412;129.752;96.419;12.037;96.419;0.002;0.079;10.828;0.325;0;1;25.091;25.092;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;3094.072564;3094.075159;3094.099577;3094.252540;778467;778467;778467;9731;18;12455472;12455512;100.000;922.126;922.126;5.436;5.976;2989.323;2.935;0.000;0.000;4.337;5.949;0.001;13.221;13.221;163.873;177.381;24.418;7.454;54.146;1.502;0.896;0.521;1.390;0.026;2.595;179.976;467.895;124.843;91.509;17.004;91.509;0.002;0.622;9.208;0.276;0;1;25.092;25.093;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;3094.205648;3094.208327;3094.232934;3094.379316;776427;776427;776427;9706;17;12422832;12422872;100.000;904.617;904.617;5.345;5.855;2981.489;2.933;0.000;0.000;4.262;6.003;0.001;13.197;13.197;157.256;170.989;24.607;7.718;53.634;1.432;0.895;0.507;1.402;0.025;2.679;173.668;561.338;133.169;99.835;22.181;99.835;0.002;0.607;4.270;0.128;0;1;25.606;25.607;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;3094.333056;3094.335805;3094.360114;3094.502038;774893;774893;774893;9687;19;12398288;12398328;100.000;903.603;903.603;5.887;6.458;2975.599;2.851;0.000;0.000;4.263;5.893;0.001;13.006;13.006;152.512;166.233;24.310;7.824;53.503;1.445;0.894;0.504;1.392;0.028;2.749;168.982;650.726;127.477;94.144;26.679;94.144;0.002;0.431;4.271;0.128;0;1;25.091;25.092;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;3094.455150;3094.458120;3094.482624;3094.502070;775949;775949;775949;9700;19;12415184;12415224;100.000;901.647;901.647;6.022;6.594;2979.654;2.892;0.000;0.000;4.229;6.122;0.000;13.243;13.243;30.181;43.950;24.505;30.132;54.043;1.407;0.894;0.508;1.386;0.034;2.969;46.920;617.426;122.315;88.982;30.573;88.982;0.002;0.382;4.263;0.128;0;1;25.533;25.534;nan;nan;nan;25004;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;3094.579945;3094.582840;3094.607676;3094.746150;775463;775463;775463;9694;21;12407408;12407448;100.000;889.549;889.549;6.383;7.017;2977.788;2.876;0.000;0.000;4.220;5.890;0.002;12.986;12.986;149.362;163.310;24.836;7.952;52.285;1.397;0.890;0.499;1.408;0.027;2.894;166.205;828.172;124.720;91.387;34.374;91.387;0.002;0.776;4.254;0.128;0;1;25.090;25.091;nan;nan;nan;26508;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;3094.699974;3094.702769;3094.726953;3094.868434;775698;775698;775698;9697;20;12411168;12411208;100.000;914.851;914.851;6.338;6.941;2978.690;2.925;0.000;0.000;4.208;5.893;0.001;13.027;13.027;152.098;165.665;24.184;7.863;53.865;1.390;0.897;0.497;1.396;0.028;2.795;168.460;917.123;119.929;86.596;37.637;86.596;0.002;0.514;4.245;0.127;0;1;25.087;25.088;nan;nan;nan;26320;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;3094.821850;3094.824820;3094.849260;3094.989156;778020;778020;778020;9726;20;12448320;12448360;100.000;926.386;926.386;6.112;6.715;2987.606;2.881;0.000;0.000;4.238;5.923;0.001;13.041;13.041;150.899;164.336;24.441;7.936;53.358;1.410;0.903;0.508;1.389;0.028;2.969;167.306;1004.511;122.051;88.717;40.830;88.717;0.002;0.840;4.245;0.127;0;1;25.093;25.095;nan;nan;nan;25380;1;0;0;0;0;0;0
