frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3093.682430;3093.684571;3093.698506;784142;784142;784142;9802;9802;12546272;12546312;100.000;1357.268;1357.268;3011.115;3382.797;3011.115;13.919;0.778;9.547;5.631;2.647;13.935;0.000;13.935;68.508;100.000;2.141;13.935;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3093.817741;3093.820512;3093.834435;783406;783406;783406;9793;9793;12534496;12534536;100.000;1369.843;1369.843;3008.289;3379.630;3008.289;13.906;0.801;9.708;5.728;2.679;135.928;122.006;13.922;69.729;10.242;2.771;116.530;135.941;102.608;6.413;0;0;0;0;0;0;0;0
3;1;1;1;3093.947705;3093.950265;3093.964011;780200;780200;780200;9753;9753;12483200;12483240;100.000;1370.567;1370.567;2995.978;3365.802;2995.978;13.730;1.023;9.722;5.615;2.613;129.577;115.830;13.746;70.723;10.609;2.560;212.773;129.752;96.419;12.038;0;0;0;0;0;0;0;0
4;1;1;1;3094.072564;3094.075110;3094.088662;778467;778467;778467;9731;9731;12455472;12455512;100.000;1390.761;1390.761;2989.323;3358.313;2989.323;13.536;0.792;9.433;5.570;2.591;124.651;111.098;13.552;69.607;10.872;2.546;304.091;124.845;91.512;17.005;0;0;0;0;0;0;0;0
5;1;1;1;3094.205648;3094.208276;3094.222049;776427;776427;776427;9706;9706;12422832;12422872;100.000;1357.756;1357.756;2981.489;3349.531;2981.489;13.757;0.837;9.531;5.619;2.607;133.388;119.615;13.773;69.197;10.326;2.628;404.145;133.167;99.833;22.182;0;0;0;0;0;0;0;0
6;1;1;1;3094.333056;3094.335753;3094.349507;774893;774893;774893;9687;9687;12398288;12398328;100.000;1358.059;1358.059;2975.599;3342.920;2975.599;13.737;1.076;9.740;5.594;2.593;127.457;113.704;13.753;70.818;10.790;2.697;498.269;127.477;94.144;26.680;0;0;0;0;0;0;0;0
7;1;1;1;3094.455150;3094.458074;3094.471883;775949;775949;775949;9700;9700;12415184;12415224;100.000;1351.160;1351.160;2979.654;3347.468;2979.654;13.793;0.812;9.484;5.584;2.605;122.377;108.567;13.810;68.680;11.284;2.923;587.312;122.321;88.987;30.574;0;0;0;0;0;0;0;0
8;1;1;1;3094.579945;3094.582782;3094.596765;775463;775463;775463;9694;9694;12407408;12407448;100.000;1327.343;1327.343;2977.788;3345.374;2977.788;13.958;1.083;9.771;5.619;2.588;124.882;110.898;13.983;69.874;11.197;2.836;678.860;124.708;91.374;34.374;0;0;0;0;0;0;0;0
9;1;1;1;3094.699974;3094.702720;3094.716333;775698;775698;775698;9697;9697;12411168;12411208;100.000;1373.948;1373.948;2978.690;3346.391;2978.690;13.596;0.801;9.414;5.554;2.584;119.568;105.955;13.612;69.155;11.385;2.747;765.095;119.939;86.605;37.638;0;0;0;0;0;0;0;0
10;1;1;1;3094.821850;3094.824772;3094.838235;778020;778020;778020;9726;9726;12448320;12448360;100.000;1405.996;1405.996;2987.606;3356.407;2987.606;13.446;0.836;9.518;5.630;2.585;121.902;108.439;13.463;70.698;11.044;2.922;853.663;122.052;88.719;40.831;0;0;0;0;0;0;0;0
11;1;1;1;3094.942096;3094.944804;3094.958914;778554;778554;778554;9732;9732;12456864;12456904;100.000;1313.793;1313.793;2989.657;3358.685;2989.657;14.093;1.137;9.838;5.615;2.600;120.679;106.569;14.110;69.728;11.692;2.708;941.009;120.032;86.698;43.698;0;0;0;0;0;0;0;0
12;1;1;1;3095.065208;3095.067890;3095.081707;779986;779986;779986;9750;9750;12479776;12479816;100.000;1360.256;1360.256;2995.156;3364.866;2995.156;13.801;0.868;9.601;5.624;2.615;122.793;108.976;13.817;69.485;11.252;2.681;1030.469;123.086;89.752;46.576;0;0;0;0;0;0;0;0
13;1;1;1;3095.196317;3095.199026;3095.212821;780926;780926;780926;9762;9762;12494816;12494856;100.000;1362.492;1362.492;2998.765;3368.931;2998.765;13.779;0.870;9.552;5.592;2.609;131.114;117.320;13.794;69.248;10.521;2.710;1128.249;131.137;97.803;49.778;0;0;0;0;0;0;0;0
14;1;1;1;3095.325903;3095.328897;3095.343393;782770;782770;782770;9785;9785;12524320;12524360;100.000;1272.065;1272.065;3005.846;3376.884;3005.846;14.479;1.289;10.043;5.632;2.621;130.572;116.076;14.496;69.279;11.102;2.994;1225.488;129.870;96.537;52.700;0;0;0;0;0;0;0;0
15;1;1;1;3095.458688;3095.461363;3095.475266;784474;784474;784474;9806;9806;12551584;12551624;100.000;1356.029;1356.029;3012.390;3384.224;3012.390;13.886;0.880;9.630;5.629;2.627;131.873;117.970;13.902;69.269;10.542;2.675;1324.028;132.466;99.133;55.602;0;0;0;0;0;0;0;0
16;1;1;1;3095.584268;3095.586898;3095.601134;785193;785193;785193;9815;9815;12563088;12563128;100.000;1314.742;1314.742;3015.151;3387.326;3015.151;14.219;1.155;9.929;5.658;2.619;125.869;111.633;14.236;69.747;11.310;2.630;1416.563;125.535;92.202;57.890;0;0;0;0;0;0;0;0
17;1;1;1;3095.703480;3095.706269;3095.720234;782720;782720;782720;9784;9784;12523520;12523560;100.000;1346.192;1346.192;3005.654;3376.654;3005.654;13.949;0.906;9.701;5.672;2.631;119.099;105.135;13.965;69.469;11.725;2.789;1502.329;119.371;86.037;59.649;0;0;0;0;0;0;0;0
18;1;1;1;3095.832099;3095.834707;3095.848741;781613;781613;781613;9771;9771;12505808;12505848;100.000;1329.964;1329.964;3001.404;3371.910;3001.404;14.019;0.883;9.612;5.622;2.600;128.508;114.473;14.034;68.487;10.921;2.608;1597.503;128.438;95.105;61.865;0;0;0;0;0;0;0;0
19;1;1;1;3095.956371;3095.959047;3095.973184;780006;780006;780006;9751;9751;12480096;12480136;100.000;1315.806;1315.806;2995.233;3364.981;2995.233;14.122;1.199;9.912;5.620;2.611;124.443;110.306;14.137;70.115;11.360;2.676;1688.613;124.340;91.007;63.686;0;0;0;0;0;0;0;0
20;1;1;1;3096.078957;3096.081659;3096.095541;780302;780302;780302;9754;9754;12484832;12484872;100.000;1349.324;1349.324;2996.369;3366.231;2996.369;13.866;0.887;9.590;5.616;2.600;122.357;108.475;13.882;69.083;11.346;2.702;1777.637;122.612;89.279;65.286;0;0;0;0;0;0;0;0
21;1;1;1;3096.200258;3096.202923;3096.217490;779066;779066;779066;9739;9739;12465056;12465096;100.000;1252.891;1252.891;2991.623;3360.916;2991.623;14.551;1.186;9.899;5.605;2.598;121.949;107.381;14.567;67.951;11.945;2.664;1866.252;121.263;87.930;66.701;0;0;0;0;0;0;0;0
22;1;1;1;3096.326465;3096.329207;3096.342807;778280;778280;778280;9729;9729;12452480;12452520;100.000;1383.543;1383.543;2988.605;3357.519;2988.605;13.583;0.840;9.507;5.604;2.585;125.317;111.718;13.599;69.912;10.852;2.742;1958.235;126.285;92.951;68.342;0;0;0;0;0;0;0;0
23;1;1;1;3096.447701;3096.450468;3096.464145;778907;778907;778907;9737;9737;12462512;12462552;100.000;1372.773;1372.773;2991.012;3360.230;2991.012;13.662;0.865;9.563;5.615;2.587;121.339;107.661;13.678;69.916;11.272;2.767;2046.241;121.260;87.927;69.566;0;0;0;0;0;0;0;0
24;1;1;1;3096.575122;3096.577955;3096.592209;779289;779289;779289;9742;9742;12468624;12468664;100.000;1297.265;1297.265;2992.479;3361.886;2992.479;14.229;1.175;9.923;5.666;2.593;128.064;113.810;14.254;69.618;11.130;2.833;2140.971;127.488;94.154;71.103;0;0;0;0;0;0;0;0
25;1;1;1;3096.689950;3096.692671;3096.706627;779739;779739;779739;9747;9747;12475824;12475864;100.000;1341.508;1341.508;2994.207;3363.804;2994.207;13.940;0.897;9.650;5.660;2.603;114.418;100.462;13.956;69.150;12.197;2.721;2222.056;114.716;81.383;71.745;0;0;0;0;0;0;0;0
26;1;1;1;3096.814387;3096.817103;3096.831393;779364;779364;779364;9743;9743;12469824;12469864;100.000;1294.684;1294.684;2992.767;3362.212;2992.767;14.273;0.923;9.672;5.623;2.621;124.766;110.476;14.290;67.689;11.453;2.717;2313.488;124.432;91.099;72.955;0;0;0;0;0;0;0;0
27;1;1;1;3096.939987;3096.942605;3096.956957;780025;780025;780025;9751;9751;12480400;12480440;100.000;1282.734;1282.734;2995.306;3365.054;2995.306;14.336;1.301;10.014;5.629;2.593;125.565;111.213;14.352;69.777;11.430;2.618;2405.719;125.502;92.169;74.156;0;0;0;0;0;0;0;0
28;1;1;1;3097.109654;3097.112471;3097.126335;780373;780373;780373;9755;9755;12485968;12486008;100.000;1352.547;1352.547;2996.642;3366.542;2996.642;13.847;0.928;9.665;5.638;2.601;169.378;155.514;13.863;69.718;8.185;2.818;2541.764;169.866;136.533;78.054;0;0;0;0;0;0;0;0
29;1;1;1;3097.240324;3097.242965;3097.256940;781651;781651;781651;9771;9771;12506416;12506456;100.000;1342.894;1342.894;3001.549;3372.056;3001.549;13.959;1.170;9.916;5.636;2.629;130.605;116.630;13.975;70.955;10.700;2.640;2639.035;130.493;97.160;79.248;0;0;0;0;0;0;0;0
30;1;1;1;3097.384288;3097.387039;3097.400895;781375;781375;781375;9768;9768;12502000;12502040;100.000;1352.212;1352.212;3000.490;3370.883;3000.490;13.840;0.926;9.632;5.619;2.595;143.955;130.099;13.856;69.512;9.625;2.751;2749.657;144.074;110.741;81.217;0;0;0;0;0;0;0;0
31;1;1;1;3097.504243;3097.506906;3097.521050;784392;784392;784392;9805;9805;12550272;12550312;100.000;1323.942;1323.942;3012.075;3383.871;3012.075;14.127;0.921;9.686;5.647;2.619;120.154;106.011;14.143;68.486;11.771;2.664;2836.478;119.867;86.534;81.549;0;0;0;0;0;0;0;0
32;1;1;1;3097.613547;3097.616233;3097.630403;782671;782671;782671;9784;9784;12522736;12522776;100.000;1313.188;1313.188;3005.466;3376.466;3005.466;14.154;1.234;9.957;5.634;2.601;109.353;95.184;14.170;70.268;12.958;2.686;2912.498;109.327;75.994;81.202;0;0;0;0;0;0;0;0
33;1;1;1;3097.728383;3097.731100;3097.745002;776999;776999;776999;9713;9713;12431984;12432024;100.000;1342.037;1342.037;2983.686;3351.993;2983.686;13.886;0.939;9.663;5.625;2.600;114.599;100.697;13.901;69.513;12.131;2.717;2993.764;114.867;81.534;81.222;0;0;0;0;0;0;0;0
34;1;1;1;3097.856272;3097.858949;3097.873198;778650;778650;778650;9734;9734;12458400;12458440;100.000;1293.791;1293.791;2990.026;3359.129;2990.026;14.233;1.224;9.933;5.597;2.596;128.196;113.947;14.249;69.711;11.115;2.676;3088.626;127.849;94.515;82.053;0;0;0;0;0;0;0;0
35;1;1;1;3097.975030;3097.977865;3097.992003;778007;778007;778007;9726;9726;12448112;12448152;100.000;1306.092;1306.092;2987.556;3356.357;2987.556;14.121;0.936;9.620;5.582;2.591;118.805;104.667;14.138;68.043;11.900;2.834;3174.098;118.916;85.583;82.274;0;0;0;0;0;0;0;0
