frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3093.682430;3094.141230;3094.142382;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;2033.630;2033.630;561.874;606.635;561.874;1.149;0.528;0.572;1.152;0.000;1.152;49.660;100.000;458.800;1.152;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3093.817741;3094.273960;3094.275113;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;2004.780;2004.780;553.671;597.796;553.671;1.149;0.477;0.522;132.730;131.578;1.153;45.294;0.869;456.219;100.549;132.730;99.397;6.212;0;0;0;0;0;0;0;0
3;1;1;1;3093.947705;3094.401011;3094.402303;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1757.767;1757.767;544.348;587.714;544.348;1.289;0.453;0.491;127.191;125.898;1.293;38.015;1.016;453.305;194.407;127.051;93.718;11.681;0;0;0;0;0;0;0;0
4;1;1;1;3094.072564;3094.523435;3094.524518;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;2066.023;2066.023;535.424;578.080;535.424;1.079;0.465;0.502;122.214;121.132;1.083;46.400;0.886;450.871;283.288;122.425;89.091;16.519;0;0;0;0;0;0;0;0
5;1;1;1;3094.205648;3094.648169;3094.649435;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1751.963;1751.963;529.172;571.339;529.172;1.262;0.443;0.480;124.917;123.652;1.265;37.933;1.013;442.521;374.871;124.734;91.401;21.200;0;0;0;0;0;0;0;0
6;1;1;1;3094.333056;3094.767608;3094.768664;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;2089.194;2089.194;526.976;568.971;526.976;1.052;0.446;0.482;119.229;118.174;1.055;45.708;0.885;434.552;460.767;119.439;86.106;25.256;0;0;0;0;0;0;0;0
7;1;1;1;3094.455150;3094.890416;3094.891712;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1704.884;1704.884;528.358;570.451;528.358;1.293;0.416;0.453;123.048;121.752;1.296;34.982;1.053;435.265;550.482;122.807;89.474;29.270;0;0;0;0;0;0;0;0
8;1;1;1;3094.579945;3095.011238;3095.012153;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;2429.305;2429.305;528.957;571.099;528.957;0.903;0.463;0.506;120.441;119.526;0.915;55.309;0.759;431.293;637.590;120.823;87.489;32.909;0;0;0;0;0;0;0;0
9;1;1;1;3094.699974;3095.135973;3095.136900;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;2401.438;2401.438;530.025;572.265;530.025;0.922;0.471;0.508;124.746;123.820;0.926;54.880;0.742;436.000;729.003;124.735;91.402;36.564;0;0;0;0;0;0;0;0
10;1;1;1;3094.821850;3095.265502;3095.266738;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1790.983;1790.983;531.000;573.313;531.000;1.232;0.439;0.476;129.838;128.603;1.236;38.559;0.952;443.652;825.508;129.529;96.195;40.291;0;0;0;0;0;0;0;0
11;1;1;1;3094.942096;3095.396068;3095.396956;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;2512.062;2512.062;534.210;576.768;534.210;0.885;0.445;0.482;130.218;129.330;0.888;54.278;0.682;453.972;922.393;130.565;97.232;43.850;0;0;0;0;0;0;0;0
12;1;1;1;3095.065208;3095.527785;3095.529031;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1813.036;1813.036;539.517;582.516;539.517;1.243;0.411;0.451;132.075;130.829;1.246;36.232;0.943;462.576;1021.134;131.717;98.384;47.258;0;0;0;0;0;0;0;0
13;1;1;1;3095.196317;3095.655019;3095.656100;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;2126.386;2126.386;548.626;592.334;548.626;1.078;0.498;0.538;127.069;125.988;1.081;49.774;0.851;458.702;1114.870;127.234;93.901;50.174;0;0;0;0;0;0;0;0
14;1;1;1;3095.325903;3095.772248;3095.773593;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;1729.488;1729.488;556.536;600.881;556.536;1.342;0.492;0.531;117.493;116.147;1.345;39.498;1.145;446.345;1199.030;117.229;83.895;52.281;0;0;0;0;0;0;0;0
15;1;1;1;3095.458688;3095.900390;3095.901509;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;2089.484;2089.484;560.821;605.509;560.821;1.116;0.483;0.523;127.916;126.797;1.119;46.723;0.875;441.702;1293.613;128.142;94.809;54.939;0;0;0;0;0;0;0;0
16;1;1;1;3095.584268;3096.024442;3096.025550;785193;145822;145822;0;0;1823;1823;2333152;2333204;100.000;2117.582;2117.582;559.969;604.584;559.969;1.105;0.449;0.489;124.041;122.933;1.108;44.077;0.894;440.174;1384.321;124.052;90.719;57.175;0;0;0;0;0;0;0;0
17;1;1;1;3095.703480;3096.146757;3096.148056;782720;144126;144126;0;0;1802;1802;2306016;2306068;100.000;1777.873;1777.873;553.456;597.557;553.456;1.296;0.462;0.501;122.506;121.206;1.299;38.582;1.060;443.277;1473.493;122.315;88.981;59.163;0;0;0;0;0;0;0;0
18;1;1;1;3095.832099;3096.269456;3096.270544;781613;141930;141930;0;0;1775;1775;2270880;2270932;100.000;2093.084;2093.084;545.024;588.463;545.024;1.085;0.464;0.502;122.488;121.400;1.088;46.175;0.888;437.357;1562.647;122.699;89.366;61.051;0;0;0;0;0;0;0;0
19;1;1;1;3095.956371;3096.394347;3096.395594;780006;139740;139740;0;0;1747;1747;2235840;2235892;100.000;1799.234;1799.234;536.614;579.368;536.614;1.244;0.417;0.455;125.050;123.803;1.247;36.482;0.997;437.976;1654.364;124.891;91.558;62.958;0;0;0;0;0;0;0;0
20;1;1;1;3096.078957;3096.515802;3096.516847;780302;138346;138346;0;0;1730;1730;2213536;2213588;100.000;2119.313;2119.313;531.261;573.599;531.261;1.042;0.422;0.459;121.253;120.208;1.045;43.946;0.862;436.845;1742.284;121.455;88.122;64.530;0;0;0;0;0;0;0;0
21;1;1;1;3096.200258;3096.644599;3096.645856;779066;137844;137844;0;0;1724;1724;2205504;2205556;100.000;1763.463;1763.463;529.333;571.524;529.333;1.253;0.416;0.454;129.009;127.752;1.257;36.113;0.974;444.341;1837.959;128.797;95.464;66.464;0;0;0;0;0;0;0;0
22;1;1;1;3096.326465;3096.758605;3096.759661;778280;138092;138092;0;0;1727;1727;2209472;2209524;100.000;2105.858;2105.858;530.286;572.550;530.286;1.052;0.467;0.505;113.805;112.749;1.056;47.827;0.928;432.140;1918.431;114.006;80.673;67.352;0;0;0;0;0;0;0;0
23;1;1;1;3096.447701;3096.882408;3096.883440;778907;138240;138240;0;0;1728;1728;2211840;2211892;100.000;2159.406;2159.406;530.854;573.143;530.854;1.028;0.466;0.511;123.779;122.747;1.031;49.530;0.833;434.707;2008.877;123.803;90.470;68.797;0;0;0;0;0;0;0;0
24;1;1;1;3096.575122;3097.008748;3097.010049;779289;138556;138556;0;0;1732;1732;2216896;2216948;100.000;1705.147;1705.147;532.068;574.454;532.068;1.288;0.453;0.491;126.609;125.308;1.301;37.724;1.028;433.625;2102.152;126.339;93.006;70.310;0;0;0;0;0;0;0;0
25;1;1;1;3096.689950;3097.178078;3097.179131;779739;138952;138952;0;0;1737;1737;2223232;2223284;100.000;2115.689;2115.689;533.588;576.097;533.588;1.049;0.457;0.494;169.082;168.030;1.052;46.942;0.622;488.128;2237.901;169.331;135.997;74.415;0;0;0;0;0;0;0;0
26;1;1;1;3096.814387;3097.308513;3097.309756;779364;139454;139454;0;0;1744;1744;2231264;2231316;100.000;1800.731;1800.731;535.516;578.196;535.516;1.239;0.427;0.465;130.625;129.382;1.243;37.390;0.951;494.126;2335.192;130.435;97.101;75.833;0;0;0;0;0;0;0;0
27;1;1;1;3096.939987;3097.452941;3097.453991;780025;140520;140520;0;0;1757;1757;2248320;2248372;100.000;2153.511;2153.511;539.609;582.608;539.609;1.047;0.458;0.496;144.236;143.185;1.051;47.158;0.728;512.954;2446.095;144.428;111.095;78.037;0;0;0;0;0;0;0;0
28;1;1;1;3097.109654;3097.573838;3097.575127;780373;141820;141820;0;0;1773;1773;2269120;2269172;100.000;1763.723;1763.723;544.601;587.992;544.601;1.286;0.468;0.515;121.136;119.847;1.289;39.923;1.064;464.184;2533.898;120.897;87.564;78.632;0;0;0;0;0;0;0;0
29;1;1;1;3097.240324;3097.684030;3097.684988;781651;143812;143812;0;0;1798;1798;2300992;2301044;100.000;2405.730;2405.730;552.251;596.253;552.251;0.954;0.459;0.497;109.860;108.903;0.958;51.939;0.872;443.705;2610.424;110.192;76.859;78.522;0;0;0;0;0;0;0;0
