frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3093.682430;3093.742180;3093.742917;784142;0;0;142128;142128;108;108;142128;142216;100.000;193.940;193.940;34.132;37.480;34.132;0.728;0.022;0.025;0.737;0.000;0.737;3.438;100.000;59.750;0.737;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3093.817741;3093.864186;3093.864194;783406;0;0;28952;28952;22;22;28952;29040;100.000;13470.123;13470.123;6.970;7.635;6.970;0.005;0.005;0.006;121.277;121.269;0.007;76.150;0.006;46.445;88.681;122.007;88.673;5.542;0;0;0;0;0;0;0;0
3;1;1;1;3093.947705;3093.993469;3094.118728;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.184;0.184;5.526;6.066;5.526;125.256;0.006;0.007;254.534;129.275;125.259;0.006;49.211;45.764;309.882;129.282;95.949;11.193;0;0;0;0;0;0;0;0
4;1;1;1;3094.072564;3094.118755;3094.252545;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.169;0.169;5.436;5.976;5.436;133.788;0.006;0.008;133.818;0.027;133.790;0.006;99.980;46.191;410.366;125.286;91.953;16.240;0;0;0;0;0;0;0;0
5;1;1;1;3094.205648;3094.252570;3094.379321;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.176;0.176;5.345;5.855;5.345;126.749;0.006;0.007;126.776;0.025;126.751;0.006;99.980;46.922;503.808;133.815;100.482;21.505;0;0;0;0;0;0;0;0
6;1;1;1;3094.333056;3094.379353;3094.502043;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.200;0.200;5.887;6.458;5.887;122.687;0.007;0.008;122.721;0.032;122.690;0.007;99.974;46.297;593.197;126.783;93.449;26.002;0;0;0;0;0;0;0;0
7;1;1;1;3094.455150;3094.502075;3094.502082;775949;0;0;25004;25004;19;19;25004;25092;100.000;11463.693;11463.693;6.022;6.594;6.022;0.004;0.004;0.005;0.039;0.032;0.007;69.442;17.883;46.925;559.902;122.722;89.389;29.963;0;0;0;0;0;0;0;0
8;1;1;1;3094.579945;3094.626918;3094.746155;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.223;0.223;6.383;7.017;6.383;119.234;0.007;0.009;244.073;124.836;119.237;0.007;48.853;46.973;770.642;124.843;91.510;33.810;0;0;0;0;0;0;0;0
9;1;1;1;3094.699974;3094.746186;3094.868439;775698;0;0;26320;26320;20;20;26320;26408;100.000;0.216;0.216;6.338;6.941;6.338;122.250;0.007;0.008;122.284;0.031;122.253;0.007;99.975;46.213;859.593;119.268;85.935;37.068;0;0;0;0;0;0;0;0
10;1;1;1;3094.821850;3094.868469;3094.989161;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.211;0.211;6.112;6.715;6.112;120.690;0.006;0.007;120.722;0.030;120.693;0.006;99.975;46.618;946.982;122.283;88.949;40.310;0;0;0;0;0;0;0;0
