frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3093.682430;3093.684610;3093.698513;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;902.576;902.576;3011.115;3354.567;3011.115;13.889;2.856;3.059;13.903;0.000;13.903;21.999;100.000;2.180;13.903;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3093.817741;3093.820542;3093.834437;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;902.175;902.175;3008.289;3351.426;3008.289;13.892;2.676;2.875;135.924;122.029;13.895;20.689;10.223;2.801;116.494;135.932;102.599;6.412;0;0;0;0;0;0;0;0
3;1;1;1;3093.947705;3093.950296;3093.964023;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;909.683;909.683;2995.978;3337.713;2995.978;13.724;2.651;2.848;129.586;115.859;13.728;20.747;10.594;2.590;212.747;129.754;96.420;12.038;0;0;0;0;0;0;0;0
4;1;1;1;3094.072564;3094.075138;3094.088664;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;920.918;920.918;2989.323;3330.288;2989.323;13.523;2.675;2.871;124.641;111.115;13.526;21.224;10.852;2.574;304.055;124.843;91.509;17.005;0;0;0;0;0;0;0;0
5;1;1;1;3094.205648;3094.208306;3094.222057;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;903.604;903.604;2981.489;3321.578;2981.489;13.747;2.778;2.978;133.392;119.641;13.751;21.656;10.309;2.658;404.114;133.168;99.834;22.182;0;0;0;0;0;0;0;0
6;1;1;1;3094.333056;3094.335784;3094.349519;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;903.009;903.009;2975.599;3315.022;2975.599;13.731;2.643;2.850;127.462;113.727;13.735;20.752;10.776;2.728;498.243;127.478;94.145;26.679;0;0;0;0;0;0;0;0
7;1;1;1;3094.455150;3094.458101;3094.471888;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;900.662;900.662;2979.654;3319.532;2979.654;13.783;2.826;3.026;122.369;108.582;13.787;21.950;11.266;2.951;587.278;122.317;88.984;30.573;0;0;0;0;0;0;0;0
8;1;1;1;3094.579945;3094.582820;3094.596780;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;889.118;889.118;2977.788;3317.456;2977.788;13.957;2.753;2.952;124.892;110.932;13.960;21.147;11.178;2.874;678.837;124.719;91.385;34.374;0;0;0;0;0;0;0;0
9;1;1;1;3094.699974;3094.702749;3094.716335;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;913.610;913.610;2978.690;3318.463;2978.690;13.582;2.716;2.911;119.555;105.969;13.586;21.423;11.364;2.775;765.059;119.929;86.595;37.638;0;0;0;0;0;0;0;0
10;1;1;1;3094.821850;3094.824801;3094.838249;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;926.090;926.090;2987.606;3328.396;2987.606;13.445;2.601;2.797;121.914;108.466;13.448;20.801;11.031;2.950;853.640;122.052;88.719;40.831;0;0;0;0;0;0;0;0
