frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3093.682430;3094.141256;3094.142397;784142;146318;146318;1829;1829;2341088;2341140;100.000;2053.882;2053.882;561.874;603.123;561.874;1.138;0.589;0.639;1.141;0.000;1.141;55.983;100.000;458.826;1.141;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3093.817741;3094.273977;3094.275125;783406;144182;144182;1803;1803;2306912;2306964;100.000;2014.470;2014.470;553.671;594.335;553.671;1.144;0.588;0.638;132.728;131.580;1.148;55.539;0.865;456.236;100.536;132.721;99.388;6.212;0;0;0;0;0;0;0;0
3;1;1;1;3093.947705;3094.401028;3094.402317;780200;141754;141754;1772;1772;2268064;2268116;100.000;1764.000;1764.000;544.348;584.312;544.348;1.285;0.575;0.624;127.192;125.903;1.289;48.361;1.014;453.323;194.395;127.051;93.718;11.681;0;0;0;0;0;0;0;0
4;1;1;1;3094.072564;3094.523452;3094.524532;778467;139430;139430;1743;1743;2230880;2230932;100.000;2074.507;2074.507;535.424;574.733;535.424;1.076;0.607;0.655;122.215;121.135;1.080;60.673;0.884;450.888;283.276;122.424;89.091;16.519;0;0;0;0;0;0;0;0
5;1;1;1;3094.205648;3094.648186;3094.649445;776427;137802;137802;1723;1723;2204832;2204884;100.000;1759.748;1759.748;529.172;568.031;529.172;1.255;0.540;0.587;124.913;123.654;1.259;46.607;1.008;442.538;374.856;124.734;91.400;21.199;0;0;0;0;0;0;0;0
6;1;1;1;3094.333056;3094.767624;3094.768677;774893;137230;137230;1716;1716;2195680;2195732;100.000;2094.910;2094.910;526.976;565.676;526.976;1.049;0.512;0.559;119.232;118.179;1.053;53.119;0.883;434.568;460.755;119.439;86.105;25.256;0;0;0;0;0;0;0;0
7;1;1;1;3094.455150;3094.890432;3094.891723;775949;137590;137590;1720;1720;2201440;2201492;100.000;1711.765;1711.765;528.358;567.149;528.358;1.288;0.479;0.527;123.046;121.755;1.292;40.829;1.050;435.281;550.468;122.808;89.474;29.269;0;0;0;0;0;0;0;0
8;1;1;1;3094.579945;3095.011265;3095.012163;775463;137746;137746;1722;1722;2203936;2203988;100.000;2474.239;2474.239;528.957;567.793;528.957;0.894;0.580;0.627;120.440;119.542;0.898;69.825;0.746;431.320;637.574;120.833;87.500;32.909;0;0;0;0;0;0;0;0
9;1;1;1;3094.699974;3095.135990;3095.136911;775698;138024;138024;1726;1726;2208384;2208436;100.000;2418.807;2418.807;530.025;568.951;530.025;0.905;0.618;0.665;124.748;123.827;0.921;72.183;0.738;436.017;728.988;124.725;91.392;36.564;0;0;0;0;0;0;0;0
10;1;1;1;3094.821850;3095.265519;3095.266750;778020;138278;138278;1729;1729;2212448;2212500;100.000;1798.271;1798.271;531.000;569.994;531.000;1.227;0.548;0.596;129.839;128.608;1.231;48.415;0.948;443.669;825.494;129.529;96.196;40.291;0;0;0;0;0;0;0;0
11;1;1;1;3094.942096;3095.396084;3095.396968;778554;139114;139114;1739;1739;2225824;2225876;100.000;2526.701;2526.701;534.210;573.430;534.210;0.879;0.546;0.594;130.218;129.334;0.884;67.164;0.679;453.988;922.378;130.565;97.231;43.850;0;0;0;0;0;0;0;0
12;1;1;1;3095.065208;3095.527801;3095.529042;779986;140496;140496;1757;1757;2247936;2247988;100.000;1822.198;1822.198;539.517;579.143;539.517;1.237;0.484;0.539;132.074;130.833;1.241;43.465;0.940;462.592;1021.119;131.717;98.383;47.258;0;0;0;0;0;0;0;0
13;1;1;1;3095.196317;3095.655036;3095.656112;780926;142868;142868;1786;1786;2285888;2285940;100.000;2139.025;2139.025;548.626;588.905;548.626;1.072;0.640;0.689;127.070;125.994;1.076;64.044;0.847;458.719;1114.856;127.235;93.902;50.173;0;0;0;0;0;0;0;0
14;1;1;1;3095.325903;3095.772264;3095.773609;782770;144928;144928;1812;1812;2318848;2318900;100.000;1731.729;1731.729;556.536;597.402;556.536;1.340;0.645;0.695;117.497;116.152;1.345;51.690;1.144;446.362;1199.020;117.228;83.895;52.281;0;0;0;0;0;0;0;0
15;1;1;1;3095.458688;3095.900407;3095.901521;784474;146044;146044;1826;1826;2336704;2336756;100.000;2098.282;2098.282;560.821;602.004;560.821;1.110;0.575;0.625;127.913;126.798;1.114;56.114;0.871;441.719;1293.599;128.143;94.809;54.939;0;0;0;0;0;0;0;0
16;1;1;1;3095.584268;3096.024458;3096.025562;785193;145822;145822;1823;1823;2333152;2333204;100.000;2128.396;2128.396;559.969;601.083;559.969;1.099;0.532;0.582;124.040;122.936;1.104;52.735;0.890;440.190;1384.306;124.051;90.718;57.175;0;0;0;0;0;0;0;0
17;1;1;1;3095.703480;3096.146773;3096.148069;782720;144126;144126;1802;1802;2306016;2306068;100.000;1783.663;1783.663;553.456;594.097;553.456;1.291;0.582;0.632;122.508;121.212;1.296;48.735;1.058;443.294;1473.480;122.316;88.982;59.163;0;0;0;0;0;0;0;0
18;1;1;1;3095.832099;3096.269472;3096.270557;781613;141930;141930;1775;1775;2270880;2270932;100.000;2100.908;2100.908;545.024;585.055;545.024;1.081;0.587;0.643;122.488;121.402;1.085;59.267;0.886;437.372;1562.634;122.698;89.365;61.051;0;0;0;0;0;0;0;0
19;1;1;1;3095.956371;3096.394363;3096.395607;780006;139740;139740;1747;1747;2235840;2235892;100.000;1804.726;1804.726;536.614;576.014;536.614;1.240;0.543;0.591;125.050;123.806;1.244;47.531;0.995;437.992;1654.351;124.891;91.558;62.957;0;0;0;0;0;0;0;0
20;1;1;1;3096.078957;3096.515819;3096.516859;780302;138346;138346;1730;1730;2213536;2213588;100.000;2128.749;2128.749;531.261;570.277;531.261;1.037;0.522;0.570;121.253;120.212;1.041;54.738;0.858;436.861;1742.270;121.456;88.122;64.530;0;0;0;0;0;0;0;0
