frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;3093.682430;3094.141283;3094.142415;784142;178911;159140;146318;146318;1829;2341088;100.000;2069.405;561.874;603.123;22.816;88.949;18.660;0.000;93.964;0.703;1.132;62.146;458.853;459.985;459.984;1.132;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;3093.817741;3094.273995;3094.275264;783406;169393;156499;144182;144182;1803;2306912;100.000;1818.615;553.671;594.335;21.623;92.388;18.405;0.000;52.866;0.830;1.269;65.414;456.254;457.523;457.522;100.648;132.712;99.379;6.211;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;3093.947705;3094.401046;3094.402345;780200;164369;153953;141754;141754;1772;2268064;100.000;1747.349;544.348;584.312;21.068;93.663;18.169;0.000;60.469;0.640;1.299;49.285;453.341;454.639;454.639;194.395;127.051;93.718;11.680;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;3094.072564;3094.523472;3094.524769;778467;160176;150044;139430;139430;1743;2230880;100.000;1720.029;535.424;574.733;20.576;93.674;17.911;0.000;45.665;0.899;1.298;69.287;450.908;452.206;452.205;283.486;122.426;89.093;16.519;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;3094.205648;3094.648204;3094.649467;776427;157416;147596;137802;137802;1723;2204832;100.000;1747.303;529.172;568.031;20.274;93.762;17.748;0.000;42.751;0.713;1.262;56.450;442.556;443.819;443.818;374.851;124.733;91.399;21.199;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;3094.333056;3094.767642;3094.768698;774893;155704;146684;137230;137230;1716;2195680;100.000;2081.295;526.976;565.676;20.094;94.207;17.710;0.000;42.874;0.659;1.056;62.423;434.587;435.642;435.641;460.748;119.438;86.104;25.255;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;3094.455150;3094.890453;3094.895218;775949;155769;147285;137590;137590;1720;2201440;100.000;462.131;528.358;567.149;20.075;94.553;17.732;0.000;232.002;4.357;4.765;91.435;435.303;440.068;440.067;553.935;122.811;89.478;29.269;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;3094.579945;3095.012685;3095.017097;775463;154945;147291;137746;137746;1722;2203936;100.000;499.538;528.957;567.793;19.981;95.060;17.763;0.000;224.696;0.890;4.413;20.177;432.739;437.152;437.151;642.481;122.231;88.898;32.996;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.087266;0.000000;1.000000;3094.699974;3095.137027;3095.141391;775698;154624;147515;138024;138024;1726;2208384;100.000;506.106;530.025;568.951;19.934;95.402;17.794;0.000;188.014;3.896;4.364;89.261;437.053;441.418;441.417;733.442;124.342;91.009;36.622;1;75.250;75.250;309.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.087266;0.000000;1.000000;3094.821850;3095.265540;3095.276439;778020;153992;146840;138278;138278;1729;2212448;100.000;202.998;531.000;569.994;19.793;95.356;17.773;0.000;170.497;10.293;10.900;94.429;443.689;454.589;454.588;835.156;128.513;95.179;40.282;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.087266;0.000000;1.000000;3094.942096;3095.397708;3095.402007;778554;154581;147771;139114;139114;1739;2225824;100.000;517.805;534.210;573.430;19.855;95.595;17.868;0.000;160.993;3.855;4.300;89.667;455.612;459.912;459.911;927.391;132.168;98.835;43.941;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.087266;0.000000;1.000000;3095.065208;3095.529919;3095.534255;779986;155588;149026;140496;140496;1757;2247936;100.000;518.495;539.517;579.143;19.948;95.782;18.013;0.000;113.437;3.878;4.336;89.430;464.710;469.047;469.046;1026.305;132.211;98.878;47.375;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;0.087266;0.000000;1.000000;3095.196317;3095.655055;3095.656348;780926;157785;151108;142868;142868;1786;2285888;100.000;1768.497;548.626;588.905;20.205;95.768;18.295;0.000;67.198;0.889;1.293;68.722;458.738;460.032;460.031;1115.065;125.136;91.803;50.151;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.087266;0.000000;1.000000;3095.325903;3095.772284;3095.773636;782770;159421;153009;144928;144928;1812;2318848;100.000;1715.990;556.536;597.402;20.366;95.978;18.515;0.000;50.369;0.831;1.352;61.471;446.381;447.734;447.733;1199.020;117.229;83.896;52.260;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.087266;0.000000;1.000000;3095.458688;3095.900426;3095.901540;784474;159965;153314;146044;146044;1826;2336704;100.000;2098.928;560.821;602.004;20.391;95.842;18.617;0.000;60.269;0.722;1.114;64.770;441.738;442.852;442.851;1293.591;128.142;94.809;54.920;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.087266;0.000000;1.000000;3095.584268;3096.024476;3096.025582;785193;177968;156948;145822;145822;1823;2333152;100.000;2111.438;559.969;601.083;22.666;88.189;18.571;0.000;49.347;0.661;1.106;59.795;440.208;441.314;441.313;1384.299;124.049;90.716;57.157;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.087266;0.000000;1.000000;3095.703480;3096.146792;3096.148088;782720;169127;155796;144126;144126;1802;2306016;100.000;1780.105;553.456;594.097;21.608;92.118;18.413;0.000;58.779;0.619;1.296;47.741;443.312;444.608;444.608;1473.472;122.316;88.983;59.146;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.087266;0.000000;1.000000;3095.832099;3096.269490;3096.270576;781613;164376;152343;141930;141930;1775;2270880;100.000;2090.802;545.024;585.055;21.030;92.680;18.159;0.000;45.324;0.674;1.087;62.025;437.391;438.477;438.477;1562.627;122.698;89.364;61.035;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.087266;0.087266;1.000000;3095.956371;3096.394382;3096.395627;780006;160684;150225;139740;139740;1747;2235840;100.000;1798.153;536.614;576.014;20.600;93.491;17.915;0.000;44.791;0.635;1.244;51.071;438.011;439.255;439.255;1654.344;124.893;91.559;62.943;2;46.311;46.311;92.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.087266;0.087266;1.000000;3096.078957;3096.515838;3096.516878;780302;157894;148300;138346;138346;1730;2213536;100.000;2128.437;531.261;570.277;20.235;93.924;17.730;0.000;77.642;0.718;1.040;68.970;436.881;437.921;437.921;1742.262;121.456;88.122;64.516;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.087266;0.087266;1.000000;3096.200258;3096.644633;3096.645891;779066;156303;147479;137844;137844;1724;2205504;100.000;1754.178;529.333;568.214;20.063;94.355;17.693;0.000;48.923;0.594;1.258;47.191;444.375;445.632;445.632;1837.941;128.795;95.462;66.450;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.087266;0.087266;1.000000;3096.326465;3096.758641;3096.759695;778280;156434;148303;138092;138092;1727;2209472;100.000;2098.262;530.286;569.234;20.100;94.802;17.743;0.000;57.474;0.654;1.054;62.035;432.176;433.230;433.229;1918.412;114.008;80.675;67.339;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
23;1;1;0.087266;0.087266;1.000000;3096.447701;3096.882522;3096.883789;778907;155826;148511;138240;138240;1728;2211840;100.000;1747.734;530.854;569.825;20.006;95.306;17.748;0.000;53.169;0.846;1.266;66.788;434.821;436.088;436.087;2009.172;123.881;90.548;68.790;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
24;1;1;0.087266;0.087266;1.000000;3096.575122;3097.008794;3097.010220;779289;155133;147900;138556;138556;1732;2216896;100.000;1556.074;532.068;571.129;19.907;95.338;17.780;0.000;53.438;0.713;1.426;50.007;433.672;435.098;435.097;2102.270;126.272;92.939;70.299;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
25;1;1;-0.000000;0.087266;1.000000;3096.689950;3097.178124;3097.179164;779739;154951;148061;138952;138952;1737;2223232;100.000;2139.757;533.588;572.762;19.872;95.553;17.820;0.000;45.331;0.643;1.040;61.862;488.174;489.214;489.213;2237.881;169.330;135.996;74.405;3;76.625;76.625;121.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
26;1;1;-0.000000;0.087266;1.000000;3096.814387;3097.308549;3097.309789;779364;155091;148214;139454;139454;1744;2231264;100.000;1801.183;535.516;574.848;19.900;95.566;17.893;0.000;67.282;0.630;1.239;50.814;494.163;495.402;495.401;2335.172;130.425;97.092;75.823;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
27;1;1;-0.000000;0.087266;1.000000;3096.939987;3097.452977;3097.454027;780025;155666;148911;140520;140520;1757;2248320;100.000;2142.603;539.609;579.235;19.957;95.661;18.015;0.000;75.431;0.665;1.050;63.363;512.990;514.040;514.040;2446.078;144.428;111.095;78.028;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
28;1;1;-0.000000;0.087266;1.000000;3097.109654;3097.573874;3097.575163;780373;156450;150058;141820;141820;1773;2269120;100.000;1761.976;544.601;584.588;20.048;95.914;18.173;0.000;118.919;0.750;1.289;58.171;464.220;465.509;465.508;2533.880;120.897;87.563;78.624;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
29;1;1;-0.000000;0.087266;1.000000;3097.240324;3097.685579;3097.688915;781651;158178;151821;143812;143812;1798;2300992;100.000;690.002;552.251;592.801;20.236;95.981;18.398;0.000;96.543;0.844;3.335;25.296;445.255;448.590;448.590;2614.298;111.705;78.372;78.608;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
