frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;7547.149028;7547.151198;0.000;784142;9802;12546272;12546272;2278.602;2278.602;3011.115;3204.009;3011.115;2.759;2.170;5.506;1.260;10.435;10.436;99.997;79.207;1589;0;1589;50100;0
2;1;1;1;0;0.000;7547.182744;7547.185169;33.971;783406;9793;12534496;12534496;1714.388;1714.388;3008.289;3201.005;3008.289;3.142;2.424;7.311;2.104;12.877;12.878;99.998;81.172;1377;0;1377;42979;0
3;1;1;1;0;0.000;7547.217325;7547.221182;36.013;780200;9753;12483200;12483200;1607.779;1607.779;2995.978;3187.907;2995.978;4.388;3.857;7.764;2.241;16.010;16.010;99.998;75.905;0;0;0;0;0
4;1;1;1;0;0.000;7547.251651;7547.255673;34.491;778467;9731;12455472;12455472;1944.923;1944.923;2989.323;3180.819;2989.323;5.380;4.022;6.404;1.804;15.806;15.807;99.995;74.552;900;0;900;27872;0
5;1;1;1;0;0.000;7547.283048;7547.285879;30.206;776427;9706;12422832;12422832;1573.550;1573.550;2981.489;3172.494;2981.489;3.445;2.831;7.895;2.160;14.171;14.171;99.999;80.022;0;0;0;0;0
6;1;1;1;0;0.000;7547.318169;7547.321445;35.566;774893;9687;12398288;12398288;1599.249;1599.249;2975.599;3166.229;2975.599;5.232;3.276;7.753;2.213;16.261;16.261;99.997;79.852;0;0;0;0;0
7;1;1;1;0;0.000;7547.351602;7547.355836;34.391;775949;9700;12415184;12415184;1856.823;1856.823;2979.654;3170.540;2979.654;5.331;4.234;6.686;2.013;16.251;16.252;99.998;73.945;951;0;951;29312;0
8;1;1;1;0;0.000;7547.382887;7547.388521;32.685;775463;9694;12407408;12407408;1412.944;1412.944;2977.788;3168.556;2977.788;3.284;5.634;8.781;2.724;17.699;17.699;99.999;68.169;0;0;0;0;0
9;1;1;1;0;0.000;7547.418264;7547.422968;34.447;775698;9697;12411168;12411168;1423.903;1423.903;2978.690;3169.517;2978.690;5.326;4.704;8.716;2.429;18.746;18.746;99.999;74.908;0;0;0;0;0
10;1;1;1;0;0.000;7547.449550;7547.452725;29.757;778020;9726;12448320;12448320;1262.453;1262.453;2987.606;3179.004;2987.606;3.280;3.175;9.860;2.968;16.316;16.316;99.998;80.537;0;0;0;0;0
11;1;1;1;0;0.000;7547.482936;7547.486793;34.068;778554;9732;12456864;12456864;1151.995;1151.995;2989.657;3181.173;2989.657;3.333;3.857;10.813;3.013;18.003;18.003;99.999;78.577;465;0;465;13760;0
12;1;1;1;0;0.000;7547.516200;7547.518600;31.807;779986;9750;12479776;12479776;1118.167;1118.167;2995.156;3187.026;2995.156;3.264;2.400;11.161;2.917;16.825;16.825;100.000;85.736;1515;0;1515;48140;0
