filename;status;num_points;read_ascii_ms;write_bin_ms;conversion_ms;size_ascii_bytes;size_bin_bytes
loot_vox10_1000.ply;success;784142;5883.482;11.125;5916.155;17022340;12546272
loot_vox10_1001.ply;success;783406;5594.675;11.588;5629.320;17009434;12534496
loot_vox10_1002.ply;success;780200;5648.771;7.346;5692.858;16946375;12483200
loot_vox10_1003.ply;success;778467;7291.755;4.285;7312.856;16910359;12455472
loot_vox10_1004.ply;success;776427;6537.615;4.843;6562.519;16869720;12422832
loot_vox10_1005.ply;success;774893;6814.964;5.114;6839.506;16838429;12398288
loot_vox10_1006.ply;success;775949;8614.324;9.293;8652.726;16866100;12415184
loot_vox10_1007.ply;success;775463;8259.923;4.902;8282.784;16857280;12407408
loot_vox10_1008.ply;success;775698;6898.381;4.523;6928.433;16859920;12411168
loot_vox10_1009.ply;success;778020;7156.463;5.492;7182.290;16906066;12448320
loot_vox10_1010.ply;success;778554;6687.802;11.457;6716.392;16911987;12456864
loot_vox10_1011.ply;success;779986;6817.015;5.117;6840.312;16940235;12479776
loot_vox10_1012.ply;success;780926;6742.945;11.399;6772.177;16957472;12494816
loot_vox10_1013.ply;success;782770;7288.123;14.974;7321.967;16993881;12524320
loot_vox10_1014.ply;success;784474;6813.640;15.882;6848.109;17030175;12551584
loot_vox10_1015.ply;success;785193;6804.301;7.998;6829.333;17051770;12563088
loot_vox10_1016.ply;success;782720;7884.430;5.868;7908.575;17005104;12523520
loot_vox10_1017.ply;success;781613;6862.842;12.460;6911.020;16985919;12505808
loot_vox10_1018.ply;success;780006;6932.586;9.092;6971.680;16954019;12480096
loot_vox10_1019.ply;success;780302;7386.871;6.298;7413.059;16959764;12484832
loot_vox10_1020.ply;success;779066;7086.862;7.259;7111.386;16932898;12465056
loot_vox10_1021.ply;success;778280;7294.615;8.603;7339.367;16914966;12452480
loot_vox10_1022.ply;success;778907;6866.853;7.348;6893.161;16930031;12462512
loot_vox10_1023.ply;success;779289;7067.830;7.369;7104.692;16936405;12468624
loot_vox10_1024.ply;success;779739;8767.483;4.045;8790.027;16944071;12475824
loot_vox10_1025.ply;success;779364;6832.189;7.864;6858.889;16932512;12469824
loot_vox10_1026.ply;success;780025;6814.185;5.209;6838.960;16942034;12480400
loot_vox10_1027.ply;success;780373;6681.031;23.298;6733.203;16944588;12485968
loot_vox10_1028.ply;success;781651;6998.873;15.430;7031.703;16965623;12506416
loot_vox10_1029.ply;success;781375;6774.139;15.420;6811.894;16959141;12502000
loot_vox10_1030.ply;success;784392;6813.805;7.112;6848.659;17028344;12550272
loot_vox10_1031.ply;success;782671;7151.062;8.815;7172.911;16996664;12522736
loot_vox10_1032.ply;success;776999;8250.849;6.600;8274.587;16884092;12431984
loot_vox10_1033.ply;success;778650;7804.991;5.953;7828.519;16927220;12458400
loot_vox10_1034.ply;success;778007;7082.640;8.117;7107.363;16916372;12448112
loot_vox10_1035.ply;success;776483;7131.167;8.600;7156.115;16888887;12423728
loot_vox10_1036.ply;success;781287;6553.771;7.740;6578.818;16991794;12500592
loot_vox10_1037.ply;success;780329;6721.231;4.136;6742.617;16972467;12485264
loot_vox10_1038.ply;success;780785;6611.132;5.407;6632.685;16989544;12492560
loot_vox10_1039.ply;success;785430;6710.436;4.681;6732.310;17100951;12566880
loot_vox10_1040.ply;success;789479;6778.693;16.002;6814.404;17193515;12631664
loot_vox10_1041.ply;success;789348;7013.841;51.662;7109.855;17198937;12629568
loot_vox10_1042.ply;success;792714;8186.796;4.171;8210.971;17276449;12683424
loot_vox10_1043.ply;success;790865;6693.136;5.185;6714.214;17237789;12653840
loot_vox10_1044.ply;success;787976;7025.044;14.186;7056.879;17175348;12607616
loot_vox10_1045.ply;success;789717;7158.743;8.167;7184.215;17210097;12635472
loot_vox10_1046.ply;success;784950;6876.495;6.867;6900.590;17104293;12559200
loot_vox10_1047.ply;success;781130;6848.006;7.912;6873.091;17009458;12498080
loot_vox10_1048.ply;success;780468;6734.540;7.886;6759.600;16970852;12487488
loot_vox10_1049.ply;success;783376;6810.055;9.763;6837.506;17004773;12534016
loot_vox10_1050.ply;success;787237;8081.022;4.758;8108.315;17048951;12595792
loot_vox10_1051.ply;success;787734;6941.163;4.211;6963.777;17025675;12603744
loot_vox10_1052.ply;success;787059;7114.723;7.515;7139.950;16986744;12592944
loot_vox10_1053.ply;success;786051;6824.351;16.653;6860.745;16943505;12576816
loot_vox10_1054.ply;success;796213;7038.734;8.904;7061.166;17138629;12739408
loot_vox10_1055.ply;success;790191;6863.265;9.249;6892.295;16979965;12643056
loot_vox10_1056.ply;success;798808;8673.842;8.997;8714.949;17135283;12780928
loot_vox10_1057.ply;success;797924;7144.634;7.003;7169.929;17088805;12766784
loot_vox10_1058.ply;success;794477;7210.467;8.043;7235.846;16992331;12711632
loot_vox10_1059.ply;success;789053;6876.496;8.225;6905.294;16856125;12624848
loot_vox10_1060.ply;success;783874;6926.926;6.234;6950.856;16725081;12541984
loot_vox10_1061.ply;success;782785;6759.286;5.573;6782.666;16687436;12524560
loot_vox10_1062.ply;success;782791;6835.938;6.562;6860.749;16673328;12524656
loot_vox10_1063.ply;success;782127;6785.335;5.491;6808.604;16638502;12514032
loot_vox10_1064.ply;success;785507;7226.286;5.527;7250.252;16680175;12568112
loot_vox10_1065.ply;success;789017;7099.924;15.900;7134.013;16730047;12624272
loot_vox10_1066.ply;success;789641;6816.919;7.075;6842.560;16731042;12634256
loot_vox10_1067.ply;success;784718;6953.559;7.612;6978.880;16630640;12555488
loot_vox10_1068.ply;success;778159;6827.935;5.461;6853.754;16499618;12450544
loot_vox10_1069.ply;success;776327;6753.370;16.320;6787.066;16464474;12421232
loot_vox10_1070.ply;success;786883;6839.709;5.880;6866.728;16679754;12590128
loot_vox10_1071.ply;success;787146;6899.235;4.240;6920.601;16678052;12594336
loot_vox10_1072.ply;success;781047;6780.011;6.658;6804.277;16552319;12496752
loot_vox10_1073.ply;success;782459;6761.828;7.599;6786.683;16585369;12519344
loot_vox10_1074.ply;success;781579;7053.784;4.602;7076.823;16569132;12505264
loot_vox10_1075.ply;success;784181;6914.292;6.707;6940.266;16621361;12546896
loot_vox10_1076.ply;success;782861;6983.918;6.200;7022.825;16596744;12525776
loot_vox10_1077.ply;success;779451;7504.398;5.525;7530.047;16530063;12471216
loot_vox10_1078.ply;success;784719;6816.235;4.894;6838.455;16640658;12555504
loot_vox10_1079.ply;success;780701;6876.492;5.257;6900.334;16557501;12491216
loot_vox10_1080.ply;success;785754;7151.578;6.805;7178.359;16655254;12572064
loot_vox10_1081.ply;success;783308;6951.208;4.570;6973.231;16597850;12532928
loot_vox10_1082.ply;success;782737;7225.888;5.421;7248.369;16577535;12523792
loot_vox10_1083.ply;success;781874;6862.453;4.581;6885.145;16553610;12509984
loot_vox10_1084.ply;success;780545;7125.802;4.534;7148.837;16523318;12488720
loot_vox10_1085.ply;success;778343;7140.115;11.883;7175.474;16477856;12453488
loot_vox10_1086.ply;success;778458;7200.685;9.974;7230.934;16479881;12455328
loot_vox10_1087.ply;success;778592;7076.992;22.029;7126.052;16480435;12457472
loot_vox10_1088.ply;success;779952;6970.190;6.672;6994.727;16501669;12479232
loot_vox10_1089.ply;success;779674;6930.499;5.087;6953.018;16490417;12474784
loot_vox10_1090.ply;success;781083;7348.854;8.554;7375.710;16514872;12497328
loot_vox10_1091.ply;success;780537;6971.411;15.151;7004.745;16504714;12488592
loot_vox10_1092.ply;success;773046;7102.476;10.801;7154.427;16357960;12368736
loot_vox10_1093.ply;success;770822;8233.092;7.624;8260.948;16321120;12333152
loot_vox10_1094.ply;success;778859;6853.723;8.047;6890.566;16488300;12461744
loot_vox10_1095.ply;success;778333;6942.805;5.377;6965.659;16477405;12453328
loot_vox10_1096.ply;success;782798;6972.399;7.876;6994.277;16573831;12524768
loot_vox10_1097.ply;success;781418;6881.809;7.002;6906.170;16538809;12502688
loot_vox10_1098.ply;success;777382;6834.038;5.213;6866.682;16449729;12438112
loot_vox10_1099.ply;success;778267;6928.522;6.862;6953.586;16473212;12452272
loot_vox10_1100.ply;success;780699;6978.975;7.958;7004.866;16524191;12491184
loot_vox10_1101.ply;success;780328;8016.645;5.383;8040.384;16504733;12485248
loot_vox10_1102.ply;success;782351;10344.608;5.163;10367.713;16536682;12517616
loot_vox10_1103.ply;success;782164;8780.111;8.002;8815.012;16531853;12514624
loot_vox10_1104.ply;success;783021;7143.530;6.344;7168.057;16550489;12528336
loot_vox10_1105.ply;success;786829;7040.336;15.863;7076.960;16626449;12589264
loot_vox10_1106.ply;success;789365;6857.843;12.668;6894.665;16680480;12629840
loot_vox10_1107.ply;success;790807;6781.892;14.410;6820.604;16710461;12652912
loot_vox10_1108.ply;success;789334;7237.769;31.377;7302.247;16683413;12629344
loot_vox10_1109.ply;success;783753;7409.128;9.223;7453.243;16575562;12540048
