frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2799.153300;2799.209804;2799.335887;784142;142128;146318;108;1829;142128;154656;100.000;354.624;385.644;561.874;603.123;37.117;178911;159140;146318;0.212;0.125;0.079;3.327;1.529;0.085;29.860;28.251;126.049;126.082;124.533;23.683;22.686;1.608;0.217;1.087;56.504;182.587;126.082;0.000;0.000;0.000;0.000;0.034;0.000;58;25.003;121.171;7;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2799.186900;2799.237231;2799.376141;783406;28952;144182;22;1803;28952;31504;100.000;1257.047;1363.705;553.671;594.335;7.561;169393;156499;144182;0.211;0.125;0.078;2.060;0.998;0.065;45.105;44.029;118.408;138.910;137.890;32.471;31.930;1.380;0.188;0.077;50.330;189.240;133.003;27.426;5.907;0.369;0.000;20.502;0.000;31;42.047;115.327;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2799.222534;2799.278552;2799.408092;780200;22936;141754;18;1772;22936;25024;100.000;0.828;0.900;544.348;584.312;6.006;164369;153953;141754;0.197;0.117;0.072;2.403;1.383;0.355;34.999;33.544;129.516;129.540;128.129;27.018;26.180;1.687;0.221;0.109;56.018;185.558;131.621;41.321;7.988;0.845;0.000;0.024;0.001;10;31.213;125.700;6;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2799.255183;2799.306409;2799.447591;778467;22560;139430;18;1743;22560;24648;100.000;0.648;0.705;535.424;574.733;5.916;160176;150044;139430;0.206;0.120;0.075;2.498;0.926;0.057;43.286;42.286;141.157;141.182;140.234;30.660;30.154;1.703;0.287;0.108;51.226;192.408;137.787;27.857;5.476;1.135;0.000;0.025;0.001;9;39.863;137.710;4;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2799.287651;2799.341385;2799.484579;776427;22184;137802;17;1723;22184;24156;100.000;0.637;0.691;529.172;568.031;5.797;157416;147596;137802;0.204;0.116;0.072;2.153;1.339;0.466;40.413;39.003;140.165;143.193;141.838;28.223;27.498;1.380;0.180;0.202;53.734;196.928;141.441;34.976;1.643;1.167;0.000;3.028;0.000;17;36.921;136.655;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2799.323069;2799.376408;2799.514494;774893;24440;137230;19;1716;24440;26644;100.000;0.624;0.677;526.976;565.676;6.395;155704;146684;137230;0.207;0.118;0.074;2.512;1.019;0.059;33.392;32.299;138.077;138.087;137.038;24.182;23.570;1.725;0.290;0.099;53.338;191.425;138.023;35.023;1.689;1.199;0.000;0.010;0.000;15;29.861;134.515;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2799.355352;2799.415791;2799.542458;775949;25004;137590;19;1720;25004;27208;100.000;707.908;767.605;528.358;567.149;6.530;155769;147285;137590;0.197;0.117;0.072;2.172;1.266;0.354;31.500;30.162;126.651;126.667;125.380;24.868;24.056;1.520;0.181;0.086;60.439;187.106;132.653;39.383;6.050;1.502;0.000;0.016;0.000;10;28.062;123.190;3;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;2799.389246;2799.449507;2799.582924;775463;26508;137746;21;1722;26508;28944;100.000;0.838;0.912;528.957;567.793;6.947;154945;147291;137746;0.488;0.111;0.068;3.004;0.967;0.057;43.896;42.861;133.390;133.417;132.424;32.901;32.367;1.414;0.183;0.741;60.261;193.678;139.786;33.716;0.383;1.432;0.000;0.027;0.000;12;39.925;129.392;3;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;2799.420268;2799.481300;2799.614043;775698;26132;138024;20;1726;26132;28452;100.000;0.906;0.983;530.025;568.951;6.828;154624;147515;138024;0.201;0.111;0.070;2.204;1.328;0.087;35.081;33.684;132.720;132.744;131.389;26.428;25.637;1.442;0.281;0.100;61.032;193.776;137.572;31.793;1.540;1.439;0.000;0.024;0.000;11;31.549;129.154;3;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;2799.454080;2799.510299;2799.640892;778020;25568;138278;20;1729;25568;27888;100.000;0.634;0.689;531.000;569.994;6.693;153992;146840;138278;0.185;0.108;0.066;2.277;1.311;0.223;30.386;29.010;130.570;130.592;129.263;23.268;22.443;1.622;0.196;0.100;56.220;186.812;131.087;29.000;4.334;1.620;0.000;0.022;0.000;12;26.798;126.962;3;0;0;0;0;0;0;0
