frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;7547.149028;7547.151319;7547.184416;7547.236429;784142;784142;784142;9802;108;12546272;12546312;100.000;919.340;919.340;34.087;37.435;3011.115;10.480;0.000;0.000;13.232;6.174;0.003;29.886;29.886;71.463;85.111;33.097;35.114;90.296;1.617;0.949;0.508;1.389;8.769;2.291;87.401;85.111;0.000;0.000;0.000;0.000;0.013;0.031;13.248;0.397;0;1;29.343;29.344;nan;nan;nan;141940;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;7547.182744;7547.185957;7547.215332;7547.236466;783406;783406;783406;9793;22;12534496;12534536;100.000;856.714;856.714;6.970;7.635;3008.289;2.848;0.000;0.000;4.297;10.026;0.000;17.171;17.171;35.878;50.509;29.375;33.996;58.453;1.463;0.904;0.507;1.395;0.028;3.212;53.722;51.814;34.638;1.305;0.082;1.305;0.014;0.407;11.013;0.330;0;2;31.120;31.121;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;7547.217325;7547.222010;7547.249850;7547.307503;780200;780200;780200;9753;18;12483200;12483240;100.000;796.289;796.289;5.526;6.066;2995.978;3.664;0.000;0.000;4.329;7.457;0.002;15.449;15.449;69.817;85.494;27.840;18.071;55.493;1.480;0.911;0.521;1.391;0.026;4.685;90.179;89.518;36.053;2.720;0.246;2.720;0.002;0.375;9.344;0.280;0;1;33.296;33.297;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;7547.251651;7547.256366;7547.283491;7547.334656;778467;778467;778467;9731;18;12455472;12455512;100.000;880.817;880.817;5.481;6.021;2989.323;3.113;0.000;0.000;5.165;7.015;0.002;15.293;15.293;64.150;78.291;27.125;19.533;56.378;2.316;0.900;0.504;1.419;0.027;4.714;83.005;83.338;34.356;1.022;0.295;1.022;0.002;0.801;8.302;0.249;0;2;31.024;31.026;nan;nan;nan;22748;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;7547.283048;7547.286552;7547.313492;7547.375863;776427;776427;776427;9706;17;12422832;12422872;100.000;782.449;782.449;5.345;5.855;2981.489;3.523;0.000;0.000;5.054;5.947;0.001;14.524;14.524;73.433;89.311;26.940;16.262;53.912;2.230;0.886;0.513;1.394;0.031;3.504;92.814;91.211;30.186;3.147;0.473;3.147;0.002;0.059;5.065;0.152;0;2;27.107;27.108;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;7547.318169;7547.322265;7547.350648;7547.404409;774893;774893;774893;9687;19;12398288;12398328;100.000;792.121;792.121;5.887;6.458;2975.599;3.618;0.000;0.000;4.441;8.021;0.001;16.080;16.080;66.492;82.144;28.383;19.575;56.652;1.589;0.906;0.523;1.395;0.028;4.096;86.240;86.423;35.713;2.379;0.592;2.379;0.002;0.267;4.912;0.147;0;1;33.233;33.234;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;7547.351602;7547.356580;7547.383036;7547.444805;775949;775949;775949;9700;19;12415184;12415224;100.000;824.111;824.111;5.977;6.549;2979.654;3.169;0.000;0.000;4.199;6.330;0.001;13.698;13.698;73.160;88.225;26.456;15.526;51.775;1.482;0.820;0.478;1.394;0.026;4.978;93.203;93.486;34.315;0.982;0.617;0.982;0.002;0.860;4.737;0.142;0;2;27.698;27.700;nan;nan;nan;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;7547.382887;7547.389723;7547.420016;7547.476953;775463;775463;775463;9694;20;12407408;12407448;100.000;757.953;757.953;6.248;6.851;2977.788;3.923;0.000;0.000;4.757;8.207;0.001;16.887;16.887;70.860;87.230;30.293;19.359;55.746;1.991;0.843;0.513;1.387;0.022;6.836;94.066;92.301;33.144;0.190;0.590;0.190;0.002;0.957;4.744;0.142;0;1;32.993;32.994;nan;nan;nan;25944;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;7547.418264;7547.424004;7547.451298;7547.512923;775698;775698;775698;9697;20;12411168;12411208;100.000;749.220;749.220;6.248;6.851;2978.690;4.162;0.000;0.000;4.217;6.433;0.001;14.811;14.811;72.353;88.919;27.295;16.657;54.265;1.489;0.832;0.478;1.393;0.026;5.740;94.659;94.937;34.280;0.947;0.612;0.947;0.002;0.077;4.615;0.138;0;2;32.084;32.085;nan;nan;nan;25944;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;7547.449550;7547.453928;7547.485962;7547.544355;778020;778020;778020;9726;20;12448320;12448360;100.000;691.292;691.292;6.112;6.715;2987.606;3.928;0.000;0.000;4.984;8.016;0.001;16.928;16.928;72.420;90.428;32.035;18.720;52.843;2.210;0.842;0.481;1.419;0.031;4.378;94.806;93.037;29.924;3.409;0.787;3.409;0.003;1.023;4.713;0.141;0;2;34.974;34.975;nan;nan;nan;25380;1;0;0;0;0;0;0
