frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2799.153300;2799.155512;2799.169085;784142;784142;784142;9802;9802;12546272;12546312;100.000;1405.869;1405.869;3011.115;3382.797;3011.115;13.556;0.750;9.456;5.598;2.628;13.573;0.000;13.573;69.671;100.000;2.212;13.573;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2799.186900;2799.190253;2799.204139;783406;783406;783406;9793;9793;12534496;12534536;100.000;1354.048;1354.048;3008.289;3379.630;3008.289;13.870;0.768;9.429;5.582;2.597;35.054;21.169;13.885;67.903;39.612;3.353;15.293;34.741;1.408;0.088;0;0;0;0;0;0;0;0
3;1;1;1;2799.222534;2799.226109;2799.241292;780200;780200;780200;9753;9753;12483200;12483240;100.000;1182.593;1182.593;2995.978;3365.802;2995.978;15.162;1.246;10.003;5.615;2.603;37.153;21.970;15.183;65.879;40.867;3.575;19.113;35.855;2.522;0.240;0;0;0;0;0;0;0;0
4;1;1;1;2799.255183;2799.259189;2799.273577;778467;778467;778467;9731;9731;12455472;12455512;100.000;1323.730;1323.730;2989.323;3358.313;2989.323;14.368;0.887;9.936;5.773;2.773;32.285;17.897;14.389;69.053;44.567;4.006;18.065;33.080;0.253;0.241;0;0;0;0;0;0;0;0
5;1;1;1;2799.287651;2799.292364;2799.307809;776427;776427;776427;9706;9706;12422832;12422872;100.000;1153.210;1153.210;2981.489;3349.531;2981.489;15.429;1.013;9.806;5.591;2.652;34.232;18.787;15.445;63.492;45.118;4.713;18.963;33.175;0.158;0.236;0;0;0;0;0;0;0;0
6;1;1;1;2799.323069;2799.327214;2799.342637;774893;774893;774893;9687;9687;12398288;12398328;100.000;1146.080;1146.080;2975.599;3342.920;2975.599;15.406;1.247;9.936;5.567;2.575;34.828;19.406;15.423;64.425;44.282;4.145;20.458;34.850;1.517;0.316;0;0;0;0;0;0;0;0
7;1;1;1;2799.355352;2799.361216;2799.377183;775949;775949;775949;9700;9700;12415184;12415224;100.000;1143.743;1143.743;2979.654;3347.468;2979.654;15.950;1.361;10.383;5.771;2.630;34.545;18.579;15.967;65.025;46.220;5.864;21.671;34.001;0.668;0.338;0;0;0;0;0;0;0;0
8;1;1;1;2799.389246;2799.395458;2799.411433;775463;775463;775463;9694;9694;12407408;12407448;100.000;1091.517;1091.517;2977.788;3345.374;2977.788;15.935;0.976;9.795;5.602;2.596;34.250;18.275;15.975;61.312;46.642;6.212;22.587;34.242;0.908;0.373;0;0;0;0;0;0;0;0
9;1;1;1;2799.420268;2799.423551;2799.443549;775698;775698;775698;9697;9697;12411168;12411208;100.000;814.303;814.303;2978.690;3346.391;2978.690;19.964;1.874;11.941;6.606;2.667;32.117;12.118;19.999;59.709;62.269;3.283;21.370;28.093;5.240;0.678;0;0;0;0;0;0;0;0
10;1;1;1;2799.454080;2799.457640;2799.476283;778020;778020;778020;9726;9726;12448320;12448360;100.000;910.046;910.046;2987.606;3356.407;2987.606;18.606;1.321;11.352;6.469;2.809;32.734;14.091;18.643;60.894;56.953;3.560;20.771;34.089;0.756;0.683;0;0;0;0;0;0;0;0
11;1;1;1;2799.487077;2799.492229;2799.510554;778554;778554;778554;9732;9732;12456864;12456904;100.000;921.852;921.852;2989.657;3358.685;2989.657;18.292;1.346;10.897;6.111;2.689;34.271;15.946;18.325;59.468;53.470;5.152;21.709;34.589;1.256;0.718;0;0;0;0;0;0;0;0
12;1;1;1;2799.522190;2799.527847;2799.545800;779986;779986;779986;9750;9750;12479776;12479816;100.000;949.575;949.575;2995.156;3364.866;2995.156;17.927;1.849;11.291;6.064;2.699;35.246;17.292;17.954;62.891;50.938;5.657;23.622;35.617;2.284;0.816;0;0;0;0;0;0;0;0
13;1;1;1;2799.553537;2799.556562;2799.576717;780926;780926;780926;9762;9762;12494816;12494856;100.000;815.842;815.842;2998.765;3368.931;2998.765;20.139;1.573;11.828;6.726;2.742;30.916;10.761;20.155;58.685;65.193;3.024;21.204;28.715;4.618;1.054;0;0;0;0;0;0;0;0
14;1;1;1;2799.586992;2799.591996;2799.610937;782770;782770;782770;9785;9785;12524320;12524360;100.000;886.185;886.185;3005.846;3376.884;3005.846;18.919;2.010;11.560;6.142;2.676;34.220;15.280;18.941;61.034;55.349;5.004;22.091;35.435;2.102;1.119;0;0;0;0;0;0;0;0
15;1;1;1;2799.622851;2799.628594;2799.646312;784474;784474;784474;9806;9806;12551584;12551624;100.000;960.908;960.908;3012.390;3384.224;3012.390;17.688;1.091;10.474;6.072;2.620;35.375;17.657;17.718;59.113;50.086;5.743;24.133;36.598;3.264;1.253;0;0;0;0;0;0;0;0
16;1;1;1;2799.653713;2799.656638;2799.676829;785193;785193;785193;9815;9815;12563088;12563128;100.000;822.286;822.286;3015.151;3387.326;3015.151;20.175;1.584;11.994;6.806;2.800;30.517;10.326;20.191;59.403;66.164;2.925;21.317;28.044;5.290;1.506;0;0;0;0;0;0;0;0
17;1;1;1;2799.687103;2799.690899;2799.711411;782720;782720;782720;9784;9784;12523520;12523560;100.000;816.862;816.862;3005.654;3376.654;3005.654;20.464;1.992;12.254;6.731;2.695;34.582;14.070;20.512;59.741;59.314;3.795;22.565;34.261;0.928;1.470;0;0;0;0;0;0;0;0
