frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;7547.149028;7547.336681;7547.337893;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1932.750;1932.750;561.874;606.635;561.874;1.210;0.509;0.549;1.213;0.000;1.213;45.288;100.000;187.653;1.213;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;7547.182744;7547.364700;7547.366815;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;1092.576;1092.576;553.671;597.796;553.671;2.111;0.518;0.557;28.922;26.807;2.115;26.350;7.312;181.956;-3.199;28.020;5.314;0.332;0;0;0;0;0;0;0;0
3;1;1;1;7547.217325;7547.406755;7547.408390;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1389.051;1389.051;544.348;587.714;544.348;1.632;0.592;0.634;41.575;39.941;1.635;38.780;3.932;189.431;5.043;42.055;8.722;0.856;0;0;0;0;0;0;0;0
4;1;1;1;7547.251651;7547.433582;7547.435330;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;1280.504;1280.504;535.424;578.080;535.424;1.744;0.519;0.559;26.940;25.192;1.748;31.977;6.487;181.931;-1.351;26.827;6.507;1.210;0;0;0;0;0;0;0;0
5;1;1;1;7547.283048;7547.479061;7547.480672;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1374.237;1374.237;529.172;571.339;529.172;1.608;0.481;0.524;45.342;43.731;1.611;32.506;3.553;196.013;10.658;45.479;12.145;1.893;0;0;0;0;0;0;0;0
6;1;1;1;7547.318169;7547.508935;7547.510374;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;1530.083;1530.083;526.976;568.971;526.976;1.435;0.574;0.611;29.702;28.263;1.439;42.449;4.845;190.766;7.026;29.874;3.460;1.991;0;0;0;0;0;0;0;0
7;1;1;1;7547.351602;7547.544758;7547.546089;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1659.304;1659.304;528.358;570.451;528.358;1.329;0.471;0.511;35.716;34.384;1.332;38.364;3.728;193.156;9.409;35.823;2.490;2.022;0;0;0;0;0;0;0;0
8;1;1;1;7547.382887;7547.575748;7547.577084;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;1657.685;1657.685;528.957;571.099;528.957;1.324;0.558;0.603;30.995;29.658;1.336;45.107;4.312;192.861;7.070;30.990;2.343;2.042;0;0;0;0;0;0;0;0
9;1;1;1;7547.418264;7547.612521;7547.613911;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;1598.511;1598.511;530.025;572.265;530.025;1.386;0.678;0.724;36.827;35.437;1.390;52.119;3.774;194.257;10.563;36.773;3.440;2.130;0;0;0;0;0;0;0;0
10;1;1;1;7547.449550;7547.646438;7547.648159;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1286.017;1286.017;531.000;573.313;531.000;1.718;0.522;0.563;34.248;32.527;1.721;32.716;5.025;196.888;11.478;33.917;0.584;2.033;0;0;0;0;0;0;0;0
11;1;1;1;7547.482936;7547.676882;7547.678304;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;1568.269;1568.269;534.210;576.768;534.210;1.419;0.549;0.588;30.145;28.723;1.422;41.351;4.718;193.945;8.290;30.444;2.890;2.087;0;0;0;0;0;0;0;0
12;1;1;1;7547.516200;7547.711809;7547.712949;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1983.290;1983.290;539.517;582.516;539.517;1.137;0.465;0.503;34.645;33.505;1.140;44.095;3.292;195.609;9.602;34.927;1.594;2.056;0;0;0;0;0;0;0;0
13;1;1;1;7547.549273;7547.745266;7547.746329;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;2165.536;2165.536;548.626;592.334;548.626;1.059;0.493;0.544;33.380;32.317;1.063;51.199;3.184;195.993;9.648;33.457;0.124;1.935;0;0;0;0;0;0;0;0
14;1;1;1;7547.582735;7547.776860;7547.778682;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;1278.572;1278.572;556.536;600.881;556.536;1.815;0.964;1.040;32.353;30.531;1.822;57.096;5.630;194.125;8.668;31.594;1.739;1.923;0;0;0;0;0;0;0;0
15;1;1;1;7547.616941;7547.811523;7547.812636;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;2100.275;2100.275;560.821;605.509;560.821;1.110;0.512;0.564;33.954;32.841;1.113;50.644;3.278;194.582;9.289;34.663;1.329;1.886;0;0;0;0;0;0;0;0
16;1;1;1;7547.649863;7547.843096;7547.844247;785193;145822;145822;0;0;1823;1823;2333152;2333204;100.000;2040.492;2040.492;559.969;604.584;559.969;1.148;0.421;0.459;31.611;30.460;1.151;39.891;3.643;193.233;7.567;31.573;1.760;1.878;0;0;0;0;0;0;0;0
17;1;1;1;7547.682525;7547.878776;7547.880415;782720;144126;144126;0;0;1802;1802;2306016;2306068;100.000;1410.430;1410.430;553.456;597.557;553.456;1.636;0.555;0.599;36.167;34.529;1.639;36.581;4.530;196.251;10.401;35.680;2.347;1.907;0;0;0;0;0;0;0;0
18;1;1;1;7547.716261;7547.909735;7547.911084;781613;141930;141930;0;0;1775;1775;2270880;2270932;100.000;1687.341;1687.341;545.024;588.463;545.024;1.346;0.502;0.540;30.669;29.320;1.350;40.012;4.401;193.473;7.737;30.958;2.375;1.936;0;0;0;0;0;0;0;0
19;1;1;1;7547.749437;7547.945969;7547.947220;780006;139740;139740;0;0;1747;1747;2235840;2235892;100.000;1794.438;1794.438;536.614;579.368;536.614;1.248;0.524;0.565;36.136;34.885;1.251;45.161;3.462;196.532;10.540;36.235;2.901;1.997;0;0;0;0;0;0;0;0
20;1;1;1;7547.782511;7547.977022;7547.978107;780302;138346;138346;0;0;1730;1730;2213536;2213588;100.000;2042.952;2042.952;531.261;573.599;531.261;1.080;0.471;0.509;30.886;29.802;1.084;46.988;3.510;194.512;8.093;31.053;2.280;2.014;0;0;0;0;0;0;0;0
21;1;1;1;7547.816107;7548.010843;7548.012017;779066;137844;137844;0;0;1724;1724;2205504;2205556;100.000;1886.349;1886.349;529.333;571.524;529.333;1.171;0.467;0.510;33.911;32.737;1.174;43.461;3.463;194.736;8.670;33.821;0.488;1.919;0;0;0;0;0;0;0;0
22;1;1;1;7547.849524;7548.040854;7548.042284;778280;138092;138092;0;0;1727;1727;2209472;2209524;100.000;1551.231;1551.231;530.286;572.550;530.286;1.427;0.636;0.674;30.267;28.836;1.431;47.105;4.727;191.330;5.604;30.011;3.323;2.007;0;0;0;0;0;0;0;0
23;1;1;1;7547.883106;7548.067811;7548.071017;778907;138240;138240;0;0;1728;1728;2211840;2211892;100.000;691.480;691.480;530.854;573.143;530.854;3.198;0.756;0.818;28.732;25.527;3.206;25.531;11.157;184.705;1.003;26.957;6.376;2.280;0;0;0;0;0;0;0;0
24;1;1;1;7547.915915;7548.103644;7548.105051;779289;138556;138556;0;0;1732;1732;2216896;2216948;100.000;1576.787;1576.787;532.068;574.454;532.068;1.397;0.439;0.477;34.034;32.627;1.407;33.878;4.134;187.730;1.704;35.833;2.500;2.294;0;0;0;0;0;0;0;0
25;1;1;1;7547.949706;7548.144681;7548.145727;779739;138952;138952;0;0;1737;1737;2223232;2223284;100.000;2130.551;2130.551;533.588;576.097;533.588;1.041;0.472;0.520;40.676;39.630;1.045;49.733;2.570;194.976;9.046;41.037;7.704;2.632;0;0;0;0;0;0;0;0
26;1;1;1;7547.982650;7548.175958;7548.177724;779364;139454;139454;0;0;1744;1744;2231264;2231316;100.000;1265.506;1265.506;535.516;578.196;535.516;1.763;0.501;0.539;31.998;30.231;1.766;30.491;5.520;193.308;7.710;31.277;2.057;2.596;0;0;0;0;0;0;0;0
27;1;1;1;7548.015973;7548.203586;7548.205071;780025;140520;140520;0;0;1757;1757;2248320;2248372;100.000;1519.089;1519.089;539.609;582.608;539.609;1.481;0.558;0.598;27.347;25.861;1.486;40.269;5.433;187.612;1.724;27.628;5.706;2.790;0;0;0;0;0;0;0;0
28;1;1;1;7548.051612;7548.247889;7548.249435;780373;141820;141820;0;0;1773;1773;2269120;2269172;100.000;1471.254;1471.254;544.601;587.992;544.601;1.541;0.594;0.638;44.363;42.818;1.545;41.271;3.484;196.277;12.754;44.303;10.970;3.301;0;0;0;0;0;0;0;0
29;1;1;1;7548.084119;7548.277069;7548.278218;781651;143812;143812;0;0;1798;1798;2300992;2301044;100.000;2002.867;2002.867;552.251;596.253;552.251;1.146;0.458;0.506;28.784;27.634;1.150;43.980;3.995;192.950;8.204;29.179;4.154;3.355;0;0;0;0;0;0;0;0
30;1;1;1;7548.116033;7548.305441;7548.306658;781375;144756;144756;0;0;1810;1810;2316096;2316148;100.000;1910.010;1910.010;555.876;600.172;555.876;1.214;0.537;0.579;28.439;27.222;1.217;47.584;4.279;189.408;3.311;28.372;4.961;3.455;0;0;0;0;0;0;0;0
31;1;1;1;7548.149482;7548.342296;7548.343819;784392;143948;143948;0;0;1800;1800;2303168;2303220;100.000;1514.851;1514.851;552.773;596.824;552.773;1.519;0.491;0.529;37.161;35.638;1.523;34.745;4.097;192.814;7.138;36.855;3.522;3.459;0;0;0;0;0;0;0;0
32;1;1;1;7548.184914;7548.379517;7548.380862;782671;141972;141972;0;0;1775;1775;2271552;2271604;100.000;1694.151;1694.151;545.185;588.624;545.185;1.340;0.672;0.716;37.043;35.698;1.345;53.227;3.631;194.603;10.848;37.221;3.888;3.486;0;0;0;0;0;0;0;0
33;1;1;1;7548.215784;7548.413448;7548.415286;776999;139814;139814;0;0;1748;1748;2237024;2237076;100.000;1220.753;1220.753;536.898;579.677;536.898;1.832;0.648;0.702;34.423;32.585;1.838;38.207;5.339;197.663;11.938;33.930;0.597;3.305;0;0;0;0;0;0;0;0
