frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2799.153300;2799.209788;2799.210184;784142;0;0;142128;142128;108;108;142128;142216;100.000;361.713;361.713;34.132;37.480;34.132;0.389;0.020;0.023;0.397;0.000;0.397;5.801;100.000;56.488;0.397;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2799.186900;2799.237221;2799.237228;783406;0;0;28952;28952;22;22;28952;29040;100.000;14771.993;14771.993;6.970;7.635;6.970;0.004;0.004;0.005;27.043;27.037;0.006;73.521;0.024;50.321;-5.894;27.433;5.900;0.369;0;0;0;0;0;0;0;0
3;1;1;1;2799.222534;2799.278535;2799.306370;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.827;0.827;5.526;6.066;5.526;27.830;0.009;0.011;69.142;41.307;27.835;0.040;40.258;56.001;29.915;41.314;7.980;0.844;0;0;0;0;0;0;0;0
4;1;1;1;2799.255183;2799.306400;2799.341347;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.648;0.648;5.436;5.976;5.436;34.944;0.006;0.007;34.977;0.030;34.947;0.021;99.914;51.217;31.559;27.865;5.468;1.133;0;0;0;0;0;0;0;0
5;1;1;1;2799.287651;2799.341377;2799.376364;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.637;0.637;5.345;5.855;5.345;34.985;0.005;0.006;35.017;0.030;34.988;0.017;99.915;53.726;33.243;34.977;1.643;1.165;0;0;0;0;0;0;0;0
6;1;1;1;2799.323069;2799.376400;2799.415744;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.623;0.623;5.887;6.458;5.887;39.342;0.005;0.006;39.380;0.036;39.344;0.015;99.909;53.331;39.289;35.023;1.690;1.198;0;0;0;0;0;0;0;0
7;1;1;1;2799.355352;2799.415782;2799.415789;775949;0;0;25004;25004;19;19;25004;25092;100.000;12187.543;12187.543;6.022;6.594;6.022;0.004;0.004;0.005;0.045;0.038;0.007;67.067;15.898;60.430;6.001;39.382;6.048;1.501;0;0;0;0;0;0;0;0
8;1;1;1;2799.389246;2799.449498;2799.481252;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.838;0.838;6.383;7.017;6.383;31.752;0.006;0.008;65.463;33.709;31.754;0.024;48.507;60.252;38.131;33.716;0.383;1.431;0;0;0;0;0;0;0;0
9;1;1;1;2799.420268;2799.481287;2799.510248;775698;0;0;26132;26132;20;20;26132;26220;100.000;0.906;0.906;6.293;6.896;6.293;28.958;0.009;0.011;28.996;0.035;28.961;0.038;99.880;61.019;33.794;31.789;1.544;1.438;0;0;0;0;0;0;0;0
10;1;1;1;2799.454080;2799.510285;2799.550788;778020;0;0;25568;25568;20;20;25568;25656;100.000;0.633;0.633;6.157;6.760;6.157;40.499;0.009;0.010;40.539;0.037;40.502;0.026;99.909;56.206;41.000;28.998;4.335;1.619;0;0;0;0;0;0;0;0
11;1;1;1;2799.487077;2799.550841;2799.581709;778554;0;0;24064;24064;19;19;24064;24152;100.000;0.783;0.783;5.796;6.368;5.796;30.865;0.007;0.008;30.922;0.053;30.868;0.025;99.828;63.764;38.588;40.556;7.222;1.970;0;0;0;0;0;0;0;0
12;1;1;1;2799.522190;2799.581752;2799.609684;779986;0;0;25568;25568;20;20;25568;25656;100.000;0.919;0.919;6.157;6.760;6.157;27.923;0.008;0.009;27.975;0.042;27.933;0.031;99.849;59.562;33.230;30.911;2.423;1.998;0;0;0;0;0;0;0;0
13;1;1;1;2799.553537;2799.609720;2799.650717;780926;0;0;26132;26132;20;20;26132;26220;100.000;0.640;0.640;6.293;6.896;6.293;40.994;0.006;0.006;41.033;0.036;40.997;0.016;99.913;56.183;40.929;27.968;5.365;2.208;0;0;0;0;0;0;0;0
14;1;1;1;2799.586992;2799.650771;2799.682368;782770;0;0;26508;26508;21;21;26508;26596;100.000;0.842;0.842;6.383;7.017;6.383;31.595;0.008;0.009;31.651;0.054;31.597;0.028;99.830;63.778;39.247;41.051;7.717;2.553;0;0;0;0;0;0;0;0
15;1;1;1;2799.622851;2799.682408;2799.717347;784474;0;0;27260;27260;21;21;27260;27348;100.000;0.783;0.783;6.564;7.198;6.564;34.936;0.009;0.010;34.980;0.041;34.939;0.029;99.884;59.557;40.893;31.638;1.696;2.499;0;0;0;0;0;0;0;0
16;1;1;1;2799.653713;2799.717440;2799.748825;785193;0;0;131788;131788;101;101;131788;131876;100.000;4.202;4.202;31.650;34.780;31.650;31.383;0.030;0.033;31.478;0.092;31.385;0.105;99.707;63.727;39.037;35.031;1.698;2.449;0;0;0;0;0;0;0;0
17;1;1;1;2799.687103;2799.748865;2799.782933;782720;0;0;28764;28764;22;22;28764;28852;100.000;0.847;0.847;6.924;7.590;6.924;34.064;0.007;0.009;34.108;0.040;34.068;0.026;99.882;61.762;39.812;31.426;1.908;2.415;0;0;0;0;0;0;0;0
18;1;1;1;2799.720236;2799.782967;2799.816923;781613;0;0;23124;23124;18;18;23124;23212;100.000;0.684;0.684;5.571;6.111;5.571;33.953;0.004;0.004;33.990;0.034;33.956;0.013;99.900;62.731;40.468;34.101;0.768;2.312;0;0;0;0;0;0;0;0
19;1;1;1;2799.753652;2799.816956;2799.850723;780006;0;0;22184;22184;17;17;22184;22272;100.000;0.660;0.660;5.345;5.855;5.345;33.765;0.005;0.006;33.800;0.033;33.767;0.017;99.901;63.304;40.935;33.989;0.656;2.209;0;0;0;0;0;0;0;0
20;1;1;1;2799.787030;2799.850791;2799.882922;780302;0;0;22936;22936;18;18;22936;23024;100.000;0.717;0.717;5.526;6.066;5.526;32.111;0.007;0.008;32.199;0.068;32.131;0.026;99.789;63.761;39.800;33.835;0.502;2.102;0;0;0;0;0;0;0;0
21;1;1;1;2799.820344;2799.882959;2799.917479;779066;0;0;24816;24816;19;19;24816;24904;100.000;0.721;0.721;5.977;6.549;5.977;34.517;0.008;0.009;34.557;0.037;34.520;0.025;99.892;62.615;41.024;32.168;1.165;2.043;0;0;0;0;0;0;0;0
22;1;1;1;2799.854081;2799.917537;2799.949977;778280;0;0;25192;25192;20;20;25192;25280;100.000;0.779;0.779;6.067;6.670;6.067;32.438;0.006;0.007;32.498;0.058;32.440;0.022;99.821;63.456;40.189;34.578;1.245;1.994;0;0;0;0;0;0;0;0
23;1;1;1;2799.887660;2799.950013;2799.984039;778907;0;0;25944;25944;20;20;25944;26032;100.000;0.765;0.765;6.248;6.851;6.248;34.023;0.006;0.007;34.062;0.036;34.026;0.021;99.895;62.353;40.918;32.476;0.858;1.923;0;0;0;0;0;0;0;0
24;1;1;1;2799.920448;2799.984089;2800.015708;779289;0;0;23876;23876;19;19;23876;23964;100.000;0.758;0.758;5.751;6.323;5.751;31.618;0.005;0.006;31.669;0.049;31.620;0.019;99.844;63.640;39.254;34.076;0.742;1.849;0;0;0;0;0;0;0;0
25;1;1;1;2799.954076;2800.015740;2800.015753;779739;0;0;25004;25004;19;19;25004;25092;100.000;12684.032;12684.032;6.022;6.594;6.022;0.011;0.011;0.011;0.044;0.031;0.013;85.693;29.115;61.664;5.965;31.651;1.682;1.838;0;0;0;0;0;0;0;0
26;1;1;1;2799.986791;2800.050406;2800.082446;779364;0;0;26508;26508;21;21;26508;26596;100.000;0.830;0.830;6.383;7.017;6.383;32.037;0.005;0.006;66.693;34.654;32.040;0.020;48.040;63.615;39.325;34.667;1.333;1.807;0;0;0;0;0;0;0;0
27;1;1;1;2800.020297;2800.082485;2800.117363;780025;0;0;26696;26696;21;21;26696;26784;100.000;0.768;0.768;6.428;7.062;6.428;34.875;0.005;0.007;34.917;0.039;34.878;0.020;99.889;62.188;40.909;32.078;1.255;1.772;0;0;0;0;0;0;0;0
28;1;1;1;2800.053487;2800.117437;2800.149359;780373;0;0;26884;26884;21;21;26884;26972;100.000;0.845;0.845;6.473;7.107;6.473;31.912;0.012;0.014;31.995;0.074;31.922;0.043;99.769;63.950;39.571;34.952;1.619;1.763;0;0;0;0;0;0;0;0
29;1;1;1;2800.087296;2800.149396;2800.183869;781651;0;0;27824;27824;22;22;27824;27912;100.000;0.810;0.810;6.699;7.364;6.699;34.471;0.004;0.005;34.510;0.038;34.472;0.015;99.890;62.101;40.748;31.959;1.374;1.738;0;0;0;0;0;0;0;0
