frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;7547.149028;7547.151279;7547.164958;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;917.334;917.334;3011.115;3354.567;3011.115;13.662;2.750;2.955;13.679;0.000;13.679;21.599;100.000;2.251;13.679;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;7547.182744;7547.185930;7547.200586;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;855.391;855.391;3008.289;3351.426;3008.289;14.651;2.844;3.042;35.627;20.972;14.655;20.755;41.135;3.186;15.973;34.651;1.318;0.082;0;0;0;0;0;0;0;0
3;1;1;1;7547.217325;7547.221977;7547.237678;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;795.364;795.364;2995.978;3337.713;2995.978;15.695;4.704;5.015;37.092;21.392;15.700;31.941;42.328;4.653;19.732;36.047;2.714;0.247;0;0;0;0;0;0;0;0
4;1;1;1;7547.251651;7547.256331;7547.270504;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;879.000;879.000;2989.323;3330.288;2989.323;14.167;3.280;3.538;32.826;18.654;14.173;24.962;43.174;4.680;19.225;34.354;1.021;0.295;0;0;0;0;0;0;0;0
5;1;1;1;7547.283048;7547.286526;7547.302424;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;781.770;781.770;2981.489;3321.578;2981.489;15.893;4.702;4.972;31.920;16.022;15.898;31.273;49.806;3.478;17.811;30.194;3.139;0.473;0;0;0;0;0;0;0;0
6;1;1;1;7547.318169;7547.322229;7547.337908;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;791.065;791.065;2975.599;3315.022;2975.599;15.672;4.625;4.933;35.484;19.806;15.678;31.462;44.184;4.061;19.962;35.704;2.370;0.592;0;0;0;0;0;0;0;0
7;1;1;1;7547.351602;7547.356546;7547.371642;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;822.482;822.482;2979.654;3319.532;2979.654;15.089;4.097;4.409;33.735;18.638;15.096;29.204;44.750;4.945;20.363;34.317;0.984;0.616;0;0;0;0;0;0;0;0
8;1;1;1;7547.382887;7547.389678;7547.406083;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;756.619;756.619;2977.788;3317.456;2977.788;16.396;5.038;5.367;34.440;18.036;16.405;32.718;47.632;6.791;21.471;33.132;0.202;0.590;0;0;0;0;0;0;0;0
9;1;1;1;7547.418264;7547.423955;7547.440568;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;747.116;747.116;2978.690;3318.463;2978.690;16.606;4.992;5.258;34.485;17.872;16.613;31.649;48.175;5.691;22.622;34.277;0.943;0.612;0;0;0;0;0;0;0;0
10;1;1;1;7547.449550;7547.453874;7547.471916;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;690.455;690.455;2987.606;3328.396;2987.606;18.019;5.739;6.062;31.348;13.306;18.042;33.599;57.554;4.324;20.637;29.919;3.414;0.787;0;0;0;0;0;0;0;0
11;1;1;1;7547.482936;7547.487915;7547.506872;778554;778554;778554;0;0;9732;9732;12456864;12456904;100.000;657.332;657.332;2989.657;3330.657;2989.657;18.950;5.875;6.192;34.956;15.999;18.957;32.663;54.230;4.979;22.260;34.041;0.708;0.782;0;0;0;0;0;0;0;0
12;1;1;1;7547.516200;7547.519251;7547.539235;779986;779986;779986;0;0;9750;9750;12479776;12479816;100.000;624.856;624.856;2995.156;3336.786;2995.156;19.979;5.397;5.676;32.363;12.379;19.983;28.403;61.748;3.051;21.289;31.336;1.997;0.858;0;0;0;0;0;0;0;0
13;1;1;1;7547.549273;7547.553347;7547.573149;780926;780926;780926;0;0;9762;9762;12494816;12494856;100.000;631.102;631.102;2998.765;3340.816;2998.765;19.796;6.028;6.335;33.915;14.113;19.802;31.992;58.387;4.074;21.870;34.096;0.763;0.852;0;0;0;0;0;0;0;0
