frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2799.153300;2799.334410;2799.336744;784142;146318;146318;1829;1829;2341088;2341140;100.000;1003.838;1003.838;561.874;603.123;561.874;2.330;1.014;1.060;2.334;0.000;2.334;45.410;100.000;181.110;2.334;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2799.186900;2799.375167;2799.376168;783406;144182;144182;1803;1803;2306912;2306964;100.000;2311.308;2311.308;553.671;594.335;553.671;0.997;0.638;0.693;39.424;38.423;1.001;69.251;2.540;188.266;8.425;40.757;7.424;0.464;0;0;0;0;0;0;0;0
3;1;1;1;2799.222534;2799.406738;2799.408115;780200;141754;141754;1772;1772;2268064;2268116;100.000;1651.865;1651.865;544.348;584.312;544.348;1.372;0.632;0.684;31.947;30.570;1.377;49.696;4.310;184.204;7.038;31.571;1.762;0.545;0;0;0;0;0;0;0;0
4;1;1;1;2799.255183;2799.446696;2799.447683;778467;139430;139430;1743;1743;2230880;2230932;100.000;2270.855;2270.855;535.424;574.733;535.424;0.982;0.616;0.756;39.568;38.581;0.987;76.658;2.493;191.513;13.273;39.958;6.625;0.925;0;0;0;0;0;0;0;0
5;1;1;1;2799.287651;2799.494238;2799.496924;776427;137802;137802;1723;1723;2204832;2204884;100.000;827.200;827.200;529.172;568.031;529.172;2.674;1.993;2.029;49.241;46.556;2.686;75.555;5.455;206.587;29.181;47.542;14.209;1.755;0;0;0;0;0;0;0;0
6;1;1;1;2799.323069;2799.513508;2799.514516;774893;137230;137230;1716;1716;2195680;2195732;100.000;2190.673;2190.673;526.976;565.676;526.976;1.003;0.573;0.621;17.591;16.584;1.007;61.628;5.726;190.439;13.439;19.270;14.063;2.525;0;0;0;0;0;0;0;0
7;1;1;1;2799.355352;2799.541212;2799.542483;775949;137590;137590;1720;1720;2201440;2201492;100.000;1740.611;1740.611;528.358;567.149;528.358;1.267;0.647;0.699;27.968;26.697;1.271;54.993;4.545;185.860;8.073;27.704;5.629;2.719;0;0;0;0;0;0;0;0
8;1;1;1;2799.389246;2799.594736;2799.597240;775463;137746;137746;1722;1722;2203936;2203988;100.000;888.711;888.711;528.957;567.793;528.957;2.492;1.866;1.903;54.757;52.253;2.503;75.999;4.572;205.491;29.497;53.524;20.191;3.811;0;0;0;0;0;0;0;0
9;1;1;1;2799.420268;2799.612750;2799.614068;775698;138024;138024;1726;1726;2208384;2208436;100.000;1684.943;1684.943;530.025;568.951;530.025;1.302;0.824;0.871;16.829;15.510;1.319;66.060;7.837;192.482;12.992;18.013;15.320;4.530;0;0;0;0;0;0;0;0
10;1;1;1;2799.454080;2799.639603;2799.641367;778020;138278;138278;1729;1729;2212448;2212500;100.000;1254.892;1254.892;531.000;569.994;531.000;1.760;0.871;0.915;27.299;25.535;1.763;51.859;6.460;185.524;6.957;26.854;6.479;4.652;0;0;0;0;0;0;0;0
