frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2799.153300;2799.334452;2799.336767;784142;178911;159140;146318;146318;1829;2341088;100.000;1012.030;561.874;603.123;22.816;88.949;18.660;0.000;117.540;0.849;2.314;36.676;181.152;183.466;183.465;2.314;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2799.186900;2799.382510;2799.387571;783406;169393;156499;144182;144182;1803;2306912;100.000;455.965;553.671;594.335;21.623;92.388;18.405;0.000;0.000;4.501;5.061;88.934;195.609;200.670;200.669;19.785;48.058;14.724;0.920;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2799.222534;2799.414435;2799.415910;780200;164369;153953;141754;141754;1772;2268064;100.000;1539.007;544.348;584.312;21.068;93.663;18.169;0.000;0.000;0.965;1.474;65.425;191.902;193.376;193.375;14.791;31.925;1.408;0.951;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;2799.255183;2799.453696;2799.455386;778467;160176;150044;139430;139430;1743;2230880;100.000;1321.002;535.424;574.733;20.576;93.674;17.911;0.000;99.721;1.094;1.690;64.734;198.513;200.203;200.202;20.933;39.261;5.928;1.262;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2799.287651;2799.496881;2799.502658;776427;157416;147596;137802;137802;1723;2204832;100.000;381.735;529.172;568.031;20.274;93.762;17.748;0.001;0.000;4.867;5.778;84.244;209.230;215.007;215.006;34.873;43.184;9.851;1.799;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2799.323069;2799.515815;2799.517128;774893;155704;146684;137230;137230;1716;2195680;100.000;1671.922;526.976;565.676;20.094;94.207;17.710;0.000;151.590;0.854;1.314;64.970;192.745;194.059;194.059;16.009;18.934;14.399;2.586;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2799.355352;2799.545315;2799.556387;775949;155769;147285;137590;137590;1720;2201440;100.000;198.844;528.358;567.149;20.075;94.553;17.732;0.000;0.000;0.935;11.073;8.441;189.963;201.035;201.034;21.935;29.500;3.833;2.664;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2799.389246;2799.598029;2799.605235;775463;154945;147291;137746;137746;1722;2203936;100.000;305.909;528.957;567.793;19.981;95.060;17.763;0.000;0.000;6.334;7.206;87.904;208.783;215.989;215.988;37.449;52.714;19.381;3.709;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2799.420268;2799.618316;2799.630245;775698;154624;147515;138024;138024;1726;2208384;100.000;185.159;530.025;568.951;19.934;95.402;17.794;0.000;0.000;11.001;11.929;92.224;198.049;209.978;209.976;29.126;20.287;13.046;4.293;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;2799.454080;2799.651821;2799.653373;778020;153992;146840;138278;138278;1729;2212448;100.000;1426.094;531.000;569.994;19.793;95.356;17.773;0.000;218.932;1.003;1.552;64.582;197.741;199.293;199.292;18.921;33.504;0.171;4.035;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2799.487077;2799.685634;2799.703270;778554;154581;147771;139114;139114;1739;2225824;100.000;126.226;534.210;573.430;19.855;95.595;17.868;0.001;0.000;1.592;17.636;9.026;198.557;216.193;216.191;35.484;33.813;0.480;3.813;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2799.522190;2799.713932;2799.719467;779986;155588;149026;140496;140496;1757;2247936;100.000;406.202;539.517;579.143;19.948;95.782;18.013;0.000;0.000;1.001;5.535;18.078;191.742;197.277;197.277;18.348;28.298;5.035;3.889;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;0.000000;0.000000;1.000000;2799.553537;2799.749364;2799.773894;780926;157785;151108;142868;142868;1786;2285888;100.000;93.193;548.626;588.905;20.205;95.768;18.295;0.000;0.000;1.170;24.530;4.768;195.827;220.357;220.356;39.442;35.432;2.099;3.777;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.000000;0.000000;1.000000;2799.586992;2799.789297;2799.806540;782770;159421;153009;144928;144928;1812;2318848;100.000;134.489;556.536;597.402;20.366;95.978;18.515;0.000;0.000;16.293;17.243;94.489;202.304;219.548;219.547;38.754;39.933;6.600;3.954;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.000000;0.000000;1.000000;2799.622851;2799.819531;2799.827176;784474;159965;153314;146044;146044;1826;2336704;100.000;305.781;560.821;602.004;20.391;95.842;18.617;0.001;0.000;6.810;7.645;89.069;196.680;204.325;204.322;26.057;30.234;3.099;3.900;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.000000;0.000000;1.000000;2799.653713;2799.854618;2799.872422;785193;177968;156948;145822;145822;1823;2333152;100.000;131.060;559.969;601.083;22.666;88.189;18.571;0.000;130.695;1.054;17.805;5.919;200.905;218.710;218.708;37.970;35.087;1.754;3.766;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.087266;0.000000;1.000000;2799.687103;2799.902178;2799.922178;782720;169127;155796;144126;144126;1802;2306016;100.000;115.315;553.456;594.097;21.608;92.118;18.413;0.000;0.000;10.941;19.999;54.705;215.075;235.074;235.073;54.392;47.560;14.227;4.420;1;6.413;56.169;254.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.087266;0.000000;1.000000;2799.720236;2799.922342;2799.937690;781613;164376;152343;141930;141930;1775;2270880;100.000;147.982;545.024;585.055;21.030;92.680;18.159;0.001;0.000;14.465;15.348;94.249;202.106;217.454;217.452;36.571;20.164;13.169;4.967;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.087266;0.000000;1.000000;2799.753652;2799.952933;2799.972557;780006;160684;150225;139740;139740;1747;2235840;100.000;113.943;536.614;576.014;20.600;93.491;17.915;0.000;0.000;1.142;19.624;5.817;199.280;218.905;218.903;38.104;30.590;2.743;4.828;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
